feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Treponema	visit	Week 48	-0.588144861744426	0.084213301461277	292	60	1.96399283529966e-11	3.35842774836241e-09
Aggregatibacter	visit	Week 48	-0.589323704564523	0.0901807373113662	292	152	2.85535799461098e-10	2.44133108539239e-08
ASV_209	visit	Week 48	-0.287064484402295	0.0485422319945564	292	50	9.39567946724592e-09	5.35553729633018e-07
F0058	visit	Week 48	0.340371309749594	0.0629246389552564	292	73	1.32594662062379e-07	5.66842180316669e-06
Lautropia	visit	Week 48	0.448772722096917	0.0910705516165785	292	257	1.40080015904808e-06	4.79073654394444e-05
Moraxella	visit	Week 48	-0.54863533303584	0.116275729976923	292	104	3.70183146439622e-06	0.000105502196735292
ASV_205	visit	Week 48	-0.203649856603095	0.0445231836991793	292	38	7.09739799797515e-06	0.000173379293950536
Streptobacillus	visit	Week 48	-0.351241579095506	0.0774422763895757	292	83	8.41960096179086e-06	0.00017996897055828
ASV_187	visit	Week 48	-0.156197417201502	0.035569239830636	292	28	1.58039945369101e-05	0.000300275896201291
Rothia	visit	Week 48	0.360945659758799	0.0843979684016343	292	260	2.57780849797011e-05	0.000440805253152889
ASV_157	visit	Week 48	-0.222887309623334	0.0543524514166086	292	32	5.35289969340205e-05	0.000832132588701592
Haemophilus	visit	Week 48	-0.203874788689536	0.0504897359122944	292	290	6.90786212436356e-05	0.000984370352721807
ASV_62	visit	Week 48	-0.397124260226951	0.103343573411903	292	102	0.00014950698108039	0.00196659182805744
Oribacterium	visit	Week 48	0.338332999972862	0.0961177251086107	292	156	0.000500960339280406	0.00611887271549639
Lentimicrobium	visit	Week 48	-0.0780725492486542	0.0231171111931251	292	16	0.000832156596200071	0.0094865851966808
Peptococcus	visit	Week 48	-0.132756602880086	0.0402812425365388	292	42	0.00110361104687462	0.0117948430634725
Peptoanaerobacter	visit	Week 48	-0.103166647322429	0.0318337934990958	292	15	0.00133081588464374	0.0133864421337694
Actinomyces	visit	Week 48	0.247880586134029	0.0798230706530792	292	241	0.00208837622272891	0.0185728818043216
ASV_180	visit	Week 48	0.100276574886554	0.0322095482978177	292	27	0.00203517510284394	0.0185728818043216
Atopobium	visit	Week 48	0.224460454609943	0.0725630439815587	292	82	0.00217226687769843	0.0185728818043216
ASV_383	visit	Week 48	-0.110152224854246	0.0367442279302937	292	16	0.00295471555237917	0.0240598266408018
Candidatus_Saccharimonas	visit	Week 48	0.191033830185822	0.0653825572106342	292	84	0.00375399445578353	0.0277421776784306
ASV_280	visit	Week 48	-0.0575440421569856	0.0197050308971152	292	10	0.00377175306897463	0.0277421776784306
Comamonas	visit	Week 48	-0.0876153924653452	0.0301078549937786	292	21	0.00389363897241131	0.0277421776784306
Veillonella	visit	Week 48	0.201217132994915	0.0713795559114209	292	286	0.0051493866154072	0.0352218044493853
Amnipila	visit	Week 48	-0.0400491262095833	0.014298878791981	292	10	0.00543929234360018	0.035773807336755
ASV_331	visit	Week 48	0.103260702437437	0.0373299294451596	292	36	0.00603615575686246	0.0382289864601289
ASV_461	visit	Week 48	-0.0623794014407501	0.0228469410136842	292	10	0.00671456707957045	0.0410068203788052
ASV_540	visit	Week 48	0.0657073865663134	0.0253393262890891	292	14	0.009994016400148	0.0589302346353554
ASV_77	visit	Week 48	0.150174871677081	0.06128069943462	292	140	0.0148522309064042	0.0846577161665039
Streptococcus	visit	Week 48	0.0953112862917121	0.0394062836253903	292	292	0.0161925722712193	0.0865290580743281
Shuttleworthia	visit	Week 48	0.0689725011185745	0.0284425445156859	292	13	0.0159201557197332	0.0865290580743281
Filifactor	visit	Week 48	-0.0652192853589757	0.0276651515035856	292	15	0.0190651187576188	0.098791979016752
Mogibacterium	visit	Week 48	0.139830856787827	0.0601293955287369	292	66	0.0207350567975554	0.103546165804076
ASV_485	visit	Week 48	-0.0384032189138315	0.0165736885537243	292	6	0.0211936596675009	0.103546165804076
Capnocytophaga	visit	Week 48	0.156283291262323	0.070081976794582	292	102	0.0265123216375061	0.125933527778154
Alloprevotella	visit	Week 48	-0.204999581293355	0.0942399249443424	292	271	0.0304157163699185	0.140569932412326
ASV_682	visit	Week 48	0.0204097894274787	0.00946942423415578	292	5	0.0319583636496907	0.143812636423608
TM7x	visit	Week 48	0.140417738487478	0.0661839012518072	292	111	0.0347167691626517	0.148414188170336
ASV_1415	visit	Week 48	0.0255218789882354	0.0119805961483881	292	5	0.0339910549852732	0.148414188170336
ASV_242	visit	Week 48	-0.05173288064373	0.0248702983915604	292	5	0.0383937065060942	0.160112106319468
ASV_1054	visit	Week 48	0.0230983335714337	0.0111579474483552	292	5	0.0393257804995185	0.160112106319468
Defluviitaleaceae_UCG.011	visit	Week 48	-0.023567643997184	0.0114797308824308	292	5	0.0409716148409681	0.160202189223625
Family_XIII_UCG.001	visit	Week 48	-0.0250997137657887	0.012241218934619	292	9	0.041221615940582	0.160202189223625
Parvimonas	visit	Week 48	0.0751122575313171	0.0368809959423418	292	31	0.0425971673937406	0.161869236096214
Gemella	visit	Week 48	0.109273681996394	0.0551959901140667	292	285	0.0486780671422931	0.18095542350722
ASV_897	visit	Week 48	-0.0125543266621845	0.006390961371766	292	4	0.0504398822568358	0.183515316296147
Stomatobaculum	visit	Week 48	-0.162479624547055	0.0846726456688501	292	136	0.0559764625321735	0.196988293876439
ASV_844	visit	Week 48	-0.0127707787847906	0.00666802152962568	292	4	0.0564469380113772	0.196988293876439
Psychrobacter	visit	Week 48	0.0388760049265017	0.0209514116121449	292	5	0.0645348649853108	0.208216262499776
Rikenellaceae_RC9_gut_group	visit	Week 48	-0.0221342446564865	0.0118635534719469	292	4	0.0630879917230229	0.208216262499776
Fretibacterium	visit	Week 48	-0.0283662309548174	0.0152670782959135	292	8	0.0641823289102429	0.208216262499776
ASV_1272	visit	Week 48	0.0261728524678899	0.0140976153778934	292	8	0.0643899794713568	0.208216262499776
ASV_163	visit	Week 48	0.0925513018085739	0.0514476970831426	292	25	0.0730678523039879	0.229582817096737
ASV_1398	visit	Week 48	0.0167170821164083	0.00931792821983865	292	4	0.073842426551582	0.229582817096737
ASV_339	visit	Week 48	0.0543941045867522	0.0311664722696796	292	10	0.0819959562650156	0.250380509309244
Eikenella	visit	Week 48	0.0584393213651478	0.0345469454374602	292	24	0.0917981034067629	0.271377218532494
Desulfobulbus	visit	Week 48	-0.00952966718563392	0.00563787237673771	292	3	0.0920460741221325	0.271377218532494
ASV_508	visit	Week 48	-0.00970686915424467	0.00585271781423308	292	3	0.09829302799634	0.28488318283685
ASV_1343	visit	Week 48	0.0115307078617619	0.00699013951358384	292	3	0.100114106702786	0.285325204102941
Scardovia	visit	Week 48	0.00925387977079815	0.0057021065891863	292	3	0.105699897992685	0.296306271422117
Abiotrophia	visit	Week 48	0.0826514790034384	0.0522835288714412	292	81	0.115006462968299	0.312160399485382
ASV_1531	visit	Week 48	-0.0145780861007645	0.00917601289870018	292	3	0.113213943335725	0.312160399485382
Prevotellaceae_YAB2003_group	visit	Week 48	0.0232456155015517	0.0148363015134164	292	4	0.11825038946498	0.315950259351743
Solobacterium	visit	Week 48	-0.10169659353125	0.0673808833743536	292	114	0.132316057671349	0.348093013258471
Pseudomonas	visit	Week 48	0.0436504841908727	0.0298091300983536	292	6	0.14418622908623	0.368725519762637
ASV_126	visit	Week 48	0.0205848196640432	0.0141817468930051	292	3	0.147721316349768	0.368725519762637
ASV_689	visit	Week 48	0.0168258753848064	0.0116225688276467	292	5	0.148783981658608	0.368725519762637
Acinetobacter	visit	Week 48	0.0350206537452294	0.0241797425243226	292	9	0.148600383343196	0.368725519762637
ASV_112	visit	Week 48	-0.0433589488454998	0.0313671949232608	292	21	0.167942537850969	0.375856043655604
ASV_214	visit	Week 48	-0.0168372375222448	0.0118786750127171	292	6	0.157429573313762	0.375856043655604
ASV_639	visit	Week 48	-0.0157941368107153	0.0113599827689237	292	6	0.165494476880723	0.375856043655604
ASV_894	visit	Week 48	-0.00479081690306861	0.00340894071581319	292	2	0.16098217709454	0.375856043655604
Desulfomicrobium	visit	Week 48	-0.00561420094494589	0.00409504559102546	292	2	0.171443107632381	0.375856043655604
ASV_1212	visit	Week 48	-0.0049839011861138	0.00356461900827941	292	2	0.163133945481934	0.375856043655604
Erysipelotrichaceae_UCG.006	visit	Week 48	-0.00461046276719367	0.00326713519320333	292	2	0.159268230029211	0.375856043655604
Brevibacterium	visit	Week 48	0.0054063883288204	0.00391689258697314	292	2	0.168565071057454	0.375856043655604
ASV_1939	visit	Week 48	-0.0055065065099706	0.00400236457968215	292	2	0.169941053074707	0.375856043655604
Hydrogenophaga	visit	Week 48	0.0385266564082397	0.0283000804460181	292	11	0.174456078435966	0.377620119146205
Carnobacterium	visit	Week 48	0.00598544790681714	0.0044197583890537	292	2	0.176711619688079	0.377721087083268
Granulicatella	visit	Week 48	0.0741453245159093	0.0558682754798173	292	281	0.185504504399932	0.391620620399857
ASV_1306	visit	Week 48	0.00706244864462027	0.00539583199140765	292	2	0.191614239929277	0.395036665147892
Brevundimonas	visit	Week 48	0.00725025352777841	0.00556984797556439	292	2	0.19405309866914	0.395036665147892
