"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","Treponema","visit","Week 48",-0.588144861744426,0.084213301461277,1.96399283529966e-11,"visitWeek 48",3.35842774836241e-09,292,60
"2","Aggregatibacter","visit","Week 48",-0.589323704564523,0.0901807373113662,2.85535799461098e-10,"visitWeek 48",2.44133108539239e-08,292,152
"3","ASV_209","visit","Week 48",-0.287064484402295,0.0485422319945564,9.39567946724592e-09,"visitWeek 48",5.35553729633018e-07,292,50
"4","F0058","visit","Week 48",0.340371309749594,0.0629246389552564,1.32594662062379e-07,"visitWeek 48",5.66842180316669e-06,292,73
"5","Lautropia","visit","Week 48",0.448772722096917,0.0910705516165785,1.40080015904808e-06,"visitWeek 48",4.79073654394444e-05,292,257
"6","Moraxella","visit","Week 48",-0.54863533303584,0.116275729976923,3.70183146439622e-06,"visitWeek 48",0.000105502196735292,292,104
"7","ASV_205","visit","Week 48",-0.203649856603095,0.0445231836991793,7.09739799797515e-06,"visitWeek 48",0.000173379293950536,292,38
"8","Streptobacillus","visit","Week 48",-0.351241579095506,0.0774422763895757,8.41960096179086e-06,"visitWeek 48",0.00017996897055828,292,83
"9","ASV_187","visit","Week 48",-0.156197417201502,0.035569239830636,1.58039945369101e-05,"visitWeek 48",0.000300275896201291,292,28
"10","Rothia","visit","Week 48",0.360945659758799,0.0843979684016343,2.57780849797011e-05,"visitWeek 48",0.000440805253152889,292,260
"11","ASV_157","visit","Week 48",-0.222887309623334,0.0543524514166086,5.35289969340205e-05,"visitWeek 48",0.000832132588701592,292,32
"12","Haemophilus","visit","Week 48",-0.203874788689536,0.0504897359122944,6.90786212436356e-05,"visitWeek 48",0.000984370352721807,292,290
"13","ASV_62","visit","Week 48",-0.397124260226951,0.103343573411903,0.00014950698108039,"visitWeek 48",0.00196659182805744,292,102
"14","Oribacterium","visit","Week 48",0.338332999972862,0.0961177251086107,0.000500960339280406,"visitWeek 48",0.00611887271549639,292,156
"15","Lentimicrobium","visit","Week 48",-0.0780725492486542,0.0231171111931251,0.000832156596200071,"visitWeek 48",0.0094865851966808,292,16
"16","Peptococcus","visit","Week 48",-0.132756602880086,0.0402812425365388,0.00110361104687462,"visitWeek 48",0.0117948430634725,292,42
"17","Peptoanaerobacter","visit","Week 48",-0.103166647322429,0.0318337934990958,0.00133081588464374,"visitWeek 48",0.0133864421337694,292,15
"18","Actinomyces","visit","Week 48",0.247880586134029,0.0798230706530792,0.00208837622272891,"visitWeek 48",0.0185728818043216,292,241
"19","ASV_180","visit","Week 48",0.100276574886554,0.0322095482978177,0.00203517510284394,"visitWeek 48",0.0185728818043216,292,27
"20","Atopobium","visit","Week 48",0.224460454609943,0.0725630439815587,0.00217226687769843,"visitWeek 48",0.0185728818043216,292,82
"21","ASV_383","visit","Week 48",-0.110152224854246,0.0367442279302937,0.00295471555237917,"visitWeek 48",0.0240598266408018,292,16
"22","Candidatus_Saccharimonas","visit","Week 48",0.191033830185822,0.0653825572106342,0.00375399445578353,"visitWeek 48",0.0277421776784306,292,84
"23","ASV_280","visit","Week 48",-0.0575440421569856,0.0197050308971152,0.00377175306897463,"visitWeek 48",0.0277421776784306,292,10
"24","Comamonas","visit","Week 48",-0.0876153924653452,0.0301078549937786,0.00389363897241131,"visitWeek 48",0.0277421776784306,292,21
"25","Veillonella","visit","Week 48",0.201217132994915,0.0713795559114209,0.0051493866154072,"visitWeek 48",0.0352218044493853,292,286
"26","Amnipila","visit","Week 48",-0.0400491262095833,0.014298878791981,0.00543929234360018,"visitWeek 48",0.035773807336755,292,10
"27","ASV_331","visit","Week 48",0.103260702437437,0.0373299294451596,0.00603615575686246,"visitWeek 48",0.0382289864601289,292,36
"28","ASV_461","visit","Week 48",-0.0623794014407501,0.0228469410136842,0.00671456707957045,"visitWeek 48",0.0410068203788052,292,10
"29","ASV_540","visit","Week 48",0.0657073865663134,0.0253393262890891,0.009994016400148,"visitWeek 48",0.0589302346353554,292,14
"30","ASV_77","visit","Week 48",0.150174871677081,0.06128069943462,0.0148522309064042,"visitWeek 48",0.0846577161665039,292,140
"31","Streptococcus","visit","Week 48",0.0953112862917121,0.0394062836253903,0.0161925722712193,"visitWeek 48",0.0865290580743281,292,292
"32","Shuttleworthia","visit","Week 48",0.0689725011185745,0.0284425445156859,0.0159201557197332,"visitWeek 48",0.0865290580743281,292,13
"33","Filifactor","visit","Week 48",-0.0652192853589757,0.0276651515035856,0.0190651187576188,"visitWeek 48",0.098791979016752,292,15
"34","Mogibacterium","visit","Week 48",0.139830856787827,0.0601293955287369,0.0207350567975554,"visitWeek 48",0.103546165804076,292,66
"35","ASV_485","visit","Week 48",-0.0384032189138315,0.0165736885537243,0.0211936596675009,"visitWeek 48",0.103546165804076,292,6
"36","Capnocytophaga","visit","Week 48",0.156283291262323,0.070081976794582,0.0265123216375061,"visitWeek 48",0.125933527778154,292,102
"37","Alloprevotella","visit","Week 48",-0.204999581293355,0.0942399249443424,0.0304157163699185,"visitWeek 48",0.140569932412326,292,271
"38","ASV_682","visit","Week 48",0.0204097894274787,0.00946942423415578,0.0319583636496907,"visitWeek 48",0.143812636423608,292,5
"39","TM7x","visit","Week 48",0.140417738487478,0.0661839012518072,0.0347167691626517,"visitWeek 48",0.148414188170336,292,111
"40","ASV_1415","visit","Week 48",0.0255218789882354,0.0119805961483881,0.0339910549852732,"visitWeek 48",0.148414188170336,292,5
"41","ASV_242","visit","Week 48",-0.05173288064373,0.0248702983915604,0.0383937065060942,"visitWeek 48",0.160112106319468,292,5
"42","ASV_1054","visit","Week 48",0.0230983335714337,0.0111579474483552,0.0393257804995185,"visitWeek 48",0.160112106319468,292,5
"43","Defluviitaleaceae_UCG.011","visit","Week 48",-0.023567643997184,0.0114797308824308,0.0409716148409681,"visitWeek 48",0.160202189223625,292,5
"44","Family_XIII_UCG.001","visit","Week 48",-0.0250997137657887,0.012241218934619,0.041221615940582,"visitWeek 48",0.160202189223625,292,9
"45","Parvimonas","visit","Week 48",0.0751122575313171,0.0368809959423418,0.0425971673937406,"visitWeek 48",0.161869236096214,292,31
"46","Gemella","visit","Week 48",0.109273681996394,0.0551959901140667,0.0486780671422931,"visitWeek 48",0.18095542350722,292,285
"47","ASV_897","visit","Week 48",-0.0125543266621845,0.006390961371766,0.0504398822568358,"visitWeek 48",0.183515316296147,292,4
"48","Stomatobaculum","visit","Week 48",-0.162479624547055,0.0846726456688501,0.0559764625321735,"visitWeek 48",0.196988293876439,292,136
"49","ASV_844","visit","Week 48",-0.0127707787847906,0.00666802152962568,0.0564469380113772,"visitWeek 48",0.196988293876439,292,4
"50","Psychrobacter","visit","Week 48",0.0388760049265017,0.0209514116121449,0.0645348649853108,"visitWeek 48",0.208216262499776,292,5
"51","Rikenellaceae_RC9_gut_group","visit","Week 48",-0.0221342446564865,0.0118635534719469,0.0630879917230229,"visitWeek 48",0.208216262499776,292,4
"52","Fretibacterium","visit","Week 48",-0.0283662309548174,0.0152670782959135,0.0641823289102429,"visitWeek 48",0.208216262499776,292,8
"53","ASV_1272","visit","Week 48",0.0261728524678899,0.0140976153778934,0.0643899794713568,"visitWeek 48",0.208216262499776,292,8
"54","ASV_163","visit","Week 48",0.0925513018085739,0.0514476970831426,0.0730678523039879,"visitWeek 48",0.229582817096737,292,25
"55","ASV_1398","visit","Week 48",0.0167170821164083,0.00931792821983865,0.073842426551582,"visitWeek 48",0.229582817096737,292,4
"56","ASV_339","visit","Week 48",0.0543941045867522,0.0311664722696796,0.0819959562650156,"visitWeek 48",0.250380509309244,292,10
"57","Eikenella","visit","Week 48",0.0584393213651478,0.0345469454374602,0.0917981034067629,"visitWeek 48",0.271377218532494,292,24
"58","Desulfobulbus","visit","Week 48",-0.00952966718563392,0.00563787237673771,0.0920460741221325,"visitWeek 48",0.271377218532494,292,3
"59","ASV_508","visit","Week 48",-0.00970686915424467,0.00585271781423308,0.09829302799634,"visitWeek 48",0.28488318283685,292,3
"60","ASV_1343","visit","Week 48",0.0115307078617619,0.00699013951358384,0.100114106702786,"visitWeek 48",0.285325204102941,292,3
"61","Scardovia","visit","Week 48",0.00925387977079815,0.0057021065891863,0.105699897992685,"visitWeek 48",0.296306271422117,292,3
"62","Abiotrophia","visit","Week 48",0.0826514790034384,0.0522835288714412,0.115006462968299,"visitWeek 48",0.312160399485382,292,81
"63","ASV_1531","visit","Week 48",-0.0145780861007645,0.00917601289870018,0.113213943335725,"visitWeek 48",0.312160399485382,292,3
"64","Prevotellaceae_YAB2003_group","visit","Week 48",0.0232456155015517,0.0148363015134164,0.11825038946498,"visitWeek 48",0.315950259351743,292,4
"65","Solobacterium","visit","Week 48",-0.10169659353125,0.0673808833743536,0.132316057671349,"visitWeek 48",0.348093013258471,292,114
"66","Pseudomonas","visit","Week 48",0.0436504841908727,0.0298091300983536,0.14418622908623,"visitWeek 48",0.368725519762637,292,6
"67","ASV_126","visit","Week 48",0.0205848196640432,0.0141817468930051,0.147721316349768,"visitWeek 48",0.368725519762637,292,3
"68","ASV_689","visit","Week 48",0.0168258753848064,0.0116225688276467,0.148783981658608,"visitWeek 48",0.368725519762637,292,5
"69","Acinetobacter","visit","Week 48",0.0350206537452294,0.0241797425243226,0.148600383343196,"visitWeek 48",0.368725519762637,292,9
"70","ASV_112","visit","Week 48",-0.0433589488454998,0.0313671949232608,0.167942537850969,"visitWeek 48",0.375856043655604,292,21
"71","ASV_214","visit","Week 48",-0.0168372375222448,0.0118786750127171,0.157429573313762,"visitWeek 48",0.375856043655604,292,6
"72","ASV_639","visit","Week 48",-0.0157941368107153,0.0113599827689237,0.165494476880723,"visitWeek 48",0.375856043655604,292,6
"73","ASV_894","visit","Week 48",-0.00479081690306861,0.00340894071581319,0.16098217709454,"visitWeek 48",0.375856043655604,292,2
"74","Desulfomicrobium","visit","Week 48",-0.00561420094494589,0.00409504559102546,0.171443107632381,"visitWeek 48",0.375856043655604,292,2
"75","ASV_1212","visit","Week 48",-0.0049839011861138,0.00356461900827941,0.163133945481934,"visitWeek 48",0.375856043655604,292,2
"76","Erysipelotrichaceae_UCG.006","visit","Week 48",-0.00461046276719367,0.00326713519320333,0.159268230029211,"visitWeek 48",0.375856043655604,292,2
"77","Brevibacterium","visit","Week 48",0.0054063883288204,0.00391689258697314,0.168565071057454,"visitWeek 48",0.375856043655604,292,2
"78","ASV_1939","visit","Week 48",-0.0055065065099706,0.00400236457968215,0.169941053074707,"visitWeek 48",0.375856043655604,292,2
"79","Hydrogenophaga","visit","Week 48",0.0385266564082397,0.0283000804460181,0.174456078435966,"visitWeek 48",0.377620119146205,292,11
"80","Carnobacterium","visit","Week 48",0.00598544790681714,0.0044197583890537,0.176711619688079,"visitWeek 48",0.377721087083268,292,2
"81","Granulicatella","visit","Week 48",0.0741453245159093,0.0558682754798173,0.185504504399932,"visitWeek 48",0.391620620399857,292,281
"82","ASV_1306","visit","Week 48",0.00706244864462027,0.00539583199140765,0.191614239929277,"visitWeek 48",0.395036665147892,292,2
"83","Brevundimonas","visit","Week 48",0.00725025352777841,0.00556984797556439,0.19405309866914,"visitWeek 48",0.395036665147892,292,2
"84","ASV_1888","visit","Week 48",-0.00724988913582365,0.00556950947043397,0.194048423569735,"visitWeek 48",0.395036665147892,292,2
"85","ASV_216","visit","Week 48",-0.0472982813176879,0.0367269705394699,0.198830074396848,"visitWeek 48",0.399178193931786,292,22
"86","ASV_1258","visit","Week 48",-0.00779255889356154,0.00607694641382222,0.200756284667448,"visitWeek 48",0.399178193931786,292,2
"87","Tannerella","visit","Week 48",0.0623836665154376,0.0498914382278047,0.212165744163626,"visitWeek 48",0.417015428183679,292,59
"88","Fusobacterium","visit","Week 48",-0.102356638516269,0.0841165077049113,0.224653075302805,"visitWeek 48",0.417777343282705,292,270
"89","Mannheimia","visit","Week 48",-0.08720949539251,0.071447098504364,0.223222864044025,"visitWeek 48",0.417777343282705,292,44
"90","Peptostreptococcus","visit","Week 48",0.0926193379377303,0.0756104898403875,0.2215867439341,"visitWeek 48",0.417777343282705,292,122
"91","Oceanivirga","visit","Week 48",-0.0436537769558638,0.036263845204439,0.229655381687569,"visitWeek 48",0.417777343282705,292,17
"92","ASV_1095","visit","Week 48",-0.0143176081420511,0.0118281724040806,0.227085523456567,"visitWeek 48",0.417777343282705,292,3
"93","ASV_1325","visit","Week 48",-0.00760793077653374,0.00621230506409274,0.221699068518671,"visitWeek 48",0.417777343282705,292,4
"94","DMI","visit","Week 48",-0.0108072629681664,0.00897133042035709,0.229322793538905,"visitWeek 48",0.417777343282705,292,2
"95","ASV_269","visit","Week 48",-0.0134805444716922,0.0115893521186512,0.245711216719105,"visitWeek 48",0.424909452510022,292,2
"96","ASV_307","visit","Week 48",-0.0346260715072954,0.0296110566872695,0.243217670771655,"visitWeek 48",0.424909452510022,292,14
"97","Bulleidia","visit","Week 48",-0.0175778955941353,0.015092046039165,0.245092565820232,"visitWeek 48",0.424909452510022,292,7
