"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","Aggregatibacter","visit","Week 48",-2.23396069272794,0.376922009528896,8.74907108353448e-09,"visitWeek 48",1.30198640721714e-06,292,152
"2","ASV_209","visit","Week 48",-0.642045837606211,0.111460673085408,2.14077223267854e-08,"visitWeek 48",1.30198640721714e-06,292,50
"3","F0058","visit","Week 48",0.80472552067025,0.139998965612048,2.28418667932832e-08,"visitWeek 48",1.30198640721714e-06,292,73
"4","ASV_205","visit","Week 48",-0.561814911147205,0.115552299850146,1.90750688431911e-06,"visitWeek 48",8.15459193046421e-05,292,38
"5","Lautropia","visit","Week 48",1.8074818672792,0.392266488980033,6.10373016552016e-06,"visitWeek 48",0.000155759833232451,292,257
"6","Streptobacillus","visit","Week 48",-1.01389178984719,0.220505486232475,6.37613352413543e-06,"visitWeek 48",0.000155759833232451,292,80
"7","Oribacterium","visit","Week 48",1.10579563883126,0.238327439491553,5.28601969851073e-06,"visitWeek 48",0.000155759833232451,292,137
"8","ASV_187","visit","Week 48",-0.471477455408889,0.104802291703065,9.90269197439787e-06,"visitWeek 48",0.000211670040952754,292,28
"9","Streptococcus","visit","Week 48",5.90476004767224,1.3306107435925,1.29347281861657e-05,"visitWeek 48",0.000245759835537148,292,290
"10","Alloprevotella","visit","Week 48",-2.75026494561615,0.640811530787183,2.41798626249039e-05,"visitWeek 48",0.000413475650885857,292,136
"11","Actinomyces","visit","Week 48",1.99032182887796,0.48048618868883,4.51477031486142e-05,"visitWeek 48",0.000701841567128458,292,233
"12","ASV_62","visit","Week 48",-0.891985933268764,0.222842970523574,7.95748841911514e-05,"visitWeek 48",0.00113394209972391,292,102
"13","ASV_157","visit","Week 48",-0.504200637226971,0.12904238055051,0.000116235660683981,"visitWeek 48",0.00152894599822774,292,32
"14","Atopobium","visit","Week 48",0.633183521944412,0.163078930256208,0.000127983983555876,"visitWeek 48",0.00156323294200391,292,80
"15","Moraxella","visit","Week 48",-1.20328108051652,0.314331515033643,0.000158257895771691,"visitWeek 48",0.00180414001179727,292,77
