,x
Haemophilus,0.038594647
Moraxella,0.000152865
Veillonella,0.008302526
Lautropia,7.34E-05
Rothia,7.34E-05
Aggregatibacter,4.34E-10
Actinomyces,0.024811556
ASV_62,7.34E-05
Streptobacillus,2.24E-05
Oribacterium,0.008073601
ASV_157,0.005238427
ASV_180,0.029980124
ASV_187,0.003028704
Treponema,1.43E-06
ASV_205,0.00027593
ASV_209,4.18E-05
F0058,8.79E-05
Comamonas,0.043208105
Atopobium,0.005007957
Peptococcus,0.008482922
ASV_383,0.049357378
Lentimicrobium,0.049357378
Neisseria,0.796838643
Streptococcus,0.053224289
Prevotella,0.46777237
Fusobacterium,0.603688836
Porphyromonas,0.988788094
Actinobacillus,0.160268035
Gemella,0.115114833
Alloprevotella,0.107580937
Leptotrichia,0.757507512
Granulicatella,0.357786166
Escherichia/Shigella,0.757507512
ASV_52,0.757507512
Pseudomonas,0.357786166
Campylobacter,0.413815216
Bergeyella,0.757507512
ASV_68,0.988788094
ASV_77,0.09093227
Enterococcus,0.603688836
Dolosigranulum,0.824541566
Corynebacterium,0.461516847
ASV_112,0.160268035
Stomatobaculum,0.058368598
Lachnoanaerobaculum,0.870323298
ASV_120,0.624321746
ASV_126,NA
Mannheimia,0.413815216
TM7x,0.289917911
Tropheryma,0.999977827
Solobacterium,0.688251585
Peptostreptococcus,0.326217643
Abiotrophia,0.441487529
Oceanivirga,0.069160333
ASV_163,0.357786166
ASV_182,0.999977827
Eikenella,0.28200177
ASV_203,0.999977827
ASV_214,0.688251585
ASV_216,0.415873539
Conchiformibius,0.881183776
Hydrogenophaga,0.175187769
Catonella,0.976309084
Candidatus_Saccharimonas,0.061808108
ASV_239,0.963157804
ASV_242,NA
Mogibacterium,0.132915011
Selenomonas,0.567365593
ASV_260,0.908070351
Cardiobacterium,0.757507512
ASV_269,NA
ASV_280,NA
ASV_283,0.999977827
ASV_286,0.603688836
Capnocytophaga,0.128706452
Kingella,0.756888851
Butyrivibrio,0.999977827
ASV_307,0.313533222
Mycoplasma,0.999977827
Tannerella,0.688251585
Parvimonas,0.275492328
ASV_329,0.824541566
ASV_331,0.12190924
Filifactor,0.115114833
Dialister,0.688251585
ASV_339,0.461477116
Staphylococcus,0.757507512
Hyphomicrobium,0.288779674
Psychrobacter,NA
ASV_409,0.743390917
F0332,0.603688836
ASV_422,0.757507512
ASV_428,0.999977827
Peptoanaerobacter,0.053224289
Delftia,0.603688836
Sphingopyxis,0.461477116
ASV_461,0.128706452
Leuconostoc,0.757507512
ASV_472,0.870323298
ASV_485,NA
Amnipila,0.128706452
Rodentibacter,0.870278581
Bulleidia,0.540296305
Anaeroglobus,0.756888851
Shuttleworthia,0.107580937
ASV_508,NA
Rikenellaceae_RC9_gut_group,NA
ASV_525,0.999977827
Alysiella,0.999977827
ASV_529,0.999977827
ASV_540,0.143935488
ASV_543,0.999977827
ASV_561,0.757507512
Carnobacterium,NA
ASV_586,0.999977827
Defluviitaleaceae_UCG-011,NA
ASV_591,0.999977827
ASV_596,0.603688836
ASV_613,0.999977827
ASV_639,0.357786166
ASV_644,0.999977827
Alloscardovia,0.757507512
ASV_653,0.999977827
Centipeda,0.757507512
ASV_682,NA
ASV_689,0.461477116
Family_XIII_UCG-001,0.313533222
Fretibacterium,0.213955978
ASV_761,0.757507512
ASV_767,0.461477116
Lactobacillus,0.894273391
Johnsonella,0.286717701
ASV_817,0.357786166
ASV_844,NA
ASV_854,0.824541566
ASV_860,0.824541566
ASV_894,NA
ASV_897,NA
Scardovia,NA
Acinetobacter,0.315951499
ASV_934,0.603688836
Olsenella,0.603688836
Prevotellaceae_YAB2003_group,0.603688836
ASV_1004,0.757507512
Desulfomicrobium,NA
ASV_1054,NA
ASV_1095,0.757507512
ASV_1121,0.688251585
ASV_1212,NA
ASV_1230,0.757507512
ASV_1234,0.999977827
ASV_1235,0.757507512
ASV_1258,NA
ASV_1272,0.413815216
ASV_1306,NA
ASV_1325,0.603688836
Pantoea,0.757507512
ASV_1343,NA
ASV_1398,NA
ASV_1415,NA
Desulfobulbus,NA
ASV_1504,0.757507512
Erysipelotrichaceae_UCG-006,NA
ASV_1531,NA
Brevundimonas,NA
DMI,NA
Brevibacterium,NA
Pseudoramibacter,0.999977827
ASV_1867,0.999977827
ASV_1888,NA
ASV_1939,NA
