,taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,,
1,Moraxella,45,FALSE,TRUE,TRUE,TRUE,0.8,0.0004
2,Lautropia,46,FALSE,TRUE,TRUE,TRUE,0.8,0.0004
3,Rothia,44,FALSE,TRUE,TRUE,TRUE,0.8,0.0004
4,Aggregatibacter,52,TRUE,TRUE,TRUE,TRUE,0.9,0.00004
5,Actinomyces,36,FALSE,FALSE,FALSE,TRUE,0.6,0.04
6,ASV_62,44,FALSE,TRUE,TRUE,TRUE,0.8,0.0004
7,Streptobacillus,44,FALSE,TRUE,TRUE,TRUE,0.8,0.0004
8,Oribacterium,37,FALSE,FALSE,TRUE,TRUE,0.7,0.004
9,ASV_157,32,FALSE,FALSE,FALSE,TRUE,0.6,0.04
10,Treponema,45,FALSE,TRUE,TRUE,TRUE,0.8,0.0004
11,ASV_205,41,FALSE,FALSE,TRUE,TRUE,0.7,0.004
12,ASV_209,39,FALSE,FALSE,TRUE,TRUE,0.7,0.004
13,F0058,39,FALSE,FALSE,TRUE,TRUE,0.7,0.004
14,Peptococcus,33,FALSE,FALSE,FALSE,TRUE,0.6,0.04
,,,,,,,,
,,,,,,,,
,,,,,,,Moraxella,0.0004
,,,,,,,Lautropia,0.0004
,,,,,,,Rothia,0.0004
,,,,,,,Aggregatibacter,0.00004
,,,,,,,Actinomyces,0.04
,,,,,,,ASV_62,0.0004
,,,,,,,Streptobacillus,0.0004
,,,,,,,Oribacterium,0.004
,,,,,,,ASV_157,0.04
,,,,,,,Treponema,0.0004
,,,,,,,ASV_205,0.004
,,,,,,,ASV_209,0.004
,,,,,,,F0058,0.004
,,,,,,,Peptococcus,0.04
