"","Species","beta","se","W","p_val","q_val","diff_abn"
"visitWeek 483","Haemophilus",-0.648283245660391,0.198515451732687,-3.26565635068722,0.00109210696578919,0.00482347243223558,TRUE
"visitWeek 485","Moraxella",-1.46647554984455,0.304850458253052,-4.81047513672179,1.50571933636545e-06,1.33005208045614e-05,TRUE
"visitWeek 489","Lautropia",0.940415136458717,0.240840549821661,3.90472093322774,9.43341781468064e-05,0.000499971144178074,TRUE
"visitWeek 4812","Alloprevotella",-0.671257647208746,0.220965942266543,-3.03783307202624,0.00238285911186027,0.00902082378061388,TRUE
"visitWeek 4814","Rothia",0.726490934430574,0.226657746926682,3.20523319534088,0.00134953096094773,0.00550193391770998,TRUE
"visitWeek 4815","Aggregatibacter",-2.00007162447621,0.284650275032507,-7.02641732648178,2.11904040118602e-12,5.61545706314296e-11,TRUE
"visitWeek 4819","ASV_62",-1.09350200991017,0.238528944333893,-4.58435773052131,4.55384022653881e-06,3.44790760009367e-05,TRUE
"visitWeek 4825","Streptobacillus",-1.09511851042576,0.207468566683744,-5.27847918328328,1.30260460723425e-07,1.38076088366831e-06,TRUE
"visitWeek 4826","Oribacterium",0.572055549739915,0.212319070680571,2.69432014706093,0.00705323807938644,0.0233638511379676,TRUE
"visitWeek 4827","Stomatobaculum",-0.63810256150866,0.21761285122849,-2.93228344698568,0.00336479492432854,0.0118889420659608,TRUE
"visitWeek 4834","ASV_157",-0.705716713868379,0.16398826935322,-4.30345851353741,1.68152346856291e-05,0.000111400929792293,TRUE
"visitWeek 4835","Treponema",-1.21119654860067,0.165249915841633,-7.32948360325594,2.31041243982595e-13,1.22451859310775e-11,TRUE
"visitWeek 4836","ASV_205",-0.763330987788613,0.139591567922959,-5.46831731419408,4.54327999117166e-08,6.01984598830245e-07,TRUE
"visitWeek 4837","ASV_209",-0.84356191424762,0.143630448360575,-5.87314127245438,4.27613764107588e-09,7.5545098325674e-08,TRUE
"visitWeek 4838","F0058",0.578013638119079,0.168821383504185,3.42381768305287,0.000617480320778384,0.00297513245465949,TRUE
"visitWeek 4853","Peptococcus",-0.495449048290839,0.117909907070914,-4.20192891843147,2.64650240562569e-05,0.000155849586109069,TRUE
