"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","Treponema","visit","Week 48",-0.588144861744426,0.084213301461277,1.96399283529966e-11,"visitWeek 48",3.35842774836241e-09,292,60
"2","Aggregatibacter","visit","Week 48",-0.589323704564523,0.0901807373113662,2.85535799461098e-10,"visitWeek 48",2.44133108539239e-08,292,152
"3","ASV_209","visit","Week 48",-0.287064484402295,0.0485422319945564,9.39567946724592e-09,"visitWeek 48",5.35553729633018e-07,292,50
"4","F0058","visit","Week 48",0.340371309749594,0.0629246389552564,1.32594662062379e-07,"visitWeek 48",5.66842180316669e-06,292,73
"5","Lautropia","visit","Week 48",0.448772722096917,0.0910705516165785,1.40080015904808e-06,"visitWeek 48",4.79073654394444e-05,292,257
"6","Moraxella","visit","Week 48",-0.54863533303584,0.116275729976923,3.70183146439622e-06,"visitWeek 48",0.000105502196735292,292,104
"7","ASV_205","visit","Week 48",-0.203649856603095,0.0445231836991793,7.09739799797515e-06,"visitWeek 48",0.000173379293950536,292,38
"8","Streptobacillus","visit","Week 48",-0.351241579095506,0.0774422763895757,8.41960096179086e-06,"visitWeek 48",0.00017996897055828,292,83
"9","ASV_187","visit","Week 48",-0.156197417201502,0.035569239830636,1.58039945369101e-05,"visitWeek 48",0.000300275896201291,292,28
"10","Rothia","visit","Week 48",0.360945659758799,0.0843979684016343,2.57780849797011e-05,"visitWeek 48",0.000440805253152889,292,260
"11","ASV_157","visit","Week 48",-0.222887309623334,0.0543524514166086,5.35289969340205e-05,"visitWeek 48",0.000832132588701592,292,32
"12","Haemophilus","visit","Week 48",-0.203874788689536,0.0504897359122944,6.90786212436356e-05,"visitWeek 48",0.000984370352721807,292,290
"13","ASV_62","visit","Week 48",-0.397124260226951,0.103343573411903,0.00014950698108039,"visitWeek 48",0.00196659182805744,292,102
"14","Oribacterium","visit","Week 48",0.338332999972862,0.0961177251086107,0.000500960339280406,"visitWeek 48",0.00611887271549639,292,156
"15","Lentimicrobium","visit","Week 48",-0.0780725492486542,0.0231171111931251,0.000832156596200071,"visitWeek 48",0.0094865851966808,292,16
"16","Peptococcus","visit","Week 48",-0.132756602880086,0.0402812425365388,0.00110361104687462,"visitWeek 48",0.0117948430634725,292,42
"17","Peptoanaerobacter","visit","Week 48",-0.103166647322429,0.0318337934990958,0.00133081588464374,"visitWeek 48",0.0133864421337694,292,15
"18","Actinomyces","visit","Week 48",0.247880586134029,0.0798230706530792,0.00208837622272891,"visitWeek 48",0.0185728818043216,292,241
"19","ASV_180","visit","Week 48",0.100276574886554,0.0322095482978177,0.00203517510284394,"visitWeek 48",0.0185728818043216,292,27
"20","Atopobium","visit","Week 48",0.224460454609943,0.0725630439815587,0.00217226687769843,"visitWeek 48",0.0185728818043216,292,82
"21","ASV_383","visit","Week 48",-0.110152224854246,0.0367442279302937,0.00295471555237917,"visitWeek 48",0.0240598266408018,292,16
"22","Candidatus_Saccharimonas","visit","Week 48",0.191033830185822,0.0653825572106342,0.00375399445578353,"visitWeek 48",0.0277421776784306,292,84
"23","ASV_280","visit","Week 48",-0.0575440421569856,0.0197050308971152,0.00377175306897463,"visitWeek 48",0.0277421776784306,292,10
"24","Comamonas","visit","Week 48",-0.0876153924653452,0.0301078549937786,0.00389363897241131,"visitWeek 48",0.0277421776784306,292,21
"25","Veillonella","visit","Week 48",0.201217132994915,0.0713795559114209,0.0051493866154072,"visitWeek 48",0.0352218044493853,292,286
"26","Amnipila","visit","Week 48",-0.0400491262095833,0.014298878791981,0.00543929234360018,"visitWeek 48",0.035773807336755,292,10
"27","ASV_331","visit","Week 48",0.103260702437437,0.0373299294451596,0.00603615575686246,"visitWeek 48",0.0382289864601289,292,36
"28","ASV_461","visit","Week 48",-0.0623794014407501,0.0228469410136842,0.00671456707957045,"visitWeek 48",0.0410068203788052,292,10
