"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","Aggregatibacter","visit","Week 48",-2.23396069272794,0.376922009528896,8.74907108353448e-09,"visitWeek 48",1.30198640721714e-06,292,152
"2","ASV_209","visit","Week 48",-0.642045837606211,0.111460673085408,2.14077223267854e-08,"visitWeek 48",1.30198640721714e-06,292,50
"3","F0058","visit","Week 48",0.80472552067025,0.139998965612048,2.28418667932832e-08,"visitWeek 48",1.30198640721714e-06,292,73
"4","ASV_205","visit","Week 48",-0.561814911147205,0.115552299850146,1.90750688431911e-06,"visitWeek 48",8.15459193046421e-05,292,38
"5","Lautropia","visit","Week 48",1.8074818672792,0.392266488980033,6.10373016552016e-06,"visitWeek 48",0.000155759833232451,292,257
"6","Streptobacillus","visit","Week 48",-1.01389178984719,0.220505486232475,6.37613352413543e-06,"visitWeek 48",0.000155759833232451,292,80
"7","Oribacterium","visit","Week 48",1.10579563883126,0.238327439491553,5.28601969851073e-06,"visitWeek 48",0.000155759833232451,292,137
"8","ASV_187","visit","Week 48",-0.471477455408889,0.104802291703065,9.90269197439787e-06,"visitWeek 48",0.000211670040952754,292,28
"9","Streptococcus","visit","Week 48",5.90476004767224,1.3306107435925,1.29347281861657e-05,"visitWeek 48",0.000245759835537148,292,290
"10","Alloprevotella","visit","Week 48",-2.75026494561615,0.640811530787183,2.41798626249039e-05,"visitWeek 48",0.000413475650885857,292,136
"11","Actinomyces","visit","Week 48",1.99032182887796,0.48048618868883,4.51477031486142e-05,"visitWeek 48",0.000701841567128458,292,233
"12","ASV_62","visit","Week 48",-0.891985933268764,0.222842970523574,7.95748841911514e-05,"visitWeek 48",0.00113394209972391,292,102
"13","ASV_157","visit","Week 48",-0.504200637226971,0.12904238055051,0.000116235660683981,"visitWeek 48",0.00152894599822774,292,32
"14","Atopobium","visit","Week 48",0.633183521944412,0.163078930256208,0.000127983983555876,"visitWeek 48",0.00156323294200391,292,80
"15","Moraxella","visit","Week 48",-1.20328108051652,0.314331515033643,0.000158257895771691,"visitWeek 48",0.00180414001179727,292,77
"16","Treponema","visit","Week 48",-1.63596441499855,0.442197765097885,0.000258275573141523,"visitWeek 48",0.00276032018795003,292,5
"17","Candidatus_Saccharimonas","visit","Week 48",0.553995317803788,0.154166340768928,0.000383226908578974,"visitWeek 48",0.00385481184511792,292,77
"18","Haemophilus","visit","Week 48",-2.3391269657653,0.697335415061301,0.000901290576379875,"visitWeek 48",0.00816969741484582,292,287
"19","Peptococcus","visit","Week 48",-0.287634020171991,0.0858013105534861,0.000907744157205091,"visitWeek 48",0.00816969741484582,292,42
"20","ASV_180","visit","Week 48",0.44047682510887,0.138619616027721,0.00164539405350158,"visitWeek 48",0.0140681191574385,292,27
"21","ASV_280","visit","Week 48",-0.2394321316276,0.077632006905708,0.00223778426188484,"visitWeek 48",0.0182219575610622,292,10
"22","ASV_383","visit","Week 48",-0.255532316943336,0.0838336863153597,0.00251534804717257,"visitWeek 48",0.0195511143666595,292,16
"23","Shuttleworthia","visit","Week 48",0.26336449012288,0.09319963806468,0.00504369439605535,"visitWeek 48",0.037498771379368,292,13
"24","TM7x","visit","Week 48",0.479929051977468,0.172550452613855,0.00576736908248297,"visitWeek 48",0.038029083379684,292,91
"25","Peptoanaerobacter","visit","Week 48",-0.213199118953132,0.0766757806179316,0.0057821998121157,"visitWeek 48",0.038029083379684,292,15
"26","Lentimicrobium","visit","Week 48",-0.200877070799189,0.0720498506520919,0.0056534564392384,"visitWeek 48",0.038029083379684,292,16
"27","ASV_331","visit","Week 48",0.293202100291287,0.106639914827795,0.00634417604206509,"visitWeek 48",0.0401797815997456,292,36
"28","ASV_540","visit","Week 48",0.188759287866919,0.0692342790276167,0.00679303999590562,"visitWeek 48",0.0414860656892807,292,14
"29","Veillonella","visit","Week 48",2.10311885834758,0.780164499443473,0.00743353151227575,"visitWeek 48",0.0438322030551432,292,269
"30","Neisseria","visit","Week 48",-3.11925087666861,1.17430838730135,0.00833898100555104,"visitWeek 48",0.0475321917316409,292,257
"31","Mogibacterium","visit","Week 48",0.342063343437262,0.130119075709177,0.00902413871273629,"visitWeek 48",0.0497783135444486,292,66
