"","OTU","rab.all","rab.win.Baseline","rab.win.Week 48","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","Neisseria",13.1156855977743,13.0149624786932,13.2390208367359,0.21583406317116,2.54021509878816,0.0693301756507812,0.463307338655216,0.59832470062848,0.85142347676282,0.331272891029863,0.682139774545709,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria",NA
"2","Streptococcus",13.1463903477284,12.8854928009183,13.3655021628735,0.418164778626463,1.67066532807995,0.219565123869789,0.395400000364624,0.0170000696300269,0.12605353846941,0.00378527318490484,0.0364889733432868,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"3","Haemophilus",12.8238811014617,13.0465400343625,12.5989673627867,-0.554485745642733,2.46724484905202,-0.193146461701007,0.395720856192093,0.00871198175938494,0.0801014385195945,0.00393973534862615,0.0381741590359898,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",NA
"4","Prevotella",11.8706418022512,11.7899111256513,11.9553680245679,0.16741671708031,2.95154729793676,0.0413583031786129,0.476304739131319,0.219871430932737,0.5829158659234,0.408193108546726,0.745703440112243,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"5","Moraxella",1.49813183440555,3.01053284834121,0.725436332971987,-2.53127187260612,7.63614940658009,-0.317130184297778,0.366200000480401,0.000219037307997301,0.00426213000713723,0.000323338742202709,0.0048068932391428,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA
"6","Veillonella",10.9214230823437,10.6607986930412,11.2372752862069,0.591852816670618,2.43536526410582,0.189830385113076,0.386400000399277,0.00351536772332917,0.0438319489347528,0.00208908698762501,0.024348289817079,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella",NA
"7","Fusobacterium",9.75222966641809,10.1062158732365,9.48098567330965,-0.362173516989809,3.37451531729761,-0.0760430774444855,0.448310338106504,0.516345403772624,0.804626477081111,0.148793378626342,0.481869066962939,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA
"8","Porphyromonas",10.1381438251719,10.0609753442133,10.2329974884625,0.106854393033092,3.42058983710606,0.0229542657307754,0.485902819483122,0.828876399611252,0.94485085702449,0.626401422610192,0.861174064025772,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"9","Lautropia",8.55885981513786,7.71334194711753,9.20185046590832,1.54872361522068,4.54884487190594,0.28158842941503,0.341131774234062,3.19507468740024e-05,0.00108205532391782,4.12996767864615e-06,0.000228362853125344,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA
"10","Actinobacillus",2.58033416238779,6.54393098125574,1.9027492864147,-0.73670758096981,10.085086877727,-0.0733501088327448,0.455200000150542,0.186821442934352,0.5095446291081,0.26707871586549,0.596052169314381,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus",NA
