"","Species","beta","se","W","p_val","q_val","diff_abn"
"visitWeek 481","Neisseria",-0.10606198768781,0.173561812755471,-0.611090573461795,0.541139620072625,0.693640388085473,FALSE
"visitWeek 482","Streptococcus",0.0427957722958725,0.114875918992072,0.372539107163322,0.709491500621429,0.829565322079802,FALSE
"visitWeek 483","Haemophilus",-0.648283245660391,0.198515451732687,-3.26565635068722,0.00109210696578919,0.00482347243223558,TRUE
"visitWeek 484","Prevotella",0.0249479251045069,0.191332420393971,0.130390474615524,0.896257502409338,0.913493223609517,FALSE
"visitWeek 485","Moraxella",-1.46647554984455,0.304850458253052,-4.81047513672179,1.50571933636545e-06,1.33005208045614e-05,TRUE
"visitWeek 486","Veillonella",0.308861840339713,0.159384240456943,1.9378442903403,0.0526422223840617,0.132858942207394,FALSE
"visitWeek 487","Fusobacterium",-0.396188160622447,0.211239012337667,-1.87554446613837,0.0607178581588356,0.139915064452969,FALSE
"visitWeek 488","Porphyromonas",-0.195630964237132,0.211931988303593,-0.923083701535847,0.355963587537658,0.554884415867525,FALSE
"visitWeek 489","Lautropia",0.940415136458717,0.240840549821661,3.90472093322774,9.43341781468064e-05,0.000499971144178074,TRUE
"visitWeek 4810","Actinobacillus",-0.699714411064937,0.365019923273552,-1.91692114991915,0.0552479496951728,0.133097333356553,FALSE
"visitWeek 4811","Gemella",0.0948123975789931,0.141868762928442,0.668310596511058,0.503935350676274,0.693640388085473,FALSE
"visitWeek 4812","Alloprevotella",-0.671257647208746,0.220965942266543,-3.03783307202624,0.00238285911186027,0.00902082378061388,TRUE
"visitWeek 4813","Leptotrichia",-0.14564265762063,0.243450353328321,-0.59824377179775,0.549677288671507,0.693640388085473,FALSE
"visitWeek 4814","Rothia",0.726490934430574,0.226657746926682,3.20523319534088,0.00134953096094773,0.00550193391770998,TRUE
"visitWeek 4815","Aggregatibacter",-2.00007162447621,0.284650275032507,-7.02641732648178,2.11904040118602e-12,5.61545706314296e-11,TRUE
"visitWeek 4816","Granulicatella",0.00788651413574379,0.149296177855434,0.052824621829103,0.957871643502749,0.957871643502749,FALSE
"visitWeek 4817","ASV_52",-0.0813054439750934,0.266123285230742,-0.305517962866712,0.759971691165014,0.839135408994703,FALSE
"visitWeek 4818","Actinomyces",0.449950989714943,0.218391061482017,2.06029947682631,0.0393699199185553,0.10768404735701,FALSE
"visitWeek 4819","ASV_62",-1.09350200991017,0.238528944333893,-4.58435773052131,4.55384022653881e-06,3.44790760009367e-05,TRUE
"visitWeek 4820","Campylobacter",0.0686708178077563,0.191572482986003,0.358458671816524,0.720000090861715,0.829565322079802,FALSE
"visitWeek 4821","Bergeyella",-0.32951454494676,0.234978810067709,-1.40231599969296,0.160820904705828,0.315685479607737,FALSE
"visitWeek 4822","ASV_68",-0.245907763272572,0.247133053158622,-0.995041982970753,0.319715845892116,0.513483025220671,FALSE
"visitWeek 4823","ASV_77",0.342381844477498,0.257475909380018,1.32976263799564,0.183596489543671,0.347521926636234,FALSE
"visitWeek 4824","Corynebacterium",-0.253716157932035,0.249876420728284,-1.01536654476064,0.309931134399125,0.513483025220671,FALSE
"visitWeek 4825","Streptobacillus",-1.09511851042576,0.207468566683744,-5.27847918328328,1.30260460723425e-07,1.38076088366831e-06,TRUE
"visitWeek 4826","Oribacterium",0.572055549739915,0.212319070680571,2.69432014706093,0.00705323807938644,0.0233638511379676,TRUE
"visitWeek 4827","Stomatobaculum",-0.63810256150866,0.21761285122849,-2.93228344698568,0.00336479492432854,0.0118889420659608,TRUE
"visitWeek 4828","Lachnoanaerobaculum",-0.167447715533455,0.201967229612164,-0.829083588733693,0.407057109500019,0.599278522319472,FALSE
"visitWeek 4829","Mannheimia",-0.430052123018165,0.203463041693724,-2.11366211493844,0.0345441364701127,0.101713290717554,FALSE
"visitWeek 4830","TM7x",0.202825557606773,0.197175258245504,1.02865622903982,0.303641245210133,0.513483025220671,FALSE
"visitWeek 4831","Solobacterium",-0.404370235078074,0.171253286878786,-2.36124072388922,0.0182139032657768,0.0567845219462454,FALSE
"visitWeek 4832","Peptostreptococcus",0.0474285021106014,0.18024729071947,0.263130180327744,0.792450242804099,0.857140058543209,FALSE
"visitWeek 4833","Abiotrophia",0.0667495317882672,0.207735013172297,0.321320564930019,0.747967473490173,0.839135408994703,FALSE
"visitWeek 4834","ASV_157",-0.705716713868379,0.16398826935322,-4.30345851353741,1.68152346856291e-05,0.000111400929792293,TRUE
"visitWeek 4835","Treponema",-1.21119654860067,0.165249915841633,-7.32948360325594,2.31041243982595e-13,1.22451859310775e-11,TRUE
"visitWeek 4836","ASV_205",-0.763330987788613,0.139591567922959,-5.46831731419408,4.54327999117166e-08,6.01984598830245e-07,TRUE
"visitWeek 4837","ASV_209",-0.84356191424762,0.143630448360575,-5.87314127245438,4.27613764107588e-09,7.5545098325674e-08,TRUE
"visitWeek 4838","F0058",0.578013638119079,0.168821383504185,3.42381768305287,0.000617480320778384,0.00297513245465949,TRUE
"visitWeek 4839","Conchiformibius",-0.102314534247248,0.186711386316603,-0.547982296450606,0.583704058880565,0.703098070924317,FALSE
"visitWeek 4840","Catonella",-0.17673557028844,0.174661750416643,-1.01187334872604,0.311598613639973,0.513483025220671,FALSE
"visitWeek 4841","Candidatus_Saccharimonas",0.264118728568843,0.170727282610317,1.54702121729244,0.121858129487365,0.24840311010886,FALSE
"visitWeek 4842","Mogibacterium",0.106147916611198,0.156314188768629,0.679067699787092,0.497094967252287,0.693640388085473,FALSE
"visitWeek 4843","Selenomonas",-0.324147209527861,0.158334520852648,-2.04723017938409,0.0406354895686831,0.10768404735701,FALSE
"visitWeek 4844","Cardiobacterium",-0.0901748626082982,0.157086097185572,-0.57404738053789,0.565935739367708,0.697548702011361,FALSE
"visitWeek 4845","Capnocytophaga",0.16005213566724,0.179151628456195,0.893389231493226,0.371648767395778,0.562782419199321,FALSE
"visitWeek 4846","Kingella",-0.299411072605062,0.171029107389015,-1.75064395280995,0.0800072592778754,0.176682697571975,FALSE
"visitWeek 4847","Butyrivibrio",-0.158368443583658,0.129562916887248,-1.22232848247372,0.221583432420486,0.404962824768475,FALSE
"visitWeek 4848","Mycoplasma",-0.0987601324271786,0.160604912949774,-0.614925973392008,0.538603608989788,0.693640388085473,FALSE
"visitWeek 4849","Atopobium",0.306267959100941,0.184052894538682,1.66402142095393,0.0961081487095219,0.203749275264187,FALSE
"visitWeek 4850","Tannerella",-0.0257185922519707,0.1609836325165,-0.159759050345287,0.873070882765463,0.907308956599403,FALSE
"visitWeek 4851","Parvimonas",-0.024709772104834,0.12914275879953,-0.191336876604838,0.848261671405794,0.899157371690142,FALSE
"visitWeek 4852","ASV_331",0.0916860236498789,0.146158115539607,0.627307100337054,0.530457950043841,0.693640388085473,FALSE
"visitWeek 4853","Peptococcus",-0.495449048290839,0.117909907070914,-4.20192891843147,2.64650240562569e-05,0.000155849586109069,TRUE
