"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-1.46764228285647,0.0803977895632762,-18.2547591274432,4.7712289588726e-50
"mu.visitWeek 48",0.0543214451037554,0.106203665748057,0.511483711236672,0.609402959075652
"phi.(Intercept)",-1.62549334818284,0.0828031692521973,-19.6308107873504,4.12642604566535e-55
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-1.64839590926206,0.0606944078167694,-27.1589421259107,1.56343899457371e-81
"mu.visitWeek 48",0.210825062357929,0.0807536143210761,2.61071983130922,0.00950652013389921
"phi.(Intercept)",-2.46195872112928,0.0820547887730745,-30.0038396045101,9.0135362947181e-91
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-0.874097633732407,0.0895022255596448,-9.76621115583213,1.17854532425064e-19
"mu.visitWeek 48",-0.342129450809146,0.122537871232043,-2.79203031168441,0.00558707412389524
"phi.(Intercept)",-0.965001835622212,0.0779369076663119,-12.3818337744921,1.55121958602082e-28
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-2.31431189548546,0.0890691009304388,-25.9833305973627,1.37965801255045e-77
"mu.visitWeek 48",0.131772836117411,0.108337179705685,1.21632145562025,0.224854975295644
"phi.(Intercept)",-1.99037556494666,0.0919769277806887,-21.6399439834797,2.09485820095193e-62
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.70916041623205,0.228540078565023,-16.2298028403659,1.49160463518397e-42
"mu.visitWeek 48",-0.934954370913449,0.211482937660812,-4.42094469300868,1.39225896887463e-05
"phi.(Intercept)",-1.16553536169321,0.233218861188084,-4.99760334886999,1.00732146675755e-06
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.22133558622646,0.0812770696808192,-39.6340025406535,7.37142615907404e-119
"mu.visitWeek 48",0.321894531711329,0.0968595835165498,3.3233111275595,0.00100414311403686
"phi.(Intercept)",-3.05568171049753,0.0927451121421097,-32.9470916571369,7.23274990679493e-100
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.43879224607038,0.0951736702328983,-36.1317603666577,3.42406790558429e-109
"mu.visitWeek 48",-0.109274271662348,0.11115862077533,-0.983048106392119,0.326406016780625
"phi.(Intercept)",-2.89511259593324,0.105176217503093,-27.5263045645095,9.46871226705592e-83
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.42282935990753,0.090897230216201,-37.6560358524265,1.79444341075949e-113
"mu.visitWeek 48",-0.0201669513553692,0.107291665141962,-0.187963821128934,0.851036919872952
"phi.(Intercept)",-2.98498399444477,0.101368898411689,-29.446743934435,5.36293257320968e-89
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.20848266433125,0.116746266744186,-36.0481134146487,5.92652327470997e-109
"mu.visitWeek 48",0.548633092548479,0.118516586080069,4.62916719671478,5.55302703590725e-06
"phi.(Intercept)",-3.02025639645894,0.115063511694777,-26.2486026366953,1.74993975250377e-78
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.99512353142188,0.197439226001488,-20.2347001268724,2.56355287028726e-57
"mu.visitWeek 48",-0.353219334277747,0.176846996440801,-1.99731599284461,0.0467282169606054
"phi.(Intercept)",-1.73589518725114,0.200297346704955,-8.66659102483356,3.2357816341687e-16
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.55037285648846,0.0703601368337258,-64.6725981679348,6.22494887777271e-174
"mu.visitWeek 48",0.193810134136625,0.0871323340214818,2.22431932201934,0.0268994227305426
"phi.(Intercept)",-4.71542279780588,0.0930872111505978,-50.6559680918703,9.08199555274654e-146
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.49729247067396,0.0928579522244763,-37.6628214051022,1.71842277407151e-113
"mu.visitWeek 48",-0.252155251451234,0.110736199025225,-2.27708060842684,0.0235121986214376
"phi.(Intercept)",-3.02761753046804,0.105395332722779,-28.7262960536552,1.12035076537095e-86
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.87845067783634,0.115679019217362,-33.5276933023499,1.31793784733863e-101
"mu.visitWeek 48",0.083016143850984,0.120336956678759,0.689864079516291,0.490833247417091
"phi.(Intercept)",-2.8015426833933,0.119011340865036,-23.5401320834656,3.70574790810822e-69
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.1407741411491,0.10355492847713,-39.9862585204101,8.46585326421972e-120
"mu.visitWeek 48",0.523306702276672,0.112382144301627,4.65649330263843,4.90988160337685e-06
"phi.(Intercept)",-3.31205972999215,0.107206819117076,-30.8941143601621,1.42637654892859e-93
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.5527889565761,0.152535547812252,-29.8473963733352,2.82814000438958e-90
"mu.visitWeek 48",-1.20108201050222,0.172245150563673,-6.97309623273379,2.11133865853851e-11
"phi.(Intercept)",-3.11817786476902,0.172994106138728,-18.0247635851159,3.37607328635523e-49
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.34787735349708,0.0702843849979669,-61.8612136055946,9.94857054301433e-169
"mu.visitWeek 48",0.130058129652377,0.0882554221830107,1.47365596849882,0.141662610340267
"phi.(Intercept)",-4.52585986245392,0.0944176664038433,-47.9344600945326,1.42653996362302e-139
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.20214392614371,1.4415274561475,-4.99618921265054,1.01413963128731e-06
"mu.visitWeek 48",-0.701884652242769,1.2253076475586,-0.572823203740921,0.567209796486846
"phi.(Intercept)",-0.699632912400071,1.4609286393787,-0.4788960210251,0.632374733239996
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-5.8773521849811,0.21709697508798,-27.0724738684142,3.0323319874706e-81
"mu.visitWeek 48",0.129453975853371,0.187007854122755,0.692238176094978,0.489343575132388
"phi.(Intercept)",-3.39864485934579,0.218753508121401,-15.5364130547321,5.4597227136807e-40
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.96746624213585,0.110919796457064,-44.7843072274182,4.75089297053937e-132
"mu.visitWeek 48",0.353108272939425,0.11903493027396,2.96642567124408,0.00326447339135575
"phi.(Intercept)",-3.9987561315198,0.116948487273869,-34.1924570786072,1.41301929241652e-103
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.73194386002468,1.31347175991215,-5.88664644037861,1.09126086969745e-08
"mu.visitWeek 48",1.6255882842946,1.09619198030346,1.48294123064519,0.139179686447849
"phi.(Intercept)",-0.502541744614566,0.993772972856885,-0.505690694293955,0.61345927777831
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-5.57833512330049,0.217372524405899,-25.6625584974304,1.69464116027728e-76
"mu.visitWeek 48",-0.988841989038903,0.213252980099266,-4.63694335515786,5.36219046795985e-06
"phi.(Intercept)",-3.38074169082823,0.235754353660538,-14.340102900904,1.36383598493188e-35
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-5.69250915901444,0.110427797668319,-51.549603263052,9.57801994884686e-148
"mu.visitWeek 48",0.163879024608595,0.120657109133959,1.35822104296108,0.175452892334151
"phi.(Intercept)",-4.77290649752977,0.120117745184058,-39.7352322108293,3.95241633627908e-119
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.12824876000479,0.176966543935757,-34.6294199101809,7.37836358461278e-105
"mu.visitWeek 48",-0.112353022070359,0.165713416463938,-0.677995930974054,0.4983167357194
"phi.(Intercept)",-4.18029497915644,0.18511094543642,-22.5826461493183,8.94101413208063e-66
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.22271431887828,0.359980669708274,-17.2862457418092,1.82448809599879e-46
"mu.visitWeek 48",-0.0513894691326732,0.280421104524745,-0.183258208114427,0.854723924814477
"phi.(Intercept)",-2.70897546798652,0.363896865593665,-7.44434955098354,1.12496844684138e-12
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.52928745924774,0.178568201905247,-36.564670470907,2.02800392781728e-110
"mu.visitWeek 48",0.396713404810452,0.167970792072915,2.36179992911054,0.0188496114279373
"phi.(Intercept)",-4.45652737234574,0.178203530794896,-25.0080756114478,2.93905812801673e-74
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.88260731380214,1.47375227416509,-5.34866507213215,1.80402447694306e-07
"mu.visitWeek 48",1.1040856561568,1.15530794326369,0.955663520357882,0.340040961454442
"phi.(Intercept)",-0.681709906396774,1.25922204099427,-0.541373867517838,0.588666997823789
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.14456305704082,0.632343427763514,-11.2985487685226,9.25452858599881e-25
"mu.visitWeek 48",-0.221361188424333,0.474620983532244,-0.466395705425641,0.641283645735708
"phi.(Intercept)",-2.53033400232727,0.643908752421817,-3.92964685261753,0.000106501613877917
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-5.87495589887353,0.21706331728351,-27.0656321500889,3.19563794159095e-81
"mu.visitWeek 48",-0.23375606308303,0.189581724352501,-1.23300947853177,0.218574227550705
"phi.(Intercept)",-3.50247505134268,0.225357496445139,-15.5418617378691,5.21261848581922e-40
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.42330642107326,0.227451921972598,-28.2402820137396,4.26958493413091e-85
"mu.visitWeek 48",-1.25100895537267,0.248517475299434,-5.03388727036341,8.46797484213635e-07
"phi.(Intercept)",-4.20370234276268,0.253226561267979,-16.6005584947864,6.32223545022285e-44
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.69252809945476,0.168829699546662,-39.6407037234883,7.07322959331e-119
"mu.visitWeek 48",0.533104969779189,0.159123505301982,3.35025908816846,0.000914674531783565
"phi.(Intercept)",-4.70655021850477,0.166090268615929,-28.3373027072905,2.05941451774643e-85
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.96696547594042,0.551655660151062,-12.6291924096865,2.05830620633626e-29
"mu.visitWeek 48",-0.968421114515522,0.483259900826782,-2.00393434849179,0.046010155644371
"phi.(Intercept)",-2.85685897589617,0.582533484780829,-4.90419701276233,1.5678189209436e-06
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.37949183890401,0.16827958932596,-37.9100749202974,3.56146957054764e-114
"mu.visitWeek 48",-0.439246086413912,0.171481899846764,-2.5614720084535,0.0109305408362001
"phi.(Intercept)",-4.63767679402336,0.183964269457311,-25.2096605917245,5.97295593215901e-75
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.52452788355689,0.136286433314888,-47.8736417474664,1.97637457282201e-139
"mu.visitWeek 48",0.0544370165797889,0.143428284448579,0.379541711658034,0.704564373094921
"phi.(Intercept)",-5.16113500384905,0.146450698903242,-35.2414501432932,1.22650037173668e-106
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.94910136203721,0.803998535604835,-8.64317664062598,3.80869590611037e-16
"mu.visitWeek 48",-0.577984606645665,0.627176943408575,-0.921565457276601,0.357523949540646
"phi.(Intercept)",-1.89143452234035,0.827113774591984,-2.28678880758986,0.0229312153157014
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-31.2601464161014,38128.1900843385,-0.00081986966459606,0.999346404363926
"mu.visitWeek 48",22.2065360431041,38128.1900664899,0.000582417786010276,0.99953569968381
"phi.(Intercept)",-3.33245991102736,1.55023141841971,-2.14965318818298,0.032412607175458
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.81402614612632,0.370472436036681,-18.3928019558563,1.47564121956348e-50
"mu.visitWeek 48",-0.417991275061282,0.306714482938326,-1.36280253562507,0.174005690299708
"phi.(Intercept)",-3.39565827407824,0.385861087477647,-8.80020915370211,1.27032891941151e-16
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.24880945968379,0.207404567002265,-34.9500956726986,8.5760544043241e-106
"mu.visitWeek 48",0.314128145961412,0.189468950896334,1.65793996575874,0.0984145796284603
"phi.(Intercept)",-4.87790138493528,0.208076032831795,-23.4428795981443,8.13773023015335e-69
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.95752266394419,0.811231296126965,-11.0418849799185,6.96310338747853e-24
"mu.visitWeek 48",0.000980449362201677,0.63251168768761,0.00155008892529099,0.998764277899749
"phi.(Intercept)",-3.84538452217287,0.822443957990835,-4.67555811531139,4.50430594482069e-06
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.64798059787985,0.178370983341792,-42.8768202910273,2.67596308824903e-127
"mu.visitWeek 48",-0.155743925543071,0.185219927325879,-0.840859446343766,0.401121844792381
"phi.(Intercept)",-5.77451873305917,0.193941133774689,-29.7745951086772,4.82006520477851e-90
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.7450554466928,0.181482856197522,-42.6765128617067,8.61619648675061e-127
"mu.visitWeek 48",0.279910252255284,0.179466903600794,1.55967616668707,0.119930792968302
"phi.(Intercept)",-5.73167963749034,0.186357669697884,-30.7563388551827,3.84444707897205e-93
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.46392472520358,0.253025700846778,-29.4986821505671,3.65803968060501e-89
"mu.visitWeek 48",0.290652830627885,0.222957869052377,1.30362221285674,0.193399915739956
"phi.(Intercept)",-4.67102907344747,0.252892745083889,-18.4703957082597,7.63215598801071e-51
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.78246953371885,0.621012601553664,-10.9216294753928,1.7813532252029e-23
"mu.visitWeek 48",-1.57490857989657,0.636426228647306,-2.47461293863385,0.0139119983477968
"phi.(Intercept)",-2.5179258865505,0.660533797372816,-3.81195617327261,0.000168519879784038
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.34575919608695,0.401324683771049,-18.3037811855042,3.14490220083481e-50
"mu.visitWeek 48",-1.58012068349275,0.453000357647931,-3.48812237521633,0.000562148038662562
"phi.(Intercept)",-4.02790689670174,0.439681526155574,-9.16096460071995,9.78835953699004e-18
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.0960697603044,0.545803289563396,-14.833310672753,2.1231758273751e-37
"mu.visitWeek 48",0.610263138068409,0.416763577245013,1.46429095868337,0.144201369258489
"phi.(Intercept)",-3.53394089444629,0.521384241368226,-6.77799713541871,6.84444693680028e-11
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.67697961736573,0.573794552537777,-15.1221017679398,1.8398477397207e-38
"mu.visitWeek 48",1.3380177118648,0.46301025796347,2.88982304139441,0.00414655336605931
"phi.(Intercept)",-3.73759539135885,0.489048041790718,-7.64259351223065,3.15762949328311e-13
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.96206979181981,0.545560018557977,-14.5943058893229,1.59996232573777e-36
"mu.visitWeek 48",-0.00475512612919804,0.42647716366464,-0.0111497790135774,0.991111640632881
"phi.(Intercept)",-3.6413850422672,0.553037126308857,-6.58434103072057,2.15009467134412e-10
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.0616648751158,0.394278542241143,-20.446623418287,4.33624437660381e-58
"mu.visitWeek 48",-2.24562260608775,0.611075211013971,-3.67487105615287,0.000283570007304458
"phi.(Intercept)",-4.86270771113748,0.445054146270687,-10.9261036030882,1.72029950553047e-23
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.92176372947892,0.26003510816994,-26.618573846403,9.96701502151457e-80
"mu.visitWeek 48",-2.13061573971999,0.379889394501285,-5.6085159800711,4.77186060209874e-08
"phi.(Intercept)",-4.54213782239815,0.296187146868505,-15.3353643816782,3.01264179821445e-39
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.46883801134646,0.554464606480252,-15.2739019089185,5.07619991943519e-39
"mu.visitWeek 48",0.737384887401563,0.433074662254879,1.70267381509285,0.0897043345301895
"phi.(Intercept)",-3.84562408651988,0.521079550667364,-7.38010939326761,1.69020290894399e-12
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.66268397975061,0.82822871023392,-10.4592896535837,6.33902155841427e-22
"mu.visitWeek 48",1.75782904679498e-05,0.632539249806548,2.77900390739797e-05,0.999977845929556
"phi.(Intercept)",-3.49276334199375,0.837847274128667,-4.16873510226085,4.05202286846434e-05
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.97544711316099,0.322627665082847,-24.720282778952,2.88241840371541e-73
"mu.visitWeek 48",-2.04852439647431,0.47995501040311,-4.26815920674267,2.67521788100277e-05
"phi.(Intercept)",-5.16834609922088,0.368943334758095,-14.0085091999551,2.21185441243698e-34
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.10679926789023,0.25949759126936,-31.2403642293362,1.19294663676084e-94
"mu.visitWeek 48",-1.8736274428707,0.385782837369361,-4.85668946718029,1.95854281176716e-06
"phi.(Intercept)",-5.73807460749556,0.305563225922086,-18.7786818593108,5.57334564217383e-52
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.60291014946286,0.297889672703779,-28.8795179483029,3.57753889489177e-87
"mu.visitWeek 48",1.19650539137899,0.262174140878299,4.56378110888675,7.43774811824724e-06
"phi.(Intercept)",-5.1973459993799,0.258985796245695,-20.0680735187858,1.03903647807064e-56
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.48589179205042,1.05834327633333,-8.01809014316232,2.68807031988398e-14
"mu.visitWeek 48",-0.712099406248921,0.866133758077116,-0.822158701942107,0.411664368266198
"phi.(Intercept)",-3.01782837228566,1.10702424270908,-2.72607252475384,0.00680067483574024
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.43314705197193,0.492900578450384,-17.1092253096652,8.25554558722221e-46
"mu.visitWeek 48",-0.59664927847593,0.44320333674254,-1.3462201861141,0.179286486968123
"phi.(Intercept)",-4.52878051116207,0.524047460519499,-8.64192816939252,3.84191911051013e-16
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.71675549533493,0.355766291708394,-21.6905189591711,1.37858268119824e-62
"mu.visitWeek 48",0.104251680408645,0.295041868704614,0.353345377272602,0.724087137520252
"phi.(Intercept)",-4.25563635703757,0.359738325929625,-11.8298108661074,1.34616523434248e-26
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-10.0997285842095,0.947429994360436,-10.6601317715589,1.35389693511651e-22
"mu.visitWeek 48",1.52361061293243,0.781771791336961,1.94891991475774,0.0522723919510387
"phi.(Intercept)",-4.10506013464937,0.771434777906806,-5.32133143619471,2.06912800386035e-07
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.69060673872086,0.224433052177644,-34.2668188312726,8.53583485759481e-104
"mu.visitWeek 48",-0.0456073036265696,0.212247791058846,-0.214877636177259,0.830014271191061
"phi.(Intercept)",-5.27320721851885,0.234821434231118,-22.4562431269745,2.51781396317644e-65
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.96064768957903,0.253024556548202,-31.4619568874236,2.45684896531697e-95
"mu.visitWeek 48",0.563088752387389,0.222760252114485,2.5277792920525,0.0120116347883924
"phi.(Intercept)",-5.09450001887805,0.24473016959413,-20.8168041861245,1.96203910207663e-59
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.75830598897048,0.491627286495039,-17.8149305979559,2.01516458493482e-48
"mu.visitWeek 48",-0.0993799037496107,0.417389282017812,-0.238098839695097,0.811973160085111
"phi.(Intercept)",-4.72714363945475,0.507006409941138,-9.32363683528884,3.02691638643017e-18
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.93255454800851,1.05802212421873,-8.44269164466154,1.52230611889631e-15
"mu.visitWeek 48",-22.3030255136069,30726.8234339975,-0.000725848721769587,0.999421357333957
"phi.(Intercept)",-3.81682675097976,1.16437271861862,-3.27801114707319,0.00117310565239604
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.78094782217015,0.270418569347509,-32.4716895121428,1.98096517353215e-98
"mu.visitWeek 48",0.529261494865762,0.251205673016355,2.10688512130578,0.0359892455320621
"phi.(Intercept)",-5.85746451957534,0.264205089109447,-22.1701426695414,2.63811325087522e-64
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.96776899197836,0.287712810102164,-27.6934801378815,2.65782043117244e-83
"mu.visitWeek 48",-0.288186929200538,0.266555800018397,-1.08115047273647,0.280531530300391
"phi.(Intercept)",-5.09341206271798,0.304674271767111,-16.7175653959101,2.33074220758159e-44
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.58264957142138,0.803971877360683,-10.6753106832504,1.20419698505543e-22
"mu.visitWeek 48",0.185891975066555,0.605625336170846,0.306942203313163,0.759108409531531
"phi.(Intercept)",-3.39964231818794,0.801136718415471,-4.24352328390581,2.96724066327124e-05
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.36991856081576,0.290944687639167,-28.768074883004,8.20438620988214e-87
"mu.visitWeek 48",0.165447438303458,0.262772262474736,0.629622916609644,0.529438757289199
"phi.(Intercept)",-5.35860594387839,0.295969014296895,-18.1052937470779,1.70131640151527e-49
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.58568031317472,1.82237185521409,-4.71126696157524,3.82977725842889e-06
