"","x"
"Neisseria",0.796838642903146
"Streptococcus",0.0532242887766198
"Haemophilus",0.0385946467562526
"Prevotella",0.467772370022197
"Moraxella",0.000152864951733083
"Veillonella",0.00830252628788546
"Fusobacterium",0.603688835551442
"Porphyromonas",0.988788094026963
"Lautropia",7.34278507303393e-05
"Actinobacillus",0.160268034892334
"Gemella",0.115114833092952
"Alloprevotella",0.107580936591291
"Leptotrichia",0.757507512183222
"Rothia",7.34278507303393e-05
"Aggregatibacter",4.34056540961176e-10
"Granulicatella",0.357786166194233
"Escherichia/Shigella",0.757507512183222
"ASV_52",0.757507512183222
"Actinomyces",0.0248115557005421
"Pseudomonas",0.357786166194233
"ASV_62",7.34278507303393e-05
"Campylobacter",0.413815216087205
"Bergeyella",0.757507512183222
"ASV_68",0.988788094026963
"ASV_77",0.0909322704544482
"Enterococcus",0.603688835551442
"Dolosigranulum",0.824541565805355
"Corynebacterium",0.461516846950236
"Streptobacillus",2.2429510980116e-05
"Oribacterium",0.0080736005188787
"ASV_112",0.160268034892334
"Stomatobaculum",0.0583685984521895
"Lachnoanaerobaculum",0.870323298386455
"ASV_120",0.624321745764156
"ASV_126",NA
"Mannheimia",0.413815216087205
"TM7x",0.289917910877643
"Tropheryma",0.999977826756882
"Solobacterium",0.688251585285067
"Peptostreptococcus",0.32621764290418
"Abiotrophia",0.441487528694169
"Oceanivirga",0.0691603327537331
"ASV_157",0.00523842729002553
"ASV_163",0.357786166194233
"ASV_180",0.029980124246489
"ASV_182",0.999977826756882
"ASV_187",0.00302870358748052
"Treponema",1.42848201536978e-06
"Eikenella",0.28200177011944
"ASV_203",0.999977826756882
"ASV_205",0.000275929704444672
"ASV_209",4.17775978120773e-05
"F0058",8.79208070273044e-05
"ASV_214",0.688251585285067
"ASV_216",0.415873539397006
"Conchiformibius",0.88118377629706
"Hydrogenophaga",0.17518776870643
"Catonella",0.976309083967231
"Candidatus_Saccharimonas",0.0618081076572598
"ASV_239",0.963157803825752
"ASV_242",NA
"Mogibacterium",0.132915011010142
"Selenomonas",0.567365592502403
"ASV_260",0.908070351226967
"Cardiobacterium",0.757507512183222
"ASV_269",NA
"ASV_280",NA
"ASV_283",0.999977826756882
"Comamonas",0.0432081052797199
"ASV_286",0.603688835551442
"Capnocytophaga",0.128706452403756
"Kingella",0.756888851007178
"Butyrivibrio",0.999977826756882
"ASV_307",0.313533222139826
"Mycoplasma",0.999977826756882
"Atopobium",0.00500795693676572
"Tannerella",0.688251585285067
"Parvimonas",0.275492328319747
"ASV_329",0.824541565805355
"ASV_331",0.121909239513504
"Filifactor",0.115114833092952
"Dialister",0.688251585285067
"ASV_339",0.461477116217155
"Peptococcus",0.00848292235312925
"Staphylococcus",0.757507512183222
"Hyphomicrobium",0.288779674044541
"ASV_383",0.0493573781643034
"Psychrobacter",NA
"ASV_409",0.743390916988405
"F0332",0.603688835551442
"ASV_422",0.757507512183222
"ASV_428",0.999977826756882
"Peptoanaerobacter",0.0532242887766198
"Delftia",0.603688835551442
"Sphingopyxis",0.461477116217155
"Lentimicrobium",0.0493573781643034
"ASV_461",0.128706452403756
"Leuconostoc",0.757507512183222
"ASV_472",0.870323298386455
"ASV_485",NA
"Amnipila",0.128706452403756
"Rodentibacter",0.870278580950779
"Bulleidia",0.540296305328066
"Anaeroglobus",0.756888851007178
"Shuttleworthia",0.107580936591291
"ASV_508",NA
"Rikenellaceae_RC9_gut_group",NA
"ASV_525",0.999977826756882
"Alysiella",0.999977826756882
"ASV_529",0.999977826756882
"ASV_540",0.143935488379124
"ASV_543",0.999977826756882
"ASV_561",0.757507512183222
"Carnobacterium",NA
"ASV_586",0.999977826756882
"Defluviitaleaceae_UCG-011",NA
"ASV_591",0.999977826756882
"ASV_596",0.603688835551442
"ASV_613",0.999977826756882
"ASV_639",0.357786166194233
"ASV_644",0.999977826756882
"Alloscardovia",0.757507512183222
"ASV_653",0.999977826756882
"Centipeda",0.757507512183222
"ASV_682",NA
"ASV_689",0.461477116217155
"Family_XIII_UCG-001",0.313533222139826
"Fretibacterium",0.213955977782021
"ASV_761",0.757507512183222
"ASV_767",0.461477116217155
"Lactobacillus",0.894273390562479
"Johnsonella",0.286717701104273
"ASV_817",0.357786166194233
"ASV_844",NA
"ASV_854",0.824541565805355
"ASV_860",0.824541565805355
"ASV_894",NA
"ASV_897",NA
"Scardovia",NA
"Acinetobacter",0.315951499228138
"ASV_934",0.603688835551442
"Olsenella",0.603688835551442
"Prevotellaceae_YAB2003_group",0.603688835551442
"ASV_1004",0.757507512183222
"Desulfomicrobium",NA
"ASV_1054",NA
"ASV_1095",0.757507512183222
"ASV_1121",0.688251585285067
"ASV_1212",NA
"ASV_1230",0.757507512183222
"ASV_1234",0.999977826756882
"ASV_1235",0.757507512183222
"ASV_1258",NA
"ASV_1272",0.413815216087205
"ASV_1306",NA
"ASV_1325",0.603688835551442
"Pantoea",0.757507512183222
"ASV_1343",NA
"ASV_1398",NA
"ASV_1415",NA
"Desulfobulbus",NA
"ASV_1504",0.757507512183222
"Erysipelotrichaceae_UCG-006",NA
"ASV_1531",NA
"Brevundimonas",NA
"DMI",NA
"Brevibacterium",NA
"Pseudoramibacter",0.999977826756882
"ASV_1867",0.999977826756882
"ASV_1888",NA
"ASV_1939",NA
