"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","Moraxella",45,FALSE,TRUE,TRUE,TRUE
"2","Lautropia",46,FALSE,TRUE,TRUE,TRUE
"3","Rothia",44,FALSE,TRUE,TRUE,TRUE
"4","Aggregatibacter",52,TRUE,TRUE,TRUE,TRUE
"5","Actinomyces",36,FALSE,FALSE,FALSE,TRUE
"6","ASV_62",44,FALSE,TRUE,TRUE,TRUE
"7","Streptobacillus",44,FALSE,TRUE,TRUE,TRUE
"8","Oribacterium",37,FALSE,FALSE,TRUE,TRUE
"9","ASV_157",32,FALSE,FALSE,FALSE,TRUE
"10","Treponema",45,FALSE,TRUE,TRUE,TRUE
"11","ASV_205",41,FALSE,FALSE,TRUE,TRUE
"12","ASV_209",39,FALSE,FALSE,TRUE,TRUE
"13","F0058",39,FALSE,FALSE,TRUE,TRUE
"14","Peptococcus",33,FALSE,FALSE,FALSE,TRUE
