"","ASVs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","Neisseria",3201.31146402432,6.34974989418604e-05,0.00144334102260027,0.991667287750884,0.999177050006185
"2","Streptococcus",3011.24750212962,0.000108433528955696,0.00144465635959425,0.914638425037721,0.999177050006185
"3","Haemophilus",9590.89600335311,0.500441029864169,0.410876528862116,0.592383639699592,0.947813823519347
"4","Prevotella",1220.37978430661,2.34587605576885e-05,0.00144273792093011,0.644678797392507,0.971689781577112
"5","Moraxella",102.680188777309,-2.86151437575886e-06,0.00144269362962991,1.34897919799109e-05,0.000350734591477683
"6","Veillonella",579.845844865502,0.384892604267012,0.164159363067413,0.000620918857096723,0.00717506234867324
"7","Fusobacterium",372.020765728081,-2.81585211037842e-05,0.00144279776658281,0.00612680401947284,0.0490144321557827
"8","Porphyromonas",463.642560395876,-1.01278186318255e-05,0.00144267789101633,0.46634095899476,0.909739911361456
"9","Lautropia",274.07857115258,1.25140099704826,0.264640439562671,9.65120815505965e-08,5.01862824063102e-06
"10","Actinobacillus",266.112002596876,7.09391041668526e-09,0.00144269052826738,0.999177050006185,0.999177050006185
"11","Gemella",187.80934556582,-2.23971096018312e-06,0.0014426359588643,0.176667071706609,0.545349266563283
"12","Alloprevotella",347.604018197817,-0.000531979551023596,0.0014977994329129,0.169916287238406,0.545349266563283
"13","Leptotrichia",247.502558955423,-3.28109900785058e-06,0.00144267483878137,0.796938702277106,0.98032521778069
"14","Rothia",311.989197873251,0.652493256891655,0.253754289225428,0.000318052138812029,0.00472534606235015
"15","Aggregatibacter",91.1338101502753,-6.37209312480618e-06,0.00144269546154146,0.0297423760177914,0.181109340922342
"16","Granulicatella",200.557201878872,2.52322213265534e-06,0.00144262190925942,0.739599260055256,0.98032521778069
"17","Escherichia/Shigella",0.0494772048309115,-3.42125371292345e-07,0.00144269502528393,0.944667745974079,NA
"18","ASV_52",35.1540292804998,7.8404539295479e-07,0.0014426900465241,0.679325203084061,0.98032521778069
"19","Actinomyces",101.912764015016,0.633367709383892,0.259161681982247,0.000426828269142766,0.00554876749885596
"20","Pseudomonas",0.126409291679558,3.70189689571528e-07,0.00144269505394317,0.727210108330905,NA
"21","ASV_62",22.7680589619473,-9.69927396449047e-07,0.00144269081597481,0.105474925550542,0.438775690290255
"22","Campylobacter",39.4577701512943,5.08062622731775e-06,0.00144266827286408,0.28620478123368,0.692216215076807
"23","Bergeyella",25.9689613274043,-3.06025866935059e-07,0.00144268754747168,0.251401143543088,0.668057011169794
"24","ASV_68",24.0262021035894,-1.83526975595836e-07,0.00144269338110183,0.863799228769636,0.98032521778069
"25","ASV_77",26.65660325935,2.40270474663482e-06,0.00144268817750444,0.233213893803454,0.655520133934034
"26","Enterococcus",0.082790762479891,1.70416880440346e-07,0.00144269491621882,0.80425629336673,NA
