taxa_id,x,y,zero_ind
Neisseria,0.016559329962735892,15,No
Streptococcus,0.10479681491263526,26,No
Haemophilus,-0.5918657342785798,27,No
Prevotella,-0.029535285284986786,16,No
Moraxella,-0.13741402236821096,45,No
Veillonella,0.25610564534842667,28,No
Fusobacterium,-0.32637330096232936,17,No
Porphyromonas,-0.06667114024150621,12,No
Lautropia,0.5254612783464937,46,No
Actinobacillus,3.2982968788967753e-4,8,No
Gemella,0.12877522153041535,20,No
Alloprevotella,-0.4816773419721555,28,No
Leptotrichia,-0.396539038750266,9,No
Rothia,0.3919624051855672,44,No
Aggregatibacter,-0.17061838518105896,52,No
Granulicatella,0.10530693229400599,15,No
ASV_52,-0.12393008175619559,6,No
Actinomyces,0.236741764090535,36,No
ASV_62,0.32472661779379336,44,No
Campylobacter,-0.054541254054312024,12,No
Bergeyella,-0.05730271190149284,10,No
ASV_68,-0.018128830059760723,13,No
ASV_77,-0.08410415351850649,18,No
Corynebacterium,0.3063772275866093,12,No
Streptobacillus,0.3603440246070443,44,No
Oribacterium,-0.05250919701548595,37,No
Stomatobaculum,0.15110980456390757,28,No
Lachnoanaerobaculum,-0.19501453272287014,12,No
Mannheimia,0.022233378763473675,21,No
TM7x,-0.007439737012223502,14,No
Solobacterium,-0.14374577748104284,18,No
Peptostreptococcus,-0.22860583950860083,14,No
Abiotrophia,-0.06886682555484894,11,No
ASV_157,0.12949707610922565,32,No
Treponema,0.4129503936047844,45,No
ASV_205,0.34214295676748824,41,No
ASV_209,0.44624947383904184,39,No
F0058,-0.33395352612631035,39,No
Conchiformibius,0.011902997600237797,16,No
Catonella,0.04417074901169229,15,No
Candidatus_Saccharimonas,-0.16149637501342992,20,No
Mogibacterium,-0.1991189857040785,17,No
Selenomonas,0.08153360750027912,20,No
Cardiobacterium,-0.05158571822370347,18,No
Capnocytophaga,-0.20771701852637459,13,No
Kingella,0.02157810780564191,19,No
Butyrivibrio,0.06549426277554722,21,No
Mycoplasma,0.09956207080108223,14,No
Atopobium,-0.44888364303611816,27,No
Tannerella,-0.03589987353967565,16,No
Parvimonas,-0.1400762629883242,16,No
ASV_331,-0.1318208771013907,19,No
Peptococcus,0.35952349939527734,33,No
