"","taxon","stat","p","p.adj"
"1","Neisseria",10040,0.392033017893609,0.598550411248278
"2","Streptococcus",8258,0.000880959583368314,0.00836911604199898
"3","Haemophilus",13473.5,9.54183605348631e-05,0.0013597116376218
"4","Prevotella",10202,0.527786469993824,0.711985597204295
"5","Moraxella",13557,2.70089518826532e-06,6.45454081321267e-05
"6","Veillonella",8386.5,0.00164439804550419,0.0133900983705341
"7","Fusobacterium",12013.5,0.0602981659810991,0.184124756835142
"8","Porphyromonas",10481.5,0.807247185832098,0.92643804548516
"9","Lautropia",7320,3.65323079446744e-06,6.94113850948814e-05
"10","Actinobacillus",11537,0.182788051057248,0.33251868862542
"11","Gemella",9111,0.0320597801635012,0.123801729113094
"12","Alloprevotella",12601,0.00708001054833635,0.0448400668061302
"13","Leptotrichia",11161,0.485615930232677,0.692836574515667
"14","Rothia",7291,3.01966821670768e-06,6.45454081321267e-05
"15","Aggregatibacter",14759,1.68533151244423e-09,1.44095844313982e-07
"16","Granulicatella",9139,0.0353005207585955,0.125758105202496
"17","Escherichia/Shigella",10732,0.559689024326379,0.711985597204295
"18","ASV_52",10452,0.746025179689991,0.867825209027133
"19","Actinomyces",8183,0.000583545322081677,0.00623664062974792
"20","Pseudomonas",10366.5,0.100704046004277,0.251775234596008
"21","ASV_62",13255,2.35420927063183e-05,0.000365972532070948
"22","Campylobacter",9910,0.298337024535822,0.509029727657679
"23","Bergeyella",11109,0.502484522501329,0.710122754939895
"24","ASV_68",10753,0.843066928526326,0.948450294592117
"25","ASV_77",8964,0.0113148074312583,0.0604635022107865
"26","Enterococcus",10513.5,0.321492459573271,0.509029727657679
"27","Dolosigranulum",10784,0.676448149977862,0.814596011593059
"28","Corynebacterium",11109,0.475477088261836,0.692836574515667
"29","Streptobacillus",13439,1.27891320081644e-06,4.41749939331818e-05
"30","Oribacterium",8424.5,0.00109647641179266,0.0098682877061339
"31","ASV_112",11293,0.0495734292743859,0.156982526035555
"32","Stomatobaculum",11965,0.0491654606697374,0.156982526035555
"33","Lachnoanaerobaculum",10841,0.79469703479414,0.918197249660797
"34","ASV_120",10878,0.3563382097848,0.553943944301826
"35","ASV_126",10439,0.0829113022107426,0.221528635594328
"36","Mannheimia",11258,0.181822184344134,0.33251868862542
"37","TM7x",9503,0.066736599938919,0.200209799816757
"38","Tropheryma",10654.5,0.989469214155316,1
"39","Solobacterium",11540.5,0.164497142315004,0.319647856089382
"40","Peptostreptococcus",9815.5,0.192674615562782,0.339663497538513
"41","Abiotrophia",9881,0.172573655572564,0.331574102279871
