"","taxon","stat","p","p.adj"
"1","Neisseria",12617,0.00663287087098209,0.0630122732743299
"2","Streptococcus",7543,1.58091239746139e-05,0.000406060150261585
"3","Haemophilus",12840,0.00249586293286585,0.0284528374346707
"4","Prevotella",10602,0.938679061517034,0.95648427583616
"5","Moraxella",13016,0.00108386380850322,0.0142569777887731
"6","Veillonella",8936,0.0170224365774495,0.130915986997215
"7","Fusobacterium",11798,0.114222536525738,0.424609864041329
"8","Porphyromonas",12214,0.0310738914056368,0.183228807943582
"9","Lautropia",7104,8.40963425738244e-07,7.19023729006198e-05
"10","Actinobacillus",11595,0.194249288694192,0.461342060648707
"11","Gemella",8548,0.0034551901747951,0.0369273449931227
"12","Alloprevotella",13911,6.53221095826509e-06,0.000223401614772666
"13","Leptotrichia",11350,0.337806214975054,0.538514715311076
"14","Rothia",8906,0.0151904386587887,0.123693571935851
"15","Aggregatibacter",15294,1.31518426309769e-10,2.24896508989705e-08
"16","Granulicatella",9933,0.315257562934614,0.538514715311076
"17","Escherichia/Shigella",9851,0.263603797932256,0.503100544486422
"18","ASV_52",10720,0.932065030856029,0.95648427583616
"19","Actinomyces",7630,2.71061273010441e-05,0.000518176147701188
"20","Pseudomonas",9435,0.0901619767503647,0.350402227825281
"21","ASV_62",13765,1.66223453323456e-05,0.000406060150261585
"22","Campylobacter",10335,0.654855623949809,0.751545716076626
"23","Bergeyella",10930,0.706668390245173,0.784677238518991
"24","ASV_68",10560,0.892495118194743,0.942078180316674
"25","ASV_77",8802,0.0101123353941812,0.0864604676202495
"26","Enterococcus",9553,0.125774196304756,0.437222523288439
"27","Dolosigranulum",9767,0.2170729782577,0.466204414268851
"28","Streptobacillus",14048,2.62351868190488e-06,0.000149540564868578
"29","Oribacterium",7631,2.72724288263783e-05,0.000518176147701188
"30","ASV_112",10129,0.463820920277235,0.596341183213588
"31","Stomatobaculum",12371,0.017608583046409,0.130915986997215
"32","Lachnoanaerobaculum",10553,0.884828843875029,0.942078180316674
"33","ASV_120",10206,0.531421410124245,0.653763029721194
"34","ASV_126",9580,0.135291954405996,0.44490238852741
"35","Mannheimia",10961,0.674993740356806,0.759367957901407
"36","TM7x",8972,0.0194744614469551,0.133205316297173
"37","Tropheryma",9929,0.312593185003105,0.538514715311076
"38","Solobacterium",11574,0.204440351634292,0.466204414268851
"39","Peptostreptococcus",9366,0.0734238751130732,0.306231284008184
"40","Abiotrophia",9936,0.317265609279948,0.538514715311076
"41","Oceanivirga",10761,0.887018140173513,0.942078180316674
"42","Corynebacterium",11490,0.249088122182808,0.495279870851862
"43","ASV_157",11376,0.319956021889339,0.538514715311076
"44","ASV_163",9425,0.087561182800126,0.348208424623757
"45","ASV_180",8694,0.00649537109928954,0.0630122732743299
"46","ASV_182",10018,0.375385793070157,0.538514715311076
"47","ASV_187",12264,0.0260522725043172,0.171343792239932
"48","Treponema",13036,0.000982383015573098,0.0139989579719167
"49","Eikenella",9299,0.0596925652755507,0.275876450327545
"50","ASV_203",9717,0.192351154691192,0.461342060648707
"51","ASV_205",13145,0.000567662796956104,0.00882457620722671
"52","ASV_209",12952,0.00147738664440614,0.0180452225852464
