"","taxon","stat","p","p.adj"
"1","Neisseria",10012,0.370922400027882,0.640965977109483
"2","Streptococcus",8317,0.00117765623918232,0.0139890353648389
"3","Haemophilus",12881,0.00206532721963805,0.0220731846598816
"4","Prevotella",10131,0.46551390511207,0.652482604706262
"5","Moraxella",13311.5,0.000234837743572043,0.00401572541508193
"6","Veillonella",8315,0.0011662386370962,0.0139890353648389
"7","Fusobacterium",11756.5,0.128015222867005,0.497513707051316
"8","Porphyromonas",10314,0.63397741459614,0.774358127828142
"9","Lautropia",7274.5,2.74146087790375e-06,0.000117197452530386
"10","Actinobacillus",11624,0.180735774428978,0.56192395322464
"11","Gemella",8868.5,0.0131460396937279,0.104487722486948
"12","Alloprevotella",12630,0.00628066692315486,0.0596663357699712
"13","Leptotrichia",11194,0.457917960434298,0.647140258134421
"14","Rothia",7380,5.54458656069858e-06,0.00015802071697991
"15","Aggregatibacter",15519,1.60728665602028e-11,2.74846018179468e-09
"16","Granulicatella",8969.5,0.0192946320440042,0.131975283180989
"17","Escherichia/Shigella",9957,0.331258652067715,0.618947918057327
"18","ASV_52",10841.5,0.799723433988503,0.865523463367303
"19","Actinomyces",8325.5,0.00122710836533675,0.0139890353648389
"20","Pseudomonas",9540,0.121164455416497,0.493312425624307
"21","ASV_62",13685.5,2.70768811304143e-05,0.000661449524757263
"22","Campylobacter",9923,0.308616464608649,0.618947918057327
"23","Bergeyella",11198,0.454523172328046,0.647140258134421
"24","ASV_68",10463,0.787399401214439,0.863110882100442
"25","ASV_77",8943.5,0.0175012723772557,0.124696565687947
"26","Enterococcus",9649,0.16187885012556,0.543502738822076
"27","Dolosigranulum",9914.5,0.302800854186113,0.618947918057327
"28","Corynebacterium",11729.5,0.137601932251033,0.520487811705678
"29","Streptobacillus",14210.5,8.44358147604895e-07,4.8128414413479e-05
"30","Oribacterium",8271,0.00093881246428296,0.0133780776160322
"31","ASV_112",10355,0.674815932644231,0.806947723651493
"32","Stomatobaculum",12452.5,0.0128838606411874,0.104487722486948
"33","Lachnoanaerobaculum",10804.5,0.839616954781041,0.886262341157765
"34","ASV_120",10365,0.684975957628661,0.810196452125615
"35","ASV_126",9720.5,0.193739434922779,0.562419898088564
"36","Mannheimia",11163.5,0.483742188768551,0.656507256185891
"37","TM7x",9088.5,0.0296172382470723,0.194790297701899
"38","Tropheryma",9978,0.345969100608381,0.629369321319501
"39","Solobacterium",11630,0.17803929819889,0.56192395322464
"40","Peptostreptococcus",9554.5,0.126239242712391,0.497513707051316
"41","Abiotrophia",9903.5,0.295827821634609,0.618947918057327
"42","Oceanivirga",10828,0.814145656060683,0.874138507035541
"43","ASV_157",11814.5,0.108909998821211,0.465590244960676
"44","ASV_163",9538.5,0.120692730060752,0.493312425624307
"45","ASV_180",8626.5,0.00485317824689172,0.0488172635422637
"46","ASV_182",10095,0.435330314950748,0.647140258134421
"47","ASV_187",12564,0.00822574227903204,0.0740316805112884
"48","Treponema",14785,1.05366468019841e-08,9.0088330156964e-07
"49","Eikenella",9281.5,0.0563652434065168,0.301201769453574
"50","ASV_203",9950.5,0.326813491874113,0.618947918057327
"51","ASV_205",13461,0.000101755224355718,0.00217501792060348
"52","ASV_209",13053.5,0.000896726141152961,0.0133780776160322
"53","F0058",7375.5,5.35262940197951e-06,0.00015802071697991
"54","ASV_214",10098.5,0.43814904886978,0.647140258134421
"55","ASV_216",10713,0.939749576728008,0.945830498430892
"56","Conchiformibius",10406.5,0.727795318195131,0.829686662742449
"57","Hydrogenophaga",9280,0.0560745497308684,0.301201769453574
"58","Catonella",10722.5,0.929294888120699,0.945830498430892
"59","Candidatus_Saccharimonas",8933.5,0.016837392778607,0.124696565687947
"60","ASV_239",10199,0.524855259765483,0.672611983522557
"61","ASV_242",10230,0.553225140475804,0.693996340073458
"62","Mogibacterium",9120.5,0.0330817749898683,0.205732610883482
"63","Selenomonas",11034,0.602602875189821,0.741331594657981
"64","ASV_260",9959.5,0.333001219071778,0.618947918057327
"65","Cardiobacterium",10094,0.434578564511609,0.647140258134421
"66","ASV_269",10119,0.45513521666225,0.647140258134421
"67","ASV_280",10940.5,0.695719185729124,0.814849183285481
"68","ASV_283",10032.5,0.38607892188466,0.640965977109483
"69","Comamonas",11465,0.263357253765934,0.608301377077579
"70","ASV_286",9776,0.221476155839171,0.568590298285019
"71","Capnocytophaga",9423.5,0.0871111780217441,0.402594903830223
"72","Kingella",10919.5,0.717408595904246,0.828897769592068
"73","Butyrivibrio",10092,0.432916179240661,0.647140258134421
"74","ASV_307",10615.5,0.953549129260833,0.953549129260833
"75","Mycoplasma",10025,0.380436029106067,0.640965977109483
"76","Atopobium",7929.5,0.000155403175876804,0.00295266034165928
"77","Tannerella",9870.5,0.275170226609693,0.608301377077579
"78","Parvimonas",9384.5,0.0775016947109793,0.368133049877152
"79","ASV_329",9998,0.360351223510749,0.640965977109483
"80","ASV_331",9126,0.0336872111388157,0.205732610883482
"81","Filifactor",10817.5,0.825471011622336,0.87674250302745
"82","Dialister",10406,0.727234731476836,0.829686662742449
"83","ASV_339",9734,0.200246957344979,0.562419898088564
"84","Peptococcus",12441,0.0134428648813618,0.104487722486948
"85","Staphylococcus",9768.5,0.217558501418161,0.568590298285019
"86","Hyphomicrobium",9384.5,0.0774618568511505,0.368133049877152
"87","ASV_383",11296,0.376631022831373,0.640965977109483
"88","Psychrobacter",9463,0.0975735245570197,0.427822376903856
"89","ASV_409",9667.5,0.169768523244158,0.558277259129828
"90","F0332",10546,0.877111239945951,0.915677446759374
"91","ASV_422",10059,0.406468732442043,0.647140258134421
"92","ASV_428",9968,0.338903829085477,0.623145750253941
"93","Peptoanaerobacter",11359,0.331285252659245,0.618947918057327
"94","Delftia",9724.5,0.195642731561771,0.562419898088564
"95","Sphingopyxis",9616,0.14858294268216,0.520671484411218
"96","Lentimicrobium",11163.5,0.483694722801653,0.656507256185891
"97","ASV_461",10877,0.761853768614485,0.852068371123731
"98","Leuconostoc",9798.5,0.233492218016122,0.58107648583369
"99","ASV_472",9928.5,0.311983658469449,0.618947918057327
"100","ASV_485",10590,0.925412669627629,0.945830498430892
"101","Amnipila",10860.5,0.779350055506948,0.863110882100442
"102","Rodentibacter",10142.5,0.475053678916776,0.655114347538457
"103","Bulleidia",10491.5,0.817907375004015,0.874138507035541
"104","Anaeroglobus",10208,0.532996933422664,0.675129449002041
"105","Shuttleworthia",9256,0.0519235836807484,0.295964426980266
