feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Haemophilus	visit	Week 72	-1.67242270611501	0.871848000025256	230	225	0.0563283493910183	0.6206073286166
Porphyromonas	visit	Week 72	-0.873194041494988	0.586749341800018	230	183	0.138082769078357	0.6206073286166
ASV_52	visit	Week 72	0.487836646787518	0.296526547110657	230	88	0.101312621155791	0.6206073286166
Actinomyces	visit	Week 72	0.895923675856852	0.517967159149379	230	176	0.0850386515626202	0.6206073286166
Campylobacter	visit	Week 72	0.426955767770349	0.324134959845627	230	137	0.189088456682109	0.6206073286166
Dolosigranulum	visit	Week 72	0.292754977330419	0.180667263609472	230	19	0.106526511902023	0.6206073286166
Streptobacillus	visit	Week 72	-0.451844786735938	0.239628196926581	230	85	0.0606192813345635	0.6206073286166
TM7x	visit	Week 72	0.287949099910534	0.184217174787485	230	62	0.119416953200002	0.6206073286166
Oceanivirga	visit	Week 72	-0.20754258813846	0.0939571532834245	230	11	0.0281764902679371	0.6206073286166
ASV_182	visit	Week 72	-0.216848562009653	0.129853104461373	230	15	0.0963009654825722	0.6206073286166
Treponema	visit	Week 72	-1.07538805268038	0.609110509711964	230	6	0.0788173314566822	0.6206073286166
F0058	visit	Week 72	0.39074994878469	0.147515252023337	230	34	0.00864054470377795	0.6206073286166
Conchiformibius	visit	Week 72	0.362979162724496	0.199692078688066	230	30	0.0704233675799498	0.6206073286166
Hydrogenophaga	visit	Week 72	0.16632332230198	0.0739265147265346	230	5	0.0254134171638993	0.6206073286166
Candidatus_Saccharimonas	visit	Week 72	0.169404294243052	0.13100204110645	230	45	0.197270521129925	0.6206073286166
Mogibacterium	visit	Week 72	0.217323500493764	0.124511299088825	230	43	0.0822603435355589	0.6206073286166
ASV_269	visit	Week 72	-0.0766695336089666	0.059362125750727	230	2	0.197818585996541	0.6206073286166
ASV_283	visit	Week 72	-0.203745994266121	0.0942600367434244	230	11	0.0316958175857589	0.6206073286166
Butyrivibrio	visit	Week 72	0.216488123769313	0.116804149450886	230	38	0.0651128545653954	0.6206073286166
Tannerella	visit	Week 72	0.347108526861269	0.150101460959193	230	30	0.0216422841324134	0.6206073286166
Parvimonas	visit	Week 72	0.141741922022668	0.104358285752508	230	25	0.175735079529071	0.6206073286166
Peptococcus	visit	Week 72	-0.227842471514776	0.104082768924361	230	38	0.0296079705824499	0.6206073286166
Hyphomicrobium	visit	Week 72	0.0674905752137683	0.0463658571344823	230	2	0.146876156574133	0.6206073286166
ASV_383	visit	Week 72	-0.228747049247396	0.0989291561163193	230	15	0.0216569629642374	0.6206073286166
Psychrobacter	visit	Week 72	0.0616604782126666	0.0466695240841583	230	2	0.187754031686432	0.6206073286166
F0332	visit	Week 72	-0.099416966955007	0.0635201288415821	230	6	0.118940369416392	0.6206073286166
ASV_422	visit	Week 72	-0.0465812418803121	0.0333402069322312	230	2	0.163726942661045	0.6206073286166
Delftia	visit	Week 72	0.0530712006346072	0.036378905501685	230	2	0.145983896020493	0.6206073286166
Sphingopyxis	visit	Week 72	0.143187947214497	0.064009306864269	230	5	0.026254790076634	0.6206073286166
Lentimicrobium	visit	Week 72	-0.148579875972487	0.0962426130354694	230	15	0.12402226430211	0.6206073286166
ASV_485	visit	Week 72	-0.092255580559377	0.0588072878393313	230	6	0.118086436960586	0.6206073286166
Sneathia	visit	Week 72	0.0542607411861198	0.0391567390273607	230	2	0.167182733676233	0.6206073286166
ASV_561	visit	Week 72	0.0638009195477958	0.0489215386983272	230	5	0.193498220646486	0.6206073286166
Alloscardovia	visit	Week 72	-0.0786107973246653	0.0580605106096532	230	2	0.177094104905686	0.6206073286166
ASV_653	visit	Week 72	-0.0582029074336699	0.041987704971136	230	2	0.167043225205415	0.6206073286166
ASV_682	visit	Week 72	0.043652869311719	0.0299172646295289	230	2	0.145908478886812	0.6206073286166
ASV_689	visit	Week 72	0.0685147755238238	0.0386584958358163	230	3	0.0776787951530628	0.6206073286166
Shuttleworthia	visit	Week 72	0.085164707026428	0.0569081861345006	230	6	0.135899033787896	0.6206073286166
ASV_821	visit	Week 72	0.0562269005797321	0.0387964608894783	230	2	0.148633668250721	0.6206073286166
ASV_894	visit	Week 72	0.0953307900104649	0.0542848672564162	230	3	0.0804104086418815	0.6206073286166
ASV_897	visit	Week 72	-0.074527702212482	0.0448237382706735	230	3	0.0977498160477371	0.6206073286166
Fretibacterium	visit	Week 72	-0.134646878886502	0.0749996600574908	230	7	0.0739302221976217	0.6206073286166
Scardovia	visit	Week 72	0.0473988077125229	0.0328743144449579	230	2	0.150725606646034	0.6206073286166
ASV_934	visit	Week 72	-0.0376068808181402	0.0273923379571142	230	2	0.17113290185534	0.6206073286166
Mobiluncus	visit	Week 72	0.0933242468331997	0.0454654941634959	230	4	0.0412494276898123	0.6206073286166
Desulfomicrobium	visit	Week 72	-0.0367780966459286	0.0272649630345768	230	2	0.17870269160663	0.6206073286166
ASV_1212	visit	Week 72	-0.0395472595252203	0.0295294347098164	230	2	0.181823240079267	0.6206073286166
ASV_1258	visit	Week 72	-0.049360000845375	0.0355043859428445	230	2	0.16580840234821	0.6206073286166
ASV_1531	visit	Week 72	-0.0498570305309397	0.0292223894738337	230	3	0.0893466234886467	0.6206073286166
DMI	visit	Week 72	-0.0411326643669068	0.0305108334228102	230	2	0.178953386126628	0.6206073286166
ASV_1888	visit	Week 72	-0.0365579417938913	0.0271169275414887	230	2	0.178944928184008	0.6206073286166
ASV_1939	visit	Week 72	-0.0288103511513707	0.0228025179840354	230	2	0.207709867941632	0.639107285974252
ASV_329	visit	Week 72	0.118943185261278	0.0974486100082051	230	7	0.22350839276536	0.674742317782219
ASV_260	visit	Week 72	0.134301264908093	0.112598209479369	230	10	0.234207952301413	0.693949488300484
Neisseria	visit	Week 72	1.50724151639201	1.30745439337438	230	215	0.250197126131431	0.702307722474193
Tropheryma	visit	Week 72	-0.0865943594412001	0.0750826498189302	230	7	0.249986477399648	0.702307722474193
ASV_461	visit	Week 72	0.114194748184848	0.0979160509709158	230	15	0.244731211861848	0.702307722474193
ASV_77	visit	Week 72	0.291835304715429	0.262588523681922	230	103	0.267575931609525	0.712914975070922
Lachnoanaerobaculum	visit	Week 72	-0.299009458765947	0.26735395226474	230	121	0.264571891091519	0.712914975070922
ASV_187	visit	Week 72	-0.170388167922617	0.153856545764013	230	30	0.269267123123836	0.712914975070922
Peptoanaerobacter	visit	Week 72	-0.106039741232804	0.0962600884914489	230	14	0.271798834245789	0.712914975070922
Pseudomonas	visit	Week 72	0.0951642443732106	0.0899314285939322	230	4	0.29109013924007	0.739276544101764
ASV_157	visit	Week 72	-0.182160709023908	0.17151049228303	230	34	0.289315520752662	0.739276544101764
ASV_216	visit	Week 72	0.139030534834849	0.132819418050344	230	20	0.296317032576178	0.740792581440446
ASV_844	visit	Week 72	-0.0652135116813043	0.0643959114054639	230	5	0.312278641673603	0.768685887196562
ASV_126	visit	Week 72	0.0892084652757435	0.0913676630471235	230	4	0.329916907707884	0.799798564140324
Mannheimia	visit	Week 72	0.202776300288302	0.215492161042229	230	44	0.347705096730482	0.808922785772073
Peptostreptococcus	visit	Week 72	-0.161420152192692	0.171950593972217	230	91	0.348847951364206	0.808922785772073
Rodentibacter	visit	Week 72	0.108200778350822	0.115042774500865	230	7	0.347942945222227	0.808922785772073
Actinobacillus	visit	Week 72	0.541813952576081	0.632033314139486	230	122	0.392203935309538	0.883839854218677
ASV_644	visit	Week 72	0.0517156502022089	0.0600760907399775	230	6	0.390232822946521	0.883839854218677
Alloprevotella	visit	Week 72	-0.609638627579462	0.726105785609553	230	122	0.402012031614796	0.893360070255102
Aggregatibacter	visit	Week 72	-0.313407275192599	0.388598075986526	230	152	0.420790710484421	0.894130192046677
Oribacterium	visit	Week 72	0.178741334649624	0.226184873570889	230	74	0.430206182370362	0.894130192046677
Comamonas	visit	Week 72	0.140661643742253	0.174937268333004	230	19	0.422194649582771	0.894130192046677
Bulleidia	visit	Week 72	0.0479084920652002	0.0606372775755885	230	7	0.430300154922463	0.894130192046677
ASV_1272	visit	Week 72	-0.0211975795222064	0.0256987112837936	230	3	0.41031894179771	0.894130192046677
Prevotella	visit	Week 72	-1.62175237484337	2.38991681149742	230	91	0.498091493225235	0.89903137774893
Fusobacterium	visit	Week 72	0.409920815034386	0.760945806628706	230	124	0.590620064044645	0.89903137774893
Lautropia	visit	Week 72	0.183845552149726	0.405424265803912	230	184	0.650645516384503	0.89903137774893
Gemella	visit	Week 72	0.0953962616310206	0.149156473565973	230	222	0.523093168145401	0.89903137774893
Granulicatella	visit	Week 72	-0.263878772819438	0.563244815845027	230	221	0.639876468763586	0.89903137774893
Bergeyella	visit	Week 72	0.145371198456558	0.277438794094725	230	82	0.600804382152625	0.89903137774893
Stomatobaculum	visit	Week 72	-0.175410130563863	0.310006963694468	230	105	0.572068224034028	0.89903137774893
ASV_120	visit	Week 72	-0.0788580951756396	0.134034364551298	230	8	0.556884859796323	0.89903137774893
Solobacterium	visit	Week 72	0.114995393283266	0.21287876737616	230	91	0.589591926626925	0.89903137774893
Corynebacterium	visit	Week 72	0.174229859946272	0.299492412719244	230	74	0.5613094891913	0.89903137774893
ASV_163	visit	Week 72	-0.0489352852719683	0.100164521685754	230	9	0.625630527909162	0.89903137774893
Eikenella	visit	Week 72	0.104441935664881	0.151679856989743	230	11	0.491795024595572	0.89903137774893
