feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria	visit	Week 72	0.151492761261253	0.0822049503988878	230	226	0.0666466814008878	0.655600587589218
Haemophilus	visit	Week 72	-0.102363841812818	0.0536854100098984	230	227	0.0578120826970268	0.655600587589218
ASV_52	visit	Week 72	0.145026568036383	0.0772387911615439	230	88	0.0617072268329761	0.655600587589218
Actinomyces	visit	Week 72	0.130605314442053	0.100250082967925	230	184	0.193959011389159	0.655600587589218
Campylobacter	visit	Week 72	0.1352491141668	0.101985236146024	230	174	0.186112447293151	0.655600587589218
Dolosigranulum	visit	Week 72	0.112394579940777	0.0689046116071529	230	19	0.104236658453893	0.655600587589218
Streptobacillus	visit	Week 72	-0.151024032449728	0.0967425487831794	230	87	0.11988894207614	0.655600587589218
Lachnoanaerobaculum	visit	Week 72	-0.107631145786566	0.0755863558317201	230	127	0.155828232190943	0.655600587589218
TM7x	visit	Week 72	0.100920398736823	0.0750567621445142	230	78	0.180094546700952	0.655600587589218
Oceanivirga	visit	Week 72	-0.0514990868311736	0.0269894988667574	230	11	0.0576324541933582	0.655600587589218
ASV_157	visit	Week 72	-0.0679156933993087	0.0552071411898515	230	34	0.219890880309427	0.655600587589218
ASV_182	visit	Week 72	-0.0726268841499413	0.0411013128023748	230	15	0.0785625349628554	0.655600587589218
Treponema	visit	Week 72	-0.227919064637672	0.113507238680042	230	63	0.0458264231892943	0.655600587589218
F0058	visit	Week 72	0.155622654519893	0.0657049163628543	230	34	0.0186950803717346	0.655600587589218
Conchiformibius	visit	Week 72	0.0921912237107519	0.045485963858677	230	32	0.0438463535231891	0.655600587589218
Hydrogenophaga	visit	Week 72	0.0379681886558904	0.0177736672707331	230	5	0.0337283549061436	0.655600587589218
Mogibacterium	visit	Week 72	0.0688829805831527	0.0434883646685606	230	43	0.114593315523513	0.655600587589218
ASV_260	visit	Week 72	0.0231793904646087	0.0186066216029456	230	10	0.214131027620246	0.655600587589218
ASV_283	visit	Week 72	-0.0460071527117388	0.0216892449349012	230	11	0.0349849694135058	0.655600587589218
Butyrivibrio	visit	Week 72	0.100608695954157	0.0566302478938798	230	38	0.0769692425642942	0.655600587589218
Tannerella	visit	Week 72	0.110037935832196	0.0539508558529401	230	45	0.0425437627376442	0.655600587589218
Parvimonas	visit	Week 72	0.0635448427665147	0.0416841285351068	230	25	0.128785352389001	0.655600587589218
Peptococcus	visit	Week 72	-0.106028372785999	0.0488425946949486	230	38	0.0309774773870544	0.655600587589218
