"","x"
"Neisseria",0.967534085480687
"Streptococcus",0.997963649268083
"Haemophilus",0.967534085480687
"Prevotella",0.997963649268083
"Moraxella",0.997963649268083
"Veillonella",0.967534085480687
"Fusobacterium",0.967534085480687
"Porphyromonas",0.997963649268083
"Lautropia",0.997963649268083
"Actinobacillus",0.977423461985578
"Gemella",0.977423461985578
"Alloprevotella",0.977423461985578
"Leptotrichia",0.967534085480687
"Rothia",0.997963649268083
"Aggregatibacter",0.967534085480687
"Granulicatella",0.997963649268083
"Escherichia/Shigella",0.997963649268083
"ASV_52",0.967534085480687
"Actinomyces",0.967534085480687
"Pseudomonas",0.967534085480687
"ASV_62",0.997963649268083
"Campylobacter",0.967534085480687
"Bergeyella",0.977423461985578
"ASV_68",0.997963649268083
"ASV_77",0.967534085480687
"Dolosigranulum",0.977423461985578
"Corynebacterium",0.967534085480687
"Streptobacillus",0.967534085480687
"Oribacterium",0.997963649268083
"ASV_112",0.997963649268083
"Stomatobaculum",0.978393465240481
"Lachnoanaerobaculum",0.967534085480687
"ASV_120",0.977423461985578
"ASV_126",0.967534085480687
"Mannheimia",0.967534085480687
"TM7x",0.967534085480687
"Tropheryma",0.967534085480687
"Solobacterium",0.997963649268083
"Peptostreptococcus",0.977423461985578
"Abiotrophia",0.997963649268083
"Oceanivirga",0.967534085480687
"ASV_157",0.967534085480687
"ASV_163",0.967534085480687
"ASV_180",0.997963649268083
"ASV_182",0.967534085480687
"ASV_187",0.967534085480687
"Treponema",0.967534085480687
"Eikenella",0.977423461985578
"ASV_203",0.997963649268083
"ASV_205",0.977423461985578
"ASV_209",0.977423461985578
"F0058",0.967534085480687
"ASV_214",0.997963649268083
"ASV_216",0.967534085480687
"Conchiformibius",0.967534085480687
"Hydrogenophaga",NA
"Catonella",0.997963649268083
"Candidatus_Saccharimonas",0.967534085480687
"ASV_239",0.977423461985578
"ASV_242",0.967534085480687
"Mogibacterium",0.967534085480687
"Selenomonas",0.997963649268083
"ASV_260",0.967534085480687
"Cardiobacterium",0.997963649268083
"ASV_269",NA
"ASV_280",0.967534085480687
"ASV_283",0.967534085480687
"Comamonas",0.997963649268083
"Capnocytophaga",0.997963649268083
"ASV_286",0.977423461985578
"Kingella",0.977423461985578
"Butyrivibrio",0.967534085480687
"ASV_307",0.997963649268083
"Mycoplasma",0.977423461985578
"Atopobium",0.997963649268083
"Tannerella",0.967534085480687
"Parvimonas",0.967534085480687
"ASV_329",0.967534085480687
"ASV_331",0.997963649268083
"Filifactor",0.997963649268083
"Dialister",0.997963649268083
"ASV_339",0.997963649268083
"Peptococcus",0.967534085480687
"Staphylococcus",0.977423461985578
"Hyphomicrobium",NA
"ASV_383",0.967534085480687
"Psychrobacter",NA
"ASV_409",0.997963649268083
"F0332",0.967534085480687
"ASV_421",0.977423461985578
"ASV_422",NA
"Peptoanaerobacter",0.967534085480687
"Delftia",NA
"Sphingopyxis",NA
"Lentimicrobium",0.967534085480687
"ASV_461",0.977423461985578
"ASV_472",0.997963649268083
"ASV_485",0.967534085480687
"Amnipila",0.977423461985578
"Bulleidia",0.997963649268083
"Anaeroglobus",0.997963649268083
"ASV_508",0.997963649268083
"Rikenellaceae_RC9_gut_group",0.967534085480687
"ASV_525",0.977423461985578
"Sneathia",NA
"Alysiella",0.997963649268083
"ASV_529",0.997963649268083
"ASV_540",0.997963649268083
"ASV_543",0.997963649268083
"ASV_561",0.967534085480687
"Acinetobacter",0.977423461985578
"ASV_586",0.997963649268083
"Defluviitaleaceae_UCG-011",0.967534085480687
"ASV_591",0.977423461985578
"ASV_596",0.997963649268083
"Johnsonella",0.997963649268083
"ASV_639",0.977423461985578
"ASV_644",0.977423461985578
"Alloscardovia",NA
"ASV_653",NA
"Rodentibacter",0.997963649268083
"Centipeda",0.997963649268083
"ASV_682",NA
"ASV_689",NA
"Shuttleworthia",0.967534085480687
"Family_XIII_UCG-001",0.997963649268083
"Fretibacterium",0.967534085480687
"Lactobacillus",0.967534085480687
"ASV_817",0.997963649268083
"ASV_821",NA
"ASV_844",0.967534085480687
"ASV_854",0.997963649268083
"ASV_860",0.997963649268083
"ASV_861",0.997963649268083
"ASV_894",NA
"ASV_897",NA
"Olsenella",0.977423461985578
"Scardovia",NA
"ASV_934",NA
"ASV_964",0.977423461985578
"Mobiluncus",NA
"ASV_1004",0.997963649268083
"Desulfomicrobium",NA
"ASV_1121",0.977423461985578
"ASV_1135",0.977423461985578
"ASV_1212",NA
"ASV_1258",NA
"ASV_1272",0.977423461985578
"ASV_1325",0.977423461985578
"Pantoea",0.977423461985578
"ASV_1456",0.997963649268083
"Erysipelotrichaceae_UCG-006",0.997963649268083
"ASV_1531",NA
"Roseburia",0.997963649268083
"Desulfobulbus",0.997963649268083
"DMI",NA
"ASV_1729",0.997963649268083
"ASV_1797",0.977423461985578
"ASV_1888",NA
"ASV_1939",NA
"Prevotellaceae_YAB2003_group",0.997963649268083
