"","taxon","stat","p","p.adj"
"1","Neisseria",5109,0.00289343977410335,0.46584380363064
"2","Streptococcus",6765,0.763222106429485,0.963496038226914
"3","Haemophilus",7444,0.0995622195475613,0.553715977940947
"4","Prevotella",6784,0.734664550093712,0.963496038226914
"5","Moraxella",6719,0.821970333731913,0.963496038226914
"6","Veillonella",6602,0.984187499056194,1
"7","Fusobacterium",6230,0.448865648786264,0.877444542934033
"8","Porphyromonas",6751,0.784445884846882,0.963496038226914
"9","Lautropia",6159,0.367363755819323,0.810213214889191
"10","Actinobacillus",6267,0.472257424546853,0.877444542934033
"11","Gemella",6120,0.329497590949614,0.768827712215767
"12","Alloprevotella",7045,0.39179697600623,0.840484448053746
"13","Leptotrichia",6323,0.565987477466297,0.877444542934033
"14","Rothia",6370,0.630722727149706,0.940244065473173
"15","Aggregatibacter",6868.5,0.605467769185682,0.919625573951837
"16","Granulicatella",6497,0.819702294701754,0.963496038226914
"17","Escherichia/Shigella",6612.5,1,1
"18","ASV_52",5776.5,0.0582743149073427,0.553715977940947
"19","Actinomyces",5859.5,0.134290250499185,0.553715977940947
"20","Pseudomonas",6497,0.314142958514701,0.768334475897187
"21","ASV_62",6742,0.780697679827818,0.963496038226914
"22","Campylobacter",6003.5,0.224443728846659,0.669174821190964
"23","Bergeyella",6376,0.615020446203041,0.925404596623267
"24","ASV_68",6613,1,1
"25","ASV_77",6052,0.223589798854062,0.669174821190964
"26","Dolosigranulum",6412,0.406379400899725,0.848649925278944
"27","Corynebacterium",6154.5,0.313996105344,0.768334475897187
"28","Streptobacillus",7238,0.15525891863032,0.553715977940947
"29","Oribacterium",6483.5,0.777326633601875,0.963496038226914
"30","ASV_112",6523,0.744072274522412,0.963496038226914
"31","Stomatobaculum",6913,0.523440557774244,0.877444542934033
"32","Lachnoanaerobaculum",7360,0.120706516522314,0.553715977940947
"33","ASV_120",6726,0.480478363194951,0.877444542934033
"34","ASV_126",6498,0.318369501182113,0.768334475897187
"35","Mannheimia",6299,0.366112980765916,0.810213214889191
"36","TM7x",6131.5,0.258856714834766,0.706371713362665
"37","Tropheryma",6786,0.249240043985213,0.69185598416585
"38","Solobacterium",6514,0.82585374705164,0.963496038226914
"39","Peptostreptococcus",7053,0.3232234430905,0.768334475897187
"40","Abiotrophia",6547,0.863262032541252,0.985710547795331
"41","Oceanivirga",7014,0.031608095066105,0.553715977940947
"42","ASV_157",6982.5,0.235551649996495,0.689523920898832
"43","ASV_163",6780,0.324513940130489,0.768334475897187
"44","ASV_180",6562,0.804433229791112,0.963496038226914
"45","ASV_182",6910,0.169022351909594,0.575404987787813
"46","ASV_187",7044,0.144392950226415,0.553715977940947
