"","taxon","stat","p","p.adj"
"1","Neisseria",5914,0.16654767422024,0.998418655217914
"2","Streptococcus",6683,0.889659863920543,0.998418655217914
"3","Haemophilus",7249,0.207487940464845,0.998418655217914
"4","Prevotella",6914,0.550801956000577,0.998418655217914
"5","Moraxella",6480,0.793619168849669,0.998418655217914
"6","Veillonella",6663,0.921061926164326,0.998418655217914
"7","Fusobacterium",6284,0.515646511359796,0.998418655217914
"8","Porphyromonas",7473,0.0882963328995165,0.998418655217914
"9","Lautropia",6281,0.511813484835815,0.998418655217914
"10","Actinobacillus",6249,0.471871044795438,0.998418655217914
"11","Gemella",6267,0.494124544409264,0.998418655217914
"12","Alloprevotella",7328,0.156461002588215,0.998418655217914
"13","Leptotrichia",6341,0.591197745338734,0.998418655217914
"14","Rothia",6895,0.576228395947565,0.998418655217914
"15","Aggregatibacter",7008,0.433709556741571,0.998418655217914
"16","Granulicatella",6775,0.748156179372827,0.998418655217914
"17","Escherichia/Shigella",6366,0.625866440263152,0.998418655217914
"18","ASV_52",5922,0.171460206064327,0.998418655217914
"19","Actinomyces",5763,0.0924423461446153,0.998418655217914
"20","Pseudomonas",6242,0.463368440962841,0.998418655217914
"21","ASV_62",6889,0.584371335025192,0.998418655217914
"22","Campylobacter",5636,0.053069259908447,0.998418655217914
"23","Bergeyella",6329,0.574876462271765,0.998418655217914
"24","ASV_68",6417,0.699144915380538,0.998418655217914
"25","ASV_77",5792,0.104124867500638,0.998418655217914
"26","Dolosigranulum",6385,0.652785044980038,0.998418655217914
"27","Streptobacillus",7366,0.135597440479654,0.998418655217914
"28","Oribacterium",6428,0.715354884928261,0.998418655217914
"29","ASV_112",6365,0.624462983225881,0.998418655217914
"30","Stomatobaculum",7058,0.377800728537308,0.998418655217914
"31","Lachnoanaerobaculum",7344,0.147397420801756,0.998418655217914
"32","ASV_120",6656,0.93208435063015,0.998418655217914
"33","ASV_126",6197,0.410793482624007,0.998418655217914
"34","Mannheimia",6057,0.271346368278753,0.998418655217914
"35","TM7x",5995,0.221387665990012,0.998418655217914
"36","Tropheryma",6597,0.976283306277201,0.998418655217914
"37","Solobacterium",6273,0.501665237817036,0.998418655217914
"38","Peptostreptococcus",7076,0.358812406853475,0.998418655217914
"39","Abiotrophia",6657,0.930508871070686,0.998418655217914
"40","Oceanivirga",6928,0.532426797474905,0.998418655217914
"41","Corynebacterium",6238,0.458548402348395,0.998418655217914
"42","ASV_157",6842,0.649929319681099,0.998418655217914
"43","ASV_163",6673,0.905342393471822,0.998418655217914
"44","ASV_180",6456,0.75718460772686,0.998418655217914
"45","ASV_182",6881,0.595311108579658,0.998418655217914
"46","ASV_187",7128,0.307401153493526,0.998418655217914
"47","Treponema",7415,0.111947034924854,0.998418655217914
"48","Eikenella",6263,0.489131305268129,0.998418655217914
"49","ASV_203",6451,0.749658559096259,0.998418655217914
"50","ASV_205",6233,0.452563083588601,0.998418655217914
"51","ASV_209",6760,0.77078924003339,0.998418655217914
"52","F0058",5624,0.0502135881770896,0.998418655217914
"53","ASV_214",6520,0.855318324498088,0.998418655217914
"54","ASV_216",6020,0.240676140931853,0.998418655217914
"55","Conchiformibius",6107,0.316889106010038,0.998418655217914
"56","Hydrogenophaga",6023,0.24306796941311,0.998418655217914
"57","Catonella",6471,0.779898619772287,0.998418655217914
"58","Candidatus_Saccharimonas",6034,0.251980760799004,0.998418655217914
"59","ASV_239",6416,0.69767792756497,0.998418655217914
"60","ASV_242",6532,0.87402039462546,0.998418655217914
"61","Mogibacterium",5840,0.126005687396004,0.998418655217914
"62","Atopobium",6353,0.607728842467349,0.998418655217914
"63","Selenomonas",6636,0.963641638277324,0.998418655217914
"64","ASV_260",6185,0.397395920691018,0.998418655217914
"65","Cardiobacterium",6591,0.966801322882509,0.998418655217914
"66","ASV_269",6609,0.995255990499821,0.998418655217914
"67","ASV_280",6269,0.496631351997944,0.998418655217914
"68","ASV_283",6939,0.51821011385489,0.998418655217914
"69","Comamonas",6395,0.667139407679664,0.998418655217914
"70","Capnocytophaga",6202,0.416454051115282,0.998418655217914
"71","ASV_286",6500,0.824333046261469,0.998418655217914
"72","Kingella",6726,0.822790523679531,0.998418655217914
"73","Butyrivibrio",5699,0.0703740179818177,0.998418655217914
"74","ASV_307",6517,0.850655052852932,0.998418655217914
"75","Mycoplasma",6742,0.798207147787669,0.998418655217914
"76","Tannerella",5623,0.0499815423310256,0.998418655217914
"77","Parvimonas",6076,0.288094629002212,0.998418655217914
"78","ASV_329",6200,0.4141843213578,0.998418655217914
"79","ASV_331",6630,0.973122206468681,0.998418655217914
"80","Filifactor",6397,0.670025172840118,0.998418655217914
"81","Dialister",6404,0.680163522616925,0.998418655217914
"82","ASV_339",6468,0.775340065478898,0.998418655217914
"83","Peptococcus",7513,0.0744674250053453,0.998418655217914
"84","Staphylococcus",6474,0.784464754614608,0.998418655217914
"85","Hyphomicrobium",6234,0.453756604601079,0.998418655217914
"86","ASV_383",7320,0.161148412042287,0.998418655217914
"87","Psychrobacter",6319,0.561440329947528,0.998418655217914
"88","ASV_409",6419,0.702082258370396,0.998418655217914
"89","F0332",6806,0.702082258370396,0.998418655217914
"90","ASV_421",6344,0.595311108579658,0.998418655217914
"91","ASV_422",6659,0.927358734904021,0.998418655217914
"92","Peptoanaerobacter",6606,0.990512148707221,0.998418655217914
"93","Delftia",6234,0.453756604601079,0.998418655217914
"94","Sphingopyxis",5985,0.21399102479493,0.998418655217914
"95","Lentimicrobium",6898,0.572177104591192,0.998418655217914
"96","ASV_461",6166,0.376729850647319,0.998418655217914
"97","ASV_472",6396,0.66858167815174,0.998418655217914
"98","ASV_485",6745,0.793619168849669,0.998418655217914
"99","Amnipila",6642,0.954166207732466,0.998418655217914
"100","Bulleidia",6354,0.609115694718184,0.998418655217914
"101","Anaeroglobus",6511,0.841344320794463,0.998418655217914
"102","ASV_508",6386,0.654214821324041,0.998418655217914
"103","Rikenellaceae_RC9_gut_group",6642,0.954166207732466,0.998418655217914
"104","ASV_525",6485,0.801269687378989,0.998418655217914
"105","Sneathia",6310,0.549479165821841,0.998418655217914
"106","Alysiella",6503,0.828964663518164,0.998418655217914
"107","ASV_529",6436,0.727225603683867,0.998418655217914
"108","ASV_540",6471,0.779898619772287,0.998418655217914
"109","ASV_543",6465,0.77078924003339,0.998418655217914
"110","ASV_561",6301,0.537645020715458,0.998418655217914
"111","Lactobacillus",5970,0.203232948126074,0.998418655217914
"112","Acinetobacter",6317,0.558771441995111,0.998418655217914
"113","ASV_586",6491,0.810475467770846,0.998418655217914
"114","Defluviitaleaceae_UCG-011",6599,0.979444778612989,0.998418655217914
"115","ASV_591",6334,0.581651077636756,0.998418655217914
"116","ASV_596",6558,0.914770062253079,0.998418655217914
"117","Johnsonella",6444,0.739162155743452,0.998418655217914
"118","ASV_639",6294,0.5285300258974,0.998418655217914
"119","ASV_644",6320,0.562777082051754,0.998418655217914
"120","Alloscardovia",6605,0.988930934362313,0.998418655217914
"121","ASV_653",6651,0.939965617396493,0.998418655217914
"122","Pantoea",6403,0.678711588968335,0.998418655217914
"123","Rodentibacter",6321,0.564115368265125,0.998418655217914
"124","Centipeda",6359,0.616070967911482,0.998418655217914
"125","ASV_682",6234,0.453756604601079,0.998418655217914
"126","ASV_689",6147,0.35674027086789,0.998418655217914
"127","Shuttleworthia",6079,0.290801491905097,0.998418655217914
"128","Family_XIII_UCG-001",6463,0.767759723080937,0.998418655217914
"129","ASV_817",6484,0.79973803263262,0.998418655217914
"130","ASV_821",6268,0.495377101380245,0.998418655217914
"131","ASV_844",6746,0.792091419753788,0.998418655217914
"132","ASV_854",6309,0.548157943887631,0.998418655217914
"133","ASV_860",6484,0.79973803263262,0.998418655217914
"134","ASV_861",6472,0.781419829782613,0.998418655217914
"135","ASV_894",6255,0.479226904319448,0.998418655217914
"136","ASV_897",6744,0.795147710286325,0.998418655217914
"137","Fretibacterium",6954,0.499144923583423,0.998418655217914
"138","Scardovia",6251,0.474316060304868,0.998418655217914
"139","ASV_934",6611,0.998418655217914,0.998418655217914
"140","ASV_964",6334,0.581651077636756,0.998418655217914
"141","Mobiluncus",6018,0.239090828172829,0.998418655217914
"142","ASV_1004",6332,0.57893675474169,0.998418655217914
"143","Desulfomicrobium",6636,0.963641638277324,0.998418655217914
"144","ASV_1121",6532,0.87402039462546,0.998418655217914
"145","ASV_1135",6358,0.614677125199075,0.998418655217914
"146","ASV_1212",6602,0.984187577024971,0.998418655217914
"147","ASV_1258",6639,0.958903197223441,0.998418655217914
"148","ASV_1272",6590,0.965221412317782,0.998418655217914
"149","ASV_1325",6395,0.667139407679664,0.998418655217914
"150","ASV_1456",6503,0.828964663518164,0.998418655217914
"151","Erysipelotrichaceae_UCG-006",6442,0.736171990082443,0.998418655217914
"152","Olsenella",6200,0.4141843213578,0.998418655217914
"153","ASV_1531",6771,0.754171379555955,0.998418655217914
"154","Roseburia",6400,0.674362955778153,0.998418655217914
"155","Desulfobulbus",6554,0.908483534395114,0.998418655217914
"156","DMI",6666,0.916342543241548,0.998418655217914
"157","ASV_1729",6485,0.801269687378989,0.998418655217914
"158","ASV_1797",6371,0.632903993073212,0.998418655217914
"159","ASV_1888",6654,0.935236101988875,0.998418655217914
"160","ASV_1939",6602,0.984187577024971,0.998418655217914
