"","taxon","stat","p","p.adj"
"1","Neisseria",5396,0.0159517137420905,0.990957006283525
"2","Streptococcus",6863,0.620260794842105,0.990957006283525
"3","Haemophilus",7370,0.133532628143944,0.990957006283525
"4","Prevotella",6991.5,0.453158285613972,0.990957006283525
"5","Moraxella",6538.5,0.884168108803829,0.990957006283525
"6","Veillonella",6646,0.947852755445887,0.990957006283525
"7","Fusobacterium",6292.5,0.526584449971184,0.990957006283525
"8","Porphyromonas",6733.5,0.811243134807757,0.990957006283525
"9","Lautropia",6140.5,0.350052332870265,0.990957006283525
"10","Actinobacillus",6355,0.610481858898569,0.990957006283525
"11","Gemella",6339,0.588462231179473,0.990957006283525
"12","Alloprevotella",7088.5,0.345982533496281,0.990957006283525
"13","Leptotrichia",6447,0.743647354948057,0.990957006283525
"14","Rothia",6486,0.802799677660409,0.990957006283525
"15","Aggregatibacter",6850.5,0.637833266963856,0.990957006283525
"16","Granulicatella",6652.5,0.937600400255535,0.990957006283525
"17","Escherichia/Shigella",6436.5,0.72785965132591,0.990957006283525
"18","ASV_52",6061.5,0.275180563399848,0.990957006283525
"19","Actinomyces",5925,0.173318022278872,0.990957006283525
"20","Pseudomonas",6317.5,0.559271901867695,0.990957006283525
"21","ASV_62",6851.5,0.636405547060536,0.990957006283525
"22","Campylobacter",6126.5,0.335914869523871,0.990957006283525
"23","Bergeyella",6396,0.668552933374872,0.990957006283525
"24","ASV_68",6388.5,0.657705657754411,0.990957006283525
"25","ASV_77",5806.5,0.110356555451876,0.990957006283525
"26","Dolosigranulum",6431,0.719707882901141,0.990957006283525
"27","Corynebacterium",6187.5,0.400101922963951,0.990957006283525
"28","Streptobacillus",7434,0.103654466963393,0.990957006283525
"29","Oribacterium",6555,0.910041325177371,0.990957006283525
"30","ASV_112",6456.5,0.757859878089677,0.990957006283525
"31","Stomatobaculum",7098,0.336386090816055,0.990957006283525
"32","Lachnoanaerobaculum",7424.5,0.107730418681485,0.990957006283525
"33","ASV_120",6702.5,0.859149577915666,0.990957006283525
"34","ASV_126",6248,0.470457822836824,0.990957006283525
"35","Mannheimia",6047.5,0.263092190457696,0.990957006283525
"36","TM7x",5913.5,0.166162385070824,0.990957006283525
"37","Tropheryma",6622.5,0.984971817112669,0.991127890969624
"38","Solobacterium",6311,0.550737500922822,0.990957006283525
"39","Peptostreptococcus",7072,0.362913289653342,0.990957006283525
"40","Abiotrophia",6694.5,0.871646899763926,0.990957006283525
"41","Oceanivirga",6992,0.452381102915639,0.990957006283525
"42","ASV_157",6905,0.562674293270538,0.990957006283525
"43","ASV_163",6706.5,0.85292497854555,0.990957006283525
"44","ASV_180",6499,0.822724485707893,0.990957006283525
"45","ASV_182",6889.5,0.58355054673574,0.990957006283525
"46","ASV_187",7168,0.271186545181668,0.990957006283525
"47","Treponema",7493.5,0.0809064214340734,0.990957006283525
"48","Eikenella",6245.5,0.46743892164917,0.990957006283525
"49","ASV_203",6534.5,0.877877307388527,0.990957006283525
"50","ASV_205",6282,0.512979755074992,0.990957006283525
"51","ASV_209",6740.5,0.800459786529805,0.990957006283525
"52","F0058",5707.5,0.0729326787596485,0.990957006283525
"53","ASV_214",6519,0.853703042312781,0.990957006283525
"54","ASV_216",6049.5,0.264737500007624,0.990957006283525
"55","Conchiformibius",6170.5,0.381413467368604,0.990957006283525
"56","Hydrogenophaga",6029.5,0.248105708636342,0.990957006283525
"57","Catonella",6551,0.90375473221672,0.990957006283525
"58","Candidatus_Saccharimonas",6075,0.287072382251346,0.990957006283525
