feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aggregatibacter	visit	Week 72	0.380696613785131	0.0748056720575714	232	116	7.47232203916386e-07	0.000113579294995291
ASV_209	visit	Week 72	0.25104901141508	0.0548953488954366	232	34	7.84878797201975e-06	0.000596507885873501
Moraxella	visit	Week 72	0.490716936624761	0.117862367915934	232	82	4.43316587812608e-05	0.00224613737825055
ASV_205	visit	Week 72	0.148156764378061	0.0389324628692164	232	29	0.000181482325235316	0.00689632835894201
Lautropia	visit	Week 72	-0.377038738341775	0.101271422371815	232	196	0.000247577880018549	0.00752636755256389
Treponema	visit	Week 72	0.225431391093521	0.0625064255912283	232	35	0.000380574579675689	0.00964122268511746
ASV_62	visit	Week 72	0.354574564161405	0.105206841428823	232	76	0.000880622232994686	0.0191220827735989
Oribacterium	visit	Week 72	-0.28130919825565	0.0896596141634691	232	117	0.00192641802390142	0.036601942454127
Streptobacillus	visit	Week 72	0.277929530039371	0.0905507533267854	232	63	0.00240310666733267	0.0405858014927296
ASV_540	visit	Week 72	-0.104889806954019	0.0346780178534249	232	13	0.00277168078398967	0.042129547916643
Rothia	visit	Week 72	-0.264629320856144	0.0902186902308884	232	203	0.00369415112210802	0.048276440681998
ASV_461	visit	Week 72	0.050634490541074	0.0173220413288607	232	9	0.00381129794857879	0.048276440681998
ASV_187	visit	Week 72	0.0925563128500557	0.0342138094366027	232	15	0.00733656119752709	0.0857813309249322
Atopobium	visit	Week 72	-0.202253613813464	0.0790889741386053	232	60	0.0111923147499585	0.121516560142406
Haemophilus	visit	Week 72	0.146994239874118	0.0598221016005763	232	229	0.014742549565863	0.149391168934079
ASV_157	visit	Week 72	0.0885598597787207	0.037964964003597	232	18	0.0205290041423858	0.195025539352665
ASV_280	visit	Week 72	0.0525044287277279	0.0229823827510217	232	6	0.0232510343233165	0.196342067619117
ASV_1272	visit	Week 72	-0.046438736454584	0.0202977535244708	232	7	0.0230533170127122	0.196342067619117
Veillonella	visit	Week 72	-0.167949389998521	0.0745904168556844	232	231	0.0252908302731741	0.202326642185393
ASV_163	visit	Week 72	-0.0928056106418935	0.0431358722161836	232	17	0.0324809172598364	0.226080587149276
ASV_180	visit	Week 72	-0.0791226235067017	0.0374493844241817	232	24	0.0356969348130436	0.226080587149276
F0058	visit	Week 72	-0.192868606977293	0.0889987460184001	232	61	0.0312547987070349	0.226080587149276
