feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aggregatibacter	visit	Week 72	0.380696613785131	0.0748056720575714	232	116	7.47232203916386e-07	0.000113579294995291
ASV_209	visit	Week 72	0.25104901141508	0.0548953488954366	232	34	7.84878797201975e-06	0.000596507885873501
Moraxella	visit	Week 72	0.490716936624761	0.117862367915934	232	82	4.43316587812608e-05	0.00224613737825055
ASV_205	visit	Week 72	0.148156764378061	0.0389324628692164	232	29	0.000181482325235316	0.00689632835894201
Lautropia	visit	Week 72	-0.377038738341775	0.101271422371815	232	196	0.000247577880018549	0.00752636755256389
Treponema	visit	Week 72	0.225431391093521	0.0625064255912283	232	35	0.000380574579675689	0.00964122268511746
ASV_62	visit	Week 72	0.354574564161405	0.105206841428823	232	76	0.000880622232994686	0.0191220827735989
Oribacterium	visit	Week 72	-0.28130919825565	0.0896596141634691	232	117	0.00192641802390142	0.036601942454127
Streptobacillus	visit	Week 72	0.277929530039371	0.0905507533267854	232	63	0.00240310666733267	0.0405858014927296
ASV_540	visit	Week 72	-0.104889806954019	0.0346780178534249	232	13	0.00277168078398967	0.042129547916643
Rothia	visit	Week 72	-0.264629320856144	0.0902186902308884	232	203	0.00369415112210802	0.048276440681998
ASV_461	visit	Week 72	0.050634490541074	0.0173220413288607	232	9	0.00381129794857879	0.048276440681998
