"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","Aggregatibacter","visit","Week 72",1.78376557973391,0.372936541289849,3.08520334711771e-06,"visitWeek 72",0.000465865705414775,232,116
"2","ASV_209","visit","Week 72",0.574522081784248,0.126997178047792,9.73112924598829e-06,"visitWeek 72",0.000734700258072116,232,34
"3","ASV_205","visit","Week 72",0.544542539456503,0.1278172250971,2.97760552637048e-05,"visitWeek 72",0.00149872811493981,232,29
"4","Streptococcus","visit","Week 72",-6.3280602646242,1.55793724968331,6.68103001801148e-05,"visitWeek 72",0.00252208883179933,232,230
"5","Moraxella","visit","Week 72",1.2647355764944,0.341359799255194,0.000264822092962119,"visitWeek 72",0.00799762720745598,232,58
"6","ASV_62","visit","Week 72",0.873291566519035,0.246634300488786,0.00048269911863333,"visitWeek 72",0.0121479278189388,232,76
"7","Oribacterium","visit","Week 72",-1.01103292964007,0.294682756336617,0.000712994336886278,"visitWeek 72",0.0153803064099754,232,105
"8","Atopobium","visit","Week 72",-0.57209139507715,0.177764538300065,0.00147561882328262,"visitWeek 72",0.0278523052894594,232,59
"9","Neisseria","visit","Week 72",4.05967456016694,1.31951394388633,0.00234716982444269,"visitWeek 72",0.0321216077890426,232,207
"10","Lautropia","visit","Week 72",-1.51480607340913,0.487438674981982,0.00212306410520582,"visitWeek 72",0.0321216077890426,232,196
"11","ASV_461","visit","Week 72",0.241694830905804,0.0792315070129998,0.0025527105527716,"visitWeek 72",0.0321216077890426,232,9
"12","ASV_540","visit","Week 72",-0.256501704728212,0.0836646139866732,0.0024302080170793,"visitWeek 72",0.0321216077890426,232,13
"13","Alloprevotella","visit","Week 72",2.17968703878332,0.751928734315723,0.00410838273406556,"visitWeek 72",0.0477204456033769,232,97
"14","Streptobacillus","visit","Week 72",0.601836769681234,0.219716010406191,0.00664238324745259,"visitWeek 72",0.0716428478832387,232,60
"15","ASV_187","visit","Week 72",0.298086439365001,0.11386888479875,0.00943717873079312,"visitWeek 72",0.0950009325566507,232,15
"16","Veillonella","visit","Week 72",-2.4116708773318,0.940640768408196,0.0109886366598487,"visitWeek 72",0.103705258477322,232,215
"17","ASV_163","visit","Week 72",-0.346936834789526,0.14061955364072,0.0143471988858998,"visitWeek 72",0.127436884221816,232,17
"18","Rothia","visit","Week 72",-1.71988294565941,0.718755126857776,0.0175209012879392,"visitWeek 72",0.146980894137712,232,203
"19","ASV_280","visit","Week 72",0.192056735713775,0.0812836737741033,0.0189711694358685,"visitWeek 72",0.150449184258939,232,6
"20","ASV_1272","visit","Week 72",-0.126351326247527,0.054269817422508,0.0207693425270083,"visitWeek 72",0.150449184258939,232,7
"21","ASV_1415","visit","Week 72",-0.109139654852061,0.0469343858645336,0.0209233964863425,"visitWeek 72",0.150449184258939,232,5
"22","ASV_180","visit","Week 72",-0.362152637251605,0.162006988234462,0.0263508574548137,"visitWeek 72",0.180862703439858,232,24
"23","Kingella","visit","Week 72",-0.429388736312513,0.194380037968376,0.0281600428560189,"visitWeek 72",0.184876803098211,232,20
"24","ASV_157","visit","Week 72",0.261786861395377,0.124265542248427,0.0362295942119049,"visitWeek 72",0.219154170454754,232,18
"25","ASV_331","visit","Week 72",-0.227136326122209,0.109576961575673,0.039300621903493,"visitWeek 72",0.219154170454754,232,28
"26","ASV_339","visit","Week 72",-0.185417341524545,0.0884051938922775,0.0370540443204067,"visitWeek 72",0.219154170454754,232,9
"27","ASV_767","visit","Week 72",-0.136245455201117,0.0658862746076986,0.0397690590492585,"visitWeek 72",0.219154170454754,232,4
"28","ASV_1398","visit","Week 72",-0.0856212327859491,0.041587502973755,0.0406378594220735,"visitWeek 72",0.219154170454754,232,4
"29","ASV_216","visit","Week 72",0.24459698707753,0.120536455000314,0.0435860983543142,"visitWeek 72",0.219383361716715,232,16
"30","Shuttleworthia","visit","Week 72",-0.223104448694478,0.109728616096593,0.0431769479296983,"visitWeek 72",0.219383361716715,232,14
"31","Peptostreptococcus","visit","Week 72",-0.346291839698199,0.173850853051739,0.0475657306696519,"visitWeek 72",0.231691139713465,232,93
"32","F0058","visit","Week 72",-0.379667998800027,0.193579246129349,0.0510500050950186,"visitWeek 72",0.238951311598833,232,61
"33","F0332","visit","Week 72",-0.156419097565622,0.0801565436043284,0.0522211475679568,"visitWeek 72",0.238951311598833,232,11
"34","Mobiluncus","visit","Week 72",0.0869464918442227,0.0449320749083494,0.0542084583433362,"visitWeek 72",0.240749329701287,232,4
"35","Solobacterium","visit","Week 72",0.363983957155029,0.191317804560775,0.0583536622943865,"visitWeek 72",0.251754371612925,232,89
"36","ASV_283","visit","Week 72",-0.167374291577496,0.0901461283462635,0.0646325335695355,"visitWeek 72",0.267050730677168,232,12
"37","Comamonas","visit","Week 72",0.291036002431873,0.15722273089839,0.0654362717553327,"visitWeek 72",0.267050730677168,232,11
"38","Filifactor","visit","Week 72",0.137921588371128,0.0755795578295564,0.0693203693427819,"visitWeek 72",0.275457257125265,232,13
"39","Enterococcus","visit","Week 72",-0.145282422447863,0.080375768862161,0.0719846076037465,"visitWeek 72",0.278709634568352,232,3
"40","Mycoplasma","visit","Week 72",-0.25644888093804,0.144522220408145,0.0773099204086544,"visitWeek 72",0.29184494954267,232,33
"41","Campylobacter","visit","Week 72",0.51657704969029,0.294181764747393,0.080422991974579,"visitWeek 72",0.294235672441701,232,154
"42","Candidatus_Saccharimonas","visit","Week 72",-0.29832241413537,0.170688613056524,0.0818403857122613,"visitWeek 72",0.294235672441701,232,57
"43","Actinobacillus","visit","Week 72",1.08064112334304,0.632894372061054,0.0890862098173069,"visitWeek 72",0.312837620521241,232,121
"44","ASV_508","visit","Week 72",0.0755619027987035,0.0449782888063641,0.0943220494863994,"visitWeek 72",0.316502877165474,232,3
"45","ASV_1054","visit","Week 72",-0.0982927476663852,0.0584547516995117,0.0940195302429946,"visitWeek 72",0.316502877165474,232,6
"46","Actinomyces","visit","Week 72",-0.951094550443451,0.57033168638183,0.0967528007370562,"visitWeek 72",0.316771271187469,232,189
"47","ASV_894","visit","Week 72",0.0889357372354772,0.0536991048590543,0.0990476495996541,"visitWeek 72",0.316771271187469,232,3
"48","Acinetobacter","visit","Week 72",-0.176934070518319,0.107355761409939,0.100695503423831,"visitWeek 72",0.316771271187469,232,9
"49","Fusobacterium","visit","Week 72",1.17567623900299,0.718488771501354,0.103140621606219,"visitWeek 72",0.317841507398755,232,119
"50","ASV_561","visit","Week 72",0.0688783913813678,0.0427315844704723,0.108358356659079,"visitWeek 72",0.327242237110419,232,3
"51","ASV_1235","visit","Week 72",-0.0401106284039285,0.0256903084186139,0.119824646936228,"visitWeek 72",0.354774935046478,232,2
"52","Psychrobacter","visit","Week 72",-0.133100795406339,0.0868377054455673,0.126710931507235,"visitWeek 72",0.367949051107549,232,5
"53","ASV_112","visit","Week 72",0.275234373282806,0.185479473244708,0.139202560388497,"visitWeek 72",0.368564527742098,232,19
"54","Stomatobaculum","visit","Week 72",0.473730218766288,0.321283773717731,0.141716735375962,"visitWeek 72",0.368564527742098,232,92
"55","ASV_214","visit","Week 72",0.133320127157693,0.0905509602970501,0.142301122282557,"visitWeek 72",0.368564527742098,232,5
"56","Sphingopyxis","visit","Week 72",0.0979910411734535,0.0668415461873131,0.144008656534992,"visitWeek 72",0.368564527742098,232,7
