feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aggregatibacter	visit	Week 72	1.78376557973391	0.372936541289849	232	116	3.08520334711771e-06	0.000465865705414775
ASV_209	visit	Week 72	0.574522081784248	0.126997178047792	232	34	9.73112924598829e-06	0.000734700258072116
ASV_205	visit	Week 72	0.544542539456503	0.1278172250971	232	29	2.97760552637048e-05	0.00149872811493981
Streptococcus	visit	Week 72	-6.3280602646242	1.55793724968331	232	230	6.68103001801148e-05	0.00252208883179933
Moraxella	visit	Week 72	1.2647355764944	0.341359799255194	232	58	0.000264822092962119	0.00799762720745598
ASV_62	visit	Week 72	0.873291566519035	0.246634300488786	232	76	0.00048269911863333	0.0121479278189388
Oribacterium	visit	Week 72	-1.01103292964007	0.294682756336617	232	105	0.000712994336886278	0.0153803064099754
Atopobium	visit	Week 72	-0.57209139507715	0.177764538300065	232	59	0.00147561882328262	0.0278523052894594
Neisseria	visit	Week 72	4.05967456016694	1.31951394388633	232	207	0.00234716982444269	0.0321216077890426
Lautropia	visit	Week 72	-1.51480607340913	0.487438674981982	232	196	0.00212306410520582	0.0321216077890426
ASV_461	visit	Week 72	0.241694830905804	0.0792315070129998	232	9	0.0025527105527716	0.0321216077890426
ASV_540	visit	Week 72	-0.256501704728212	0.0836646139866732	232	13	0.0024302080170793	0.0321216077890426
Alloprevotella	visit	Week 72	2.17968703878332	0.751928734315723	232	97	0.00410838273406556	0.0477204456033769
