"","Species","beta","se","W","p_val","q_val","diff_abn"
"visitWeek 725","Moraxella",1.34897337037844,0.317404320001714,4.25001578545356,2.13755450797601e-05,0.000277882086036882,TRUE
"visitWeek 727","Fusobacterium",0.614396013537008,0.233680726959987,2.62921132405674,0.00855831593392734,0.0445032428564222,TRUE
"visitWeek 729","Lautropia",-0.938349471824326,0.287315015939086,-3.26592562089851,0.00109106903544834,0.00709194873041419,TRUE
"visitWeek 7215","Aggregatibacter",1.77625687620316,0.320820572490258,5.53660528193559,3.08390490883679e-08,1.60363055259513e-06,TRUE
"visitWeek 7219","ASV_62",1.08434845896548,0.269832337538241,4.01860084250207,5.85447523053098e-05,0.000507387853312685,TRUE
"visitWeek 7225","Streptobacillus",0.85129279431054,0.23112924224657,3.68318948323457,0.000230333815882952,0.00171105120370193,TRUE
"visitWeek 7231","Solobacterium",0.527512075027753,0.190735585592673,2.76567203434332,0.00568056333268986,0.0328210325888747,TRUE
"visitWeek 7235","Treponema",0.69264578013895,0.170368582430472,4.06557224493913,4.79147482595418e-05,0.000498313381899235,TRUE
"visitWeek 7236","ASV_205",0.755599431902944,0.160037902097416,4.7213780110852,2.3425211215145e-06,4.06036994395847e-05,TRUE
"visitWeek 7237","ASV_209",0.785578974230691,0.160123262025565,4.90608899851957,9.29103792583951e-07,2.41566986071827e-05,TRUE
