"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","Aggregatibacter","visit","Week 72",0.380696613785131,0.0748056720575714,7.47232203916386e-07,"visitWeek 72",0.000113579294995291,232,116
"2","ASV_209","visit","Week 72",0.25104901141508,0.0548953488954366,7.84878797201975e-06,"visitWeek 72",0.000596507885873501,232,34
"3","Moraxella","visit","Week 72",0.490716936624761,0.117862367915934,4.43316587812608e-05,"visitWeek 72",0.00224613737825055,232,82
"4","ASV_205","visit","Week 72",0.148156764378061,0.0389324628692164,0.000181482325235316,"visitWeek 72",0.00689632835894201,232,29
"5","Lautropia","visit","Week 72",-0.377038738341775,0.101271422371815,0.000247577880018549,"visitWeek 72",0.00752636755256389,232,196
"6","Treponema","visit","Week 72",0.225431391093521,0.0625064255912283,0.000380574579675689,"visitWeek 72",0.00964122268511746,232,35
"7","ASV_62","visit","Week 72",0.354574564161405,0.105206841428823,0.000880622232994686,"visitWeek 72",0.0191220827735989,232,76
"8","Oribacterium","visit","Week 72",-0.28130919825565,0.0896596141634691,0.00192641802390142,"visitWeek 72",0.036601942454127,232,117
"9","Streptobacillus","visit","Week 72",0.277929530039371,0.0905507533267854,0.00240310666733267,"visitWeek 72",0.0405858014927296,232,63
"10","ASV_540","visit","Week 72",-0.104889806954019,0.0346780178534249,0.00277168078398967,"visitWeek 72",0.042129547916643,232,13
"11","Rothia","visit","Week 72",-0.264629320856144,0.0902186902308884,0.00369415112210802,"visitWeek 72",0.048276440681998,232,203
"12","ASV_461","visit","Week 72",0.050634490541074,0.0173220413288607,0.00381129794857879,"visitWeek 72",0.048276440681998,232,9
