"","Species","beta","se","W","p_val","q_val","diff_abn"
"visitWeek 721","Neisseria",0.31600117088977,0.206292556583566,1.53181082305199,0.125569124491888,0.261183778943127,FALSE
"visitWeek 722","Streptococcus",-0.06714590859918,0.13449857974197,-0.499231357892378,0.617616405883538,0.782132974954432,FALSE
"visitWeek 723","Haemophilus",0.45776832408766,0.233916280439196,1.95697504777421,0.0503504020769651,0.130911045400109,FALSE
"visitWeek 724","Prevotella",0.000471147786829773,0.21315219080759,0.0022103820985592,0.998236371686204,0.998236371686204,FALSE
"visitWeek 725","Moraxella",1.34897337037844,0.317404320001714,4.25001578545356,2.13755450797601e-05,0.000277882086036882,TRUE
"visitWeek 726","Veillonella",-0.223333184160952,0.164963372150036,-1.3538349831854,0.175789030006543,0.315207915873801,FALSE
"visitWeek 727","Fusobacterium",0.614396013537008,0.233680726959987,2.62921132405674,0.00855831593392734,0.0445032428564222,TRUE
"visitWeek 728","Porphyromonas",0.322882061642871,0.236246282134804,1.3667180652546,0.17171369318076,0.315207915873801,FALSE
"visitWeek 729","Lautropia",-0.938349471824326,0.287315015939086,-3.26592562089851,0.00109106903544834,0.00709194873041419,TRUE
"visitWeek 7210","Actinobacillus",0.979609642394684,0.412623193614819,2.37410222584129,0.0175916793199035,0.065340523188213,FALSE
"visitWeek 7211","Gemella",0.0159672627528117,0.161728690657191,0.0987286961140173,0.921353683965088,0.998236371686204,FALSE
"visitWeek 7212","Alloprevotella",0.615711846161441,0.253397425913683,2.42982675905783,0.0151060413710012,0.065340523188213,FALSE
"visitWeek 7213","Leptotrichia",0.418054244836759,0.263347033263097,1.58746517724809,0.112407327764266,0.24354921015591,FALSE
"visitWeek 7214","Rothia",-0.623677204990295,0.275536510872658,-2.26350113462289,0.0236048147470226,0.0722029627555986,FALSE
"visitWeek 7215","Aggregatibacter",1.77625687620316,0.320820572490258,5.53660528193559,3.08390490883679e-08,1.60363055259513e-06,TRUE
"visitWeek 7216","Granulicatella",0.00149469840555574,0.166173636175763,0.00899479869342688,0.992823285768805,0.998236371686204,FALSE
"visitWeek 7217","ASV_52",0.571611579583653,0.316098551044615,1.80833343808328,0.0705546206304783,0.174706679656422,FALSE
"visitWeek 7218","Actinomyces",-0.172384499823112,0.25221644003299,-0.683478443358268,0.494304567127534,0.694698310557616,FALSE
"visitWeek 7219","ASV_62",1.08434845896548,0.269832337538241,4.01860084250207,5.85447523053098e-05,0.000507387853312685,TRUE
"visitWeek 7220","Campylobacter",0.142052728725313,0.219531034705276,0.647073562587728,0.51758433470866,0.708273300127641,FALSE
"visitWeek 7221","Bergeyella",0.605442813689282,0.266561850998867,2.27130330698317,0.0231286231837869,0.0722029627555986,FALSE
