"","x"
"Neisseria",0.557345256428972
"Streptococcus",0.307134709911931
"Haemophilus",0.557345256428972
"Prevotella",0.648566804096355
"Moraxella",0.00126794643991555
"Veillonella",0.166239727240215
"Fusobacterium",0.236538029022591
"Porphyromonas",0.648566804096355
"Lautropia",0.00143227285024073
"Actinobacillus",0.073663469808149
"Gemella",0.606319848120588
"Alloprevotella",0.277509132376376
"Leptotrichia",0.785402838966927
"Rothia",0.00900468482530289
"Aggregatibacter",3.18270790775002e-06
"Granulicatella",0.557345256428972
"Escherichia/Shigella",NA
"ASV_52",0.540702555303305
"Actinomyces",0.528609850321358
"Pseudomonas",0.857293966436209
"ASV_62",0.00126794643991555
"Campylobacter",0.993713115335581
"Bergeyella",0.330990122726135
"ASV_68",0.557345256428972
"ASV_77",0.993713115335581
"Enterococcus",NA
"Dolosigranulum",0.36879568521354
"Corynebacterium",0.386345808780223
"Streptobacillus",0.00231921743013688
"Oribacterium",0.0178187182908873
"ASV_112",0.364039305505117
"Stomatobaculum",0.131661810953693
"Lachnoanaerobaculum",0.637840997332606
"ASV_120",0.825912242705305
"ASV_126",0.825912242705305
"Mannheimia",0.36879568521354
"TM7x",0.993713115335581
"Tropheryma",0.557345256428972
"Solobacterium",0.462843090069508
"Peptostreptococcus",0.364039305505117
"Abiotrophia",0.757533373829187
"Oceanivirga",0.857010649582043
"ASV_157",0.266180032446813
"ASV_163",0.123102796388464
"ASV_180",0.2335268185573
"ASV_182",0.603520261839459
"ASV_187",0.178980052153926
"Treponema",0.0119380425017568
"Eikenella",0.557345256428972
"ASV_203",0.857010649582043
"ASV_205",0.00386754569036747
"ASV_209",0.0027069404840707
"F0058",0.178980052153926
"ASV_214",0.533972583424419
"ASV_216",0.265157114359564
"Conchiformibius",0.371546754132726
"Hydrogenophaga",0.993713115335581
"Catonella",0.785402838966927
"Candidatus_Saccharimonas",0.648566804096355
"ASV_239",0.939591985460039
"Mogibacterium",0.993713115335581
"Atopobium",0.072408789249004
"Selenomonas",0.939591985460039
"ASV_260",0.993713115335581
"Cardiobacterium",0.663331748715358
"ASV_280",NA
"ASV_283",0.364039305505117
"Comamonas",0.265157114359564
"ASV_286",0.825912242705305
"Capnocytophaga",0.540702555303305
"Kingella",0.296923880753195
"Butyrivibrio",0.36879568521354
"ASV_307",0.611500593244688
"Mycoplasma",0.51064134732087
"Tannerella",0.825912242705305
"Parvimonas",0.797075070124812
"ASV_329",0.557345256428972
"ASV_331",0.36879568521354
"Filifactor",0.271967503741243
"Dialister",0.993713115335581
"ASV_339",0.265157114359564
"Peptococcus",0.606319848120588
"Staphylococcus",0.785402838966927
"Hyphomicrobium",0.833975757669436
"ASV_383",0.833975757669436
"Psychrobacter",0.538913901763002
"ASV_409",0.557345256428972
"F0332",0.266180032446813
"ASV_421",NA
"ASV_426",0.993713115335581
"ASV_428",0.785402838966927
"Peptoanaerobacter",0.391197708705905
"Delftia",0.785402838966927
"Sphingopyxis",0.557345256428972
"Lentimicrobium",0.648566804096355
"ASV_461",NA
"ASV_472",0.993713115335581
"Amnipila",0.606319848120588
"Bulleidia",0.648566804096355
"Anaeroglobus",0.993713115335581
"ASV_508",NA
"ASV_525",0.606319848120588
"Sneathia",NA
"ASV_540",0.178980052153926
"Centipeda",0.528609850321358
"ASV_561",NA
"Carnobacterium",NA
"ASV_586",0.993713115335581
"ASV_591",0.785402838966927
"ASV_596",0.785402838966927
"Johnsonella",0.37314896634402
"ASV_639",0.391197708705905
"ASV_644",0.648566804096355
"ASV_653",NA
"Pantoea",0.993713115335581
"Rodentibacter",0.648566804096355
"ASV_682",0.561683429576387
"ASV_689",0.825912242705305
"Shuttleworthia",0.557345256428972
"Family_XIII_UCG-001",0.845853680469343
"Alysiella",0.993713115335581
"ASV_767",NA
"ASV_817",0.606319848120588
"ASV_821",NA
"Lactobacillus",0.763770795209088
"ASV_854",0.785402838966927
"ASV_860",0.606319848120588
"ASV_894",NA
"Olsenella",0.648566804096355
"Scardovia",0.993713115335581
"Acinetobacter",0.371546754132726
"Prevotellaceae_YAB2003_group",0.606319848120588
"ASV_964",NA
"Mobiluncus",NA
"ASV_1004",0.606319848120588
"ASV_1054",0.40019061025853
"ASV_1121",0.993713115335581
"ASV_1135",NA
"ASV_1235",NA
"ASV_1272",0.364039305505117
"ASV_1306",0.785402838966927
"ASV_1325",0.785402838966927
"ASV_1343",0.993713115335581
"ASV_1398",NA
"ASV_1415",NA
"Desulfobulbus",NA
"Brevundimonas",NA
"Weissella",0.993713115335581
"Leuconostoc",NA
"ASV_1895",0.993713115335581
"Helicobacter",0.993713115335581
"Fretibacterium",0.993713115335581
