"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-1.41162140310359,0.0932864908286585,-15.1321095966226,2.53728012539033e-36
"mu.visitWeek 72",0.13716840257091,0.122624799506008,1.11860246152076,0.264481790843532
"phi.(Intercept)",-1.48729438192826,0.0918902270038979,-16.1855556398307,8.54017979459175e-40
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-1.39160659812527,0.0716195368263083,-19.430544510504,2.43568613885405e-50
"mu.visitWeek 72",-0.18143564193066,0.0996019779820957,-1.82160681551199,0.0698192958641208
"phi.(Intercept)",-2.17658544555624,0.0918036931583714,-23.709127276627,1.4035674855315e-63
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-1.20886913412168,0.104329027828642,-11.5870832814355,9.78846777987371e-25
"mu.visitWeek 72",0.158631584992137,0.136987938728184,1.15799672923686,0.248071660429014
"phi.(Intercept)",-0.992763594791654,0.0888879649439035,-11.1687065331981,2.09568329370107e-23
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-2.28228284622646,0.0967709865429929,-23.5843709747911,3.31238426483211e-63
"mu.visitWeek 72",-0.0997197237951271,0.120872786528189,-0.82499731047295,0.410231660621775
"phi.(Intercept)",-2.06386101153691,0.103867547488871,-19.8701236472157,9.69444822027293e-52
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-5.06660185270901,0.306239898156716,-16.5445517818067,5.63765151652995e-41
"mu.visitWeek 72",1.02734886818859,0.241650178717917,4.25138882014994,3.09466883454535e-05
"phi.(Intercept)",-1.55303388095728,0.271226903394619,-5.72595808719501,3.21062596922525e-08
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-2.93721804500424,0.0798275950440863,-36.7945200326041,4.17727933157319e-98
"mu.visitWeek 72",-0.246633807592682,0.105309748344217,-2.34198458804147,0.0200396372615494
"phi.(Intercept)",-3.1414571771997,0.102098714831971,-30.7688219422717,2.62714586637417e-83
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.71022375035887,0.110371104028165,-33.6158977753097,1.61334287244951e-90
"mu.visitWeek 72",0.258622885337929,0.123592954714796,2.09253744224118,0.0374917840042208
"phi.(Intercept)",-3.03757860781725,0.117245997085733,-25.9077382880382,5.16887095853071e-70
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.64126429867615,0.104582025401515,-34.8173052175696,1.92512716492446e-93
"mu.visitWeek 72",0.10006196758421,0.120689189282815,0.829088074738252,0.407917916000414
"phi.(Intercept)",-3.12301459946392,0.114879121630209,-27.1852235214399,1.24780318047448e-73
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.46050551135871,0.121199269299333,-28.5521978091476,2.10802986815356e-77
"mu.visitWeek 72",-0.566016214787297,0.138558430978111,-4.0850362608156,6.09600707613256e-05
"phi.(Intercept)",-2.66653567024495,0.134432653262653,-19.8354760211055,1.24905206890061e-51
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.17291106404703,0.214875951542129,-19.4200934729956,2.6303115267876e-50
"mu.visitWeek 72",0.503087148982572,0.185881238706,2.70649772125891,0.00731180354514894
"phi.(Intercept)",-1.70394070450082,0.201509670456305,-8.45587559466682,3.27455868651845e-15
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.38927413160587,0.0768775555867884,-57.0943508557676,2.00175779100733e-137
"mu.visitWeek 72",-0.0955968414621958,0.100065729818199,-0.955340471067142,0.340412941239929
"phi.(Intercept)",-4.62768488989777,0.10551535166094,-43.8579298372452,2.11108037234059e-113
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.83263496482404,0.113936847605767,-33.6382394753043,1.42144482642725e-90
"mu.visitWeek 72",0.238221297603884,0.125481838377865,1.89845240302048,0.0588938293917841
"phi.(Intercept)",-3.07297802333178,0.119986483764312,-25.6110349009642,3.68372179612042e-69
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.78851529932022,0.127201822066695,-29.7834986776669,1.02804831604433e-80
"mu.visitWeek 72",0.0740248466099957,0.132965434006284,0.556722483277098,0.578260705598096
"phi.(Intercept)",-2.75590978156898,0.131021128970724,-21.0340866638752,2.09183932002264e-55
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.55511726208661,0.105876510675178,-33.5779602049172,2.00064508711996e-90
"mu.visitWeek 72",-0.44848120108251,0.129876950819369,-3.45312388574821,0.000659962198790097
"phi.(Intercept)",-3.0765424550553,0.123580546122238,-24.8950385120662,4.40814088954376e-67
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-5.90440465467402,0.221734106075707,-26.6283106337194,4.59310328591969e-72
"mu.visitWeek 72",1.08591052948036,0.194715329749678,5.57691338877314,6.87152613209652e-08
"phi.(Intercept)",-3.31528967019126,0.198950599065785,-16.6638838272361,2.28695667566987e-41
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.22530141874873,0.0738761130967082,-57.1944197066454,1.37599351259426e-137
"mu.visitWeek 72",-0.107792575623427,0.0977411934882015,-1.1028367035076,0.271255711545449
"phi.(Intercept)",-4.56555318153413,0.105863503618066,-43.1267908721946,6.55608151033431e-112
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-29.2311149632089,24916.6925844222,-0.00117315389529203,0.999064980153315
"mu.visitWeek 72",20.959268653236,24916.6925377623,0.000841173788273518,0.999329572805626
"phi.(Intercept)",-2.21417387634755,1.95576814079738,-1.13212493350301,0.258765974076945
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-5.84198945477842,0.234024221230197,-24.9631829734067,2.78793719215615e-67
"mu.visitWeek 72",0.248536903723552,0.202827952618988,1.22535824335036,0.221699056751578
"phi.(Intercept)",-3.41265639870862,0.233389843876306,-14.6221289754035,1.22263630011746e-34
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.56235862018767,0.117732003459872,-38.752068138743,1.50035330152187e-102
"mu.visitWeek 72",-0.172666217046375,0.134506166872986,-1.28370483718731,0.200542645126541
"phi.(Intercept)",-3.79791386170169,0.132655659436229,-28.6298668133903,1.29590742525998e-77
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.04529740248961,1.00903267610599,-7.97327737049866,7.30828706210012e-14
"mu.visitWeek 72",-0.281808189761135,0.763945930423863,-0.36888499373873,0.712554271916085
"phi.(Intercept)",-2.7622396120616,1.03287135175885,-2.67433074540972,0.0080275783457555
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.69569152922327,0.305002775012845,-21.9528872448498,2.96566568377546e-58
"mu.visitWeek 72",1.04314250833941,0.249606491301544,4.17914815796681,4.16469325591821e-05
"phi.(Intercept)",-3.39750987560488,0.274005620173382,-12.3994167472004,2.3702680028903e-27
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-5.59563154134965,0.118991099598442,-47.0256309945297,1.20067008473818e-119
"mu.visitWeek 72",-0.00504638938882438,0.133597961596976,-0.0377729519859576,0.969901617768311
"phi.(Intercept)",-4.79314927387307,0.133154993386351,-35.9967670154561,3.02629289951571e-96
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.1486538559798,0.205707390886106,-29.8902913964045,5.35260356905034e-81
"mu.visitWeek 72",0.324966202498617,0.183381885163169,1.77207362771666,0.077712022958282
"phi.(Intercept)",-3.9887616242018,0.204663072098351,-19.4894056035913,1.58005958453786e-50
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.52610433089045,0.417965212078011,-15.6139892562934,6.52479521144533e-38
"mu.visitWeek 72",0.355730745286243,0.32016242432204,1.1110946140526,0.267692836625938
"phi.(Intercept)",-2.80018524067254,0.408894925174637,-6.84817802391799,6.80988668845084e-11
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.19663159930642,0.182049278613373,-34.0382101291734,1.48680210820031e-91
"mu.visitWeek 72",-0.0200516786750951,0.181043816527368,-0.110755943283288,0.911906889376677
"phi.(Intercept)",-4.44215371241554,0.192092911883639,-23.1250266803513,7.9486788249073e-62
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.48696533186299,1.48668627765535,-5.03600890409148,9.62960289501918e-07
"mu.visitWeek 72",-21.6058846485867,28206.8856151292,-0.000765979092601347,0.99938950401029
"phi.(Intercept)",-1.77404503753981,1.5903223295739,-1.11552545326779,0.265794555688043
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.22910245634151,0.800882736062564,-9.02641813941758,7.42728362957298e-17
"mu.visitWeek 72",0.952300600828764,0.592170635695239,1.6081523524224,0.109179603674481
"phi.(Intercept)",-1.8157756011751,0.726866510226364,-2.49808675407211,0.0131894167809941
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.20134990827299,0.244211461726262,-25.3933614107929,1.56697089741876e-68
"mu.visitWeek 72",0.318046356013293,0.207215878537187,1.53485513879775,0.126199841147617
"phi.(Intercept)",-3.65880075223669,0.241508913174232,-15.1497545334781,2.21890102397119e-36
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.67412074997862,0.330776296155643,-23.2003346042899,4.7125675252137e-62
"mu.visitWeek 72",1.09166434651394,0.278611431085726,3.91823243669439,0.000117799816347725
"phi.(Intercept)",-4.24955338569634,0.293732473083386,-14.467427932253,3.95920159688478e-34
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.08946151380797,0.173964303465605,-35.004086427489,6.85739840911676e-94
"mu.visitWeek 72",-0.593738398236421,0.185499366070675,-3.20075702043212,0.0015649633446578
"phi.(Intercept)",-4.54986527114248,0.194344443212507,-23.4113473785685,1.09319191638642e-62
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.54036697744385,0.660619430825486,-11.4140859708315,3.48715437269118e-24
"mu.visitWeek 72",0.829917177918546,0.493859715296211,1.68047150276424,0.0942291175671973
"phi.(Intercept)",-2.67261457988693,0.613254448865095,-4.35808429084035,1.98174638136528e-05
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.94085605769642,0.2270214273176,-30.5735724583665,8.49540092145646e-83
"mu.visitWeek 72",0.500255444787366,0.203961356222303,2.45269718760903,0.0149263315939926
"phi.(Intercept)",-4.55068350992345,0.22161784652388,-20.5339217093832,7.73089138469439e-54
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.4845743156057,0.160799081472878,-40.3271850573317,5.22541059771354e-106
"mu.visitWeek 72",-0.152275661260399,0.169147475888796,-0.900253819693477,0.368930926437268
"phi.(Intercept)",-5.04258281968282,0.175159966626126,-28.788443597081,4.81019719218982e-78
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.50812583583382,1.2585719497339,-5.9655912698684,9.17593139076767e-09
"mu.visitWeek 72",0.41812847567357,0.913431048435472,0.457755926284465,0.64756182753542
"phi.(Intercept)",-1.3237777696733,1.2052598486486,-1.0983339162568,0.273212154672347
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.27466194576247,1.2749032054016,-6.49042367350225,5.23979485567586e-10
"mu.visitWeek 72",0.422000177609958,0.913130368396641,0.462146690347124,0.644414892100519
"phi.(Intercept)",-2.20782944110149,1.23603128643359,-1.78622456027945,0.0753858968194838
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.83542401161176,0.431841562601075,-15.8285459380994,1.28008975955942e-38
