"","ASVs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","Neisseria",3446.75691381964,2.48192161949867e-05,0.00144276175146466,0.151247927546092,0.999699200175897
"2","Streptococcus",2660.73361395312,0.00124409998358724,0.00194179604327533,0.0671023873826353,0.666550381334177
"3","Haemophilus",7067.64477404939,-0.674859321796512,0.35728612186998,0.000124353953679646,0.00926436954913366
"4","Prevotella",1091.69563656409,-7.31487977616716e-06,0.00144266216783103,0.256274258572655,0.999699200175897
"5","Moraxella",132.233521104633,2.79632592385623e-06,0.00144269466447294,9.93596245530287e-06,0.00148045840584013
"6","Veillonella",583.597096352982,-0.423609886749505,0.179620844394454,0.00052475636816488,0.0260628996188557
"7","Fusobacterium",329.211758810551,1.00249963279975e-05,0.0014426821830844,0.0330014163465838,0.480998704077509
"8","Porphyromonas",365.003864300652,-5.78319169513047e-06,0.00144267174733778,0.707181854259778,0.999699200175897
"9","Lautropia",312.980445045742,-0.510598772462257,0.632596352164042,0.00412838103487434,0.102521462366046
"10","Actinobacillus",275.158463493805,3.43063445353976e-06,0.00144269294215169,0.794518245347049,0.999699200175897
"11","Gemella",171.950536903078,-5.87266679552325e-06,0.00144264855954297,0.338226331282235,0.999699200175897
"12","Alloprevotella",329.361502686223,0.000139357275571489,0.00144606419284563,0.805275902852646,0.999699200175897
"13","Leptotrichia",246.556206912843,-3.01504004690737e-06,0.00144267747758832,0.416607450985635,0.999699200175897
"14","Rothia",321.954611154582,-6.06207480260843e-06,0.00144268051304824,0.0196146659314709,0.365323152973645
"15","Aggregatibacter",72.5390894676135,4.43873967269829e-06,0.0014426932473313,0.0615526362514591,0.655095914390529
"16","Granulicatella",199.466498561758,-7.42438998545913e-06,0.00144264508259568,0.296121476688283,0.999699200175897
"17","Escherichia/Shigella",0.0317163259955137,3.59962741249687e-07,0.00144269505856778,0.855850338767353,0.999699200175897
"18","ASV_52",39.7103461707512,2.79698134593376e-07,0.00144269054034686,0.879373324552979,0.999699200175897
"19","Actinomyces",106.277786085456,-7.90871744926376e-06,0.00144268303768284,0.0534274964845854,0.612361305861787
"20","Pseudomonas",0.18159929379404,-2.46305923434727e-08,0.0014426948601738,0.7694167389095,0.999699200175897
"21","ASV_62",18.4372065716527,-4.66930537257259e-07,0.001442691784438,0.414901438730932,0.999699200175897
"22","Campylobacter",42.7020581054352,4.16213773047517e-06,0.00144267512405067,0.462399747368736,0.999699200175897
"23","Bergeyella",26.6805262724193,4.58548765863266e-06,0.00144269294894183,0.0498491728277898,0.612361305861787
"24","ASV_68",21.7901234660751,-1.32336146033364e-07,0.00144269368267196,0.959894872048241,0.999699200175897
"25","ASV_77",28.3387363137933,-2.8753972349576e-06,0.0014426892972093,0.571037387814958,0.999699200175897
"26","Enterococcus",0.105708844396996,-3.59108400049538e-07,0.00144269506171697,0.744237552612482,0.999699200175897
"27","Dolosigranulum",2.94612946164553,2.97015223819878e-07,0.00144269473014814,0.259108523399735,0.999699200175897
"28","Corynebacterium",16.7006155028243,-6.36007602690231e-06,0.00144269962371871,0.930923752249913,0.999699200175897
"29","Streptobacillus",9.75294148641793,1.73022989831115e-07,0.00144269237729534,0.442777626032046,0.999699200175897
"30","Oribacterium",16.6205679017325,-6.81719031805158e-06,0.00144269609513272,0.00336727830922291,0.100344893614843
"31","ASV_112",13.5624243972725,3.13339663166937e-07,0.0014426948218056,0.40967977932276,0.999699200175897
"32","Stomatobaculum",12.6866700689171,-4.23008221349163e-06,0.00144269255914245,0.850140548584886,0.999699200175897
"33","Lachnoanaerobaculum",14.1826441849946,-2.81194113429139e-07,0.00144268410346162,0.507438172477185,0.999699200175897
"34","ASV_120",0.294109344251551,6.11368597831634e-06,0.00144270136564615,0.480081966762528,0.999699200175897
"35","ASV_126",0.43371951236945,1.69935273034571e-07,0.00144269494593818,0.552360225264618,0.999699200175897
"36","Mannheimia",6.15668732542755,7.05497728302101e-07,0.0014426939546688,0.861372453556091,0.999699200175897
"37","TM7x",8.9336882044565,-1.61112593519997e-06,0.00144269004593285,0.417251480473713,0.999699200175897
"38","Tropheryma",1.00801665578023,-3.75589064706293e-07,0.00144269506049886,0.215365332792569,0.999699200175897
"39","Solobacterium",4.59083924474312,2.28729854895763e-06,0.00144268997173071,0.211098366579805,0.999699200175897
"40","Peptostreptococcus",5.25981633844797,-2.75487830573982e-06,0.00144269034897711,0.19184488716811,0.999699200175897
"41","Abiotrophia",8.30411795754296,-1.66454833065379e-07,0.00144269243577077,0.212167945058886,0.999699200175897
"42","Oceanivirga",0.44570439499979,-5.0336295877501e-07,0.00144269503758444,0.570205127075607,0.999699200175897
"43","ASV_157",1.11973523028695,7.14337574561097e-07,0.00144269479780505,0.141344683316766,0.999699200175897
"44","ASV_163",1.14115523074691,-1.156236612307e-06,0.00144269494770025,0.169722301915815,0.999699200175897
"45","ASV_180",4.78434185517782,-6.37870955920304e-07,0.00144269435621102,0.407673339147531,0.999699200175897
"46","ASV_182",1.92451721542983,-6.78009122729582e-07,0.00144269483909356,0.564369921348853,0.999699200175897
"47","ASV_187",0.716448406235478,7.28971496628736e-07,0.00144269495973487,0.387052870319763,0.999699200175897
"48","Treponema",1.84210739043272,2.26596066195095,1.35731138009671,0.0355099714419638,0.480998704077509
"49","Eikenella",2.29252186065642,-4.12701022868164e-07,0.00144269463609442,0.24514188111269,0.999699200175897
"50","ASV_203",0.0839546065617799,-8.71095190445254e-08,0.0014426948724276,0.734038130971905,0.999699200175897
"51","ASV_205",1.58065395567063,2.32199447604218e-06,0.00144269542132495,0.0107686921097164,0.22921930347825
"52","ASV_209",1.76137345638784,2.63079471888593e-06,0.00144269552289919,0.00295047478120108,0.100344893614843
"53","F0058",6.75551134914228,-2.06389268283655e-06,0.00144269332706435,0.135613379974182,0.999699200175897
"54","ASV_214",0.129073026028643,3.22765759811924e-07,0.00144269501673375,0.659050700898817,0.999699200175897
"55","ASV_216",0.798158990003467,4.25395418605112e-07,0.00144269465717979,0.190185195315814,0.999699200175897
"56","Conchiformibius",6.27356295200698,6.53773899877079e-07,0.00144269395017241,0.241114139944065,0.999699200175897
"57","Hydrogenophaga",0.20010384338406,1.37130107275614e-07,0.00144269485068249,0.946012620546189,0.999699200175897
"58","Catonella",3.96765205400852,-1.24613830702464e-06,0.0014426903795386,0.80421413236844,0.999699200175897
"59","Candidatus_Saccharimonas",3.50120782994467,-3.16570937709416e-06,0.00144269396383957,0.0321422596407145,0.480998704077509
"60","ASV_239",1.28726484847677,6.01133028554374e-08,0.00144269423069807,0.640906801721829,0.999699200175897
"61","Mogibacterium",2.23100521114697,-8.53913006002074e-07,0.00144269201056101,0.622884984010523,0.999699200175897
"62","Atopobium",3.86638753303653,-3.08461950226013e-06,0.00144269392923631,0.0895444701939613,0.833882878681265
"63","Selenomonas",1.55104809139232,1.41945302069335e-07,0.00144269318595993,0.583528768924113,0.999699200175897
"64","ASV_260",1.31673391248817,-1.88701668880264e-07,0.00144269475079994,0.824886176412913,0.999699200175897
"65","Cardiobacterium",2.67913042596794,-2.60727593773079e-06,0.00144269417772077,0.700521371533403,0.999699200175897
"66","ASV_280",0.184616761850487,3.55927424728654e-07,0.00144269505615768,0.614999393884209,0.999699200175897
"67","ASV_283",0.887930947588043,-5.79387345468345e-07,0.00144269483497124,0.31864095379237,0.999699200175897
"68","Comamonas",0.448893125683539,5.19822550965948e-07,0.00144269497138563,0.590065200317705,0.999699200175897
"69","ASV_286",0.071158502712261,1.88927524884844e-07,0.00144269492644699,0.900088212795364,0.999699200175897
"70","Capnocytophaga",4.49309902827858,-2.58896526962548e-06,0.00144269279880083,0.158149544913492,0.999699200175897
"71","Kingella",3.33615763073736,-5.79248317069089e-07,0.00144269389376548,0.152217222369249,0.999699200175897
"72","Butyrivibrio",1.5244625299853,1.79299448508049e-08,0.00144269310901465,0.999699200175897,0.999699200175897
"73","ASV_307",0.301940595136319,1.26714764301678e-07,0.00144269473727272,0.949930168680148,0.999699200175897
"74","Mycoplasma",1.96322898159988,-1.08455834343085e-06,0.00144269415222568,0.220418758549969,0.999699200175897
"75","Tannerella",3.11937324135868,-6.03449721132041e-07,0.00144269248863257,0.334358200163961,0.999699200175897
"76","Parvimonas",1.29610907057546,-1.78095362848261e-07,0.00144269349166113,0.8221912112063,0.999699200175897
"77","ASV_329",0.528522737444501,1.08743588139678e-07,0.00144269487747365,0.345300072078668,0.999699200175897
"78","ASV_331",1.23256963474627,-1.13657819747586e-06,0.00144269427226901,0.245774597736129,0.999699200175897
"79","Filifactor",0.317118729801008,5.95198939475355e-07,0.00144269483597623,0.614578549826546,0.999699200175897
"80","Dialister",0.388997669704065,-1.97305623432784e-07,0.0014426946783235,0.942354535006803,0.999699200175897
"81","ASV_339",0.273395922578687,-3.4535088386847e-07,0.0014426949670501,0.509803441525273,0.999699200175897
"82","Peptococcus",0.43465828421677,5.45906146771673e-07,0.0014426941692037,0.585668310526082,0.999699200175897
"83","Staphylococcus",0.0555419351916421,2.58315864505781e-07,0.00144269496364129,0.847065153676767,0.999699200175897
"84","Hyphomicrobium",0.101757703023312,-1.98634204138502e-07,0.00144269490435545,0.976996099872134,0.999699200175897
"85","ASV_383",0.115379659544859,9.26386931066855e-08,0.00144269487519944,0.771577000290663,0.999699200175897
"86","Psychrobacter",0.0745315538343341,-4.2456028178566e-07,0.00144269505059263,0.825146621857894,0.999699200175897
"87","ASV_409",0.529339291323479,-4.60116395859521e-07,0.00144269486410524,0.376855158642232,0.999699200175897
"88","F0332",0.246754464597344,-3.1712066740591e-07,0.00144269481547667,0.687492466099727,0.999699200175897
"89","ASV_421",0,3.59457040010051e-07,0.0014426950579172,1,NA
"90","ASV_426",0.0305588878235501,5.56908064872392e-07,0.00144269496498715,0.920139758742045,0.999699200175897
"91","ASV_428",0.0442341886264884,-8.17714280009764e-08,0.00144269487123795,0.891538798671658,0.999699200175897
"92","Peptoanaerobacter",0.102132174138108,2.8493821953977e-07,0.00144269495283783,0.749258190039282,0.999699200175897
"93","Delftia",0.0652402845958651,4.66683680524776e-08,0.00144269490955823,0.875151566415392,0.999699200175897
"94","Sphingopyxis",0.174897534177487,3.02676759225318e-07,0.00144269497985379,0.673728991225985,0.999699200175897
"95","Lentimicrobium",0.0888747075991585,2.95412889570458e-07,0.00144269500385744,0.857180502717033,0.999699200175897
"96","ASV_461",0.374519828031252,6.41403689514055e-07,0.00144269509032293,0.268402244274056,0.999699200175897
"97","ASV_472",0.110560010252605,-2.17410371578493e-07,0.00144269489758291,0.850280189051988,0.999699200175897
"98","Amnipila",0.0463606810714525,3.77743515779741e-07,0.00144269500837179,0.864544893006987,0.999699200175897
"99","Bulleidia",0.203525820713076,-3.00862142470272e-08,0.00144269486344592,0.86041863929715,0.999699200175897
"100","Anaeroglobus",0.0667700002339675,1.44435521488765e-07,0.00144269489541195,0.821606507248183,0.999699200175897
"101","ASV_508",0.0541771203324863,2.82914131689019e-07,0.00144269504133518,0.796801630036119,0.999699200175897
"102","ASV_525",0.0734585485566778,-8.68747003873675e-08,0.00144269487421528,0.806737252865568,0.999699200175897
"103","Sneathia",0.0825348471715735,3.25892847391494e-07,0.00144269503809402,0.737068724793935,0.999699200175897
"104","ASV_540",0.385964527480098,-8.65891202180895e-07,0.00144269508295719,0.257774784303497,0.999699200175897
"105","Centipeda",0.363393682600326,2.641783304781e-07,0.00144269476119814,0.449633111695309,0.999699200175897
"106","ASV_561",0.100865545103012,-5.22105193714633e-07,0.00144269506925202,0.70368549873595,0.999699200175897
"107","Carnobacterium",0,-3.57668600949415e-07,0.00144269506015119,1,NA
"108","ASV_586",0,2.82701344857892e-07,0.001442694984168,1,NA
"109","ASV_591",0.0445200406226161,-1.33517372554256e-07,0.00144269489214779,0.820648499655558,0.999699200175897
"110","ASV_596",0.0901502996015183,1.56240861914104e-07,0.00144269495583538,0.858799717909379,0.999699200175897
"111","Johnsonella",0.401724834507544,4.07822287011247e-07,0.0014426945310438,0.418788451162105,0.999699200175897
"112","ASV_639",0.14739333282543,2.0279710871305e-07,0.00144269491429953,0.75635260760147,0.999699200175897
"113","ASV_644",0.297376826475211,-1.64769166289689e-07,0.00144269489208986,0.715491795716215,0.999699200175897
"114","ASV_653",0.0414400953218422,-3.55229732623378e-07,0.00144269505870533,0.935938328560156,0.999699200175897
"115","Pantoea",0.0559543870531947,-6.38215582607021e-08,0.00144269487951858,0.94586520928832,0.999699200175897
"116","Rodentibacter",0.297285936629463,2.57209827442542e-07,0.00144269496234766,0.919704483265931,0.999699200175897
"117","ASV_682",0.0864192893896088,1.69587045115436e-09,0.00144269480566217,0.965613027415282,0.999699200175897
"118","ASV_689",0.155920751914482,-1.97825580092985e-07,0.0014426948986757,0.881864131230158,0.999699200175897
"119","Shuttleworthia",0.428483871540895,-7.21132452161416e-07,0.00144269504749152,0.50422904959592,0.999699200175897
"120","Family_XIII_UCG-001",0.0919238711006955,2.201934849163e-07,0.00144269486685156,0.986108745641214,0.999699200175897
"121","Alysiella",0.33774639897266,-2.42264654637808e-07,0.0014426949361589,0.905451112909821,0.999699200175897
"122","ASV_767",0.419930622985699,-3.57218486002164e-07,0.00144269505986596,0.416730503760629,0.999699200175897
"123","ASV_817",0.118635299255786,9.9453308237511e-08,0.00144269490876472,0.823152565482188,0.999699200175897
"124","ASV_821",0.0942836785683976,3.30561125294083e-07,0.00144269504015167,0.715403762180756,0.999699200175897
"125","Lactobacillus",0.227322769523991,-6.12455456937154e-08,0.00144269477077241,0.892435473948085,0.999699200175897
"126","ASV_854",0.0770617654596544,2.33864752839384e-07,0.00144269497006866,0.964442836233572,0.999699200175897
"127","ASV_860",0.122385052936365,1.62750915243647e-07,0.00144269492045695,0.86801379166315,0.999699200175897
"128","ASV_894",0.115513871969557,3.27642394059368e-07,0.00144269504874259,0.679586299700889,0.999699200175897
"129","Olsenella",0.0519890227228989,3.26802057693834e-08,0.00144269488731694,0.935733834083194,0.999699200175897
"130","Scardovia",0.176959251944073,-1.85608120050889e-07,0.00144269491732565,0.866497070555583,0.999699200175897
"131","Acinetobacter",0.33915294318035,-8.49906770686777e-08,0.0014426948245101,0.419998908624081,0.999699200175897
"132","Prevotellaceae_YAB2003_group",0.0739067175582529,-4.50541185370523e-07,0.00144269499933022,0.931126282466582,0.999699200175897
"133","ASV_964",0.0491519982166518,4.10218740593545e-07,0.0014426950511668,0.808776977856845,0.999699200175897
"134","Mobiluncus",0.0722956086791448,2.96575271453022e-07,0.00144269503402803,0.75692790386025,0.999699200175897
"135","ASV_1004",0.0745204407750615,-2.04337288971703e-08,0.00144269487110557,0.986293655946118,0.999699200175897
"136","ASV_1054",0.206740245096404,-2.64656147869129e-07,0.00144269491923741,0.748365085943769,0.999699200175897
"137","ASV_1121",0.0533611119778945,-1.07054849729172e-07,0.00144269488063401,0.996869231994603,0.999699200175897
"138","ASV_1135",0.0942925529257602,3.3045783498648e-07,0.00144269504016473,0.715286935102476,0.999699200175897
"139","ASV_1235",0.0346594749692546,-3.11673514288864e-07,0.00144269502445082,0.924177015693259,0.999699200175897
"140","ASV_1272",0.173532606866933,-3.94561719578213e-07,0.00144269497792612,0.620793656147585,0.999699200175897
"141","ASV_1306",0.0393067993340456,-8.47282273687152e-08,0.00144269488253561,0.98441564875872,0.999699200175897
"142","ASV_1325",0.0352257720957625,-2.83470361271115e-07,0.00144269489288236,0.952498616567459,0.999699200175897
"143","ASV_1343",0.0168051491744867,-4.62680406832658e-09,0.00144269489628716,0.969420917709911,0.999699200175897
"144","ASV_1398",0.0584008426993214,-3.45516007578147e-07,0.00144269504882443,0.850232052696562,0.999699200175897
"145","ASV_1415",0.180011173226422,-3.61954566681368e-07,0.00144269505086315,0.681528516003649,0.999699200175897
"146","Desulfobulbus",0.0339463587529154,3.04921082947001e-07,0.00144269502301777,0.84914531909167,0.999699200175897
"147","Brevundimonas",0.0387841401895573,-5.81421103310078e-08,0.00144269502791876,0.920139758742045,0.999699200175897
"148","Weissella",0.0130443465248241,2.75059529595077e-07,0.00144269498491029,0.971803638026148,0.999699200175897
"149","Leuconostoc",0.0920955678105684,-3.36328001956208e-07,0.00144269504192569,0.806335961477818,0.999699200175897
"150","ASV_1895",0.0186021492405103,-2.11094988622169e-07,0.00144269493669472,0.941990756421174,0.999699200175897
"151","Helicobacter",0.0774106281369079,2.30358997048153e-07,0.00144269495494392,0.90038586832716,0.999699200175897
"152","Fretibacterium",0.0516361830138821,-3.80264368688346e-08,0.00144269487668507,0.97074126010247,0.999699200175897
