taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Neisseria,7,FALSE,FALSE,FALSE,FALSE
Streptococcus,24,FALSE,FALSE,FALSE,FALSE
Haemophilus,9,FALSE,FALSE,FALSE,FALSE
Prevotella,8,FALSE,FALSE,FALSE,FALSE
Moraxella,40,FALSE,FALSE,TRUE,TRUE
Veillonella,29,FALSE,FALSE,FALSE,FALSE
Fusobacterium,13,FALSE,FALSE,FALSE,FALSE
Porphyromonas,3,FALSE,FALSE,FALSE,FALSE
Lautropia,48,TRUE,TRUE,TRUE,TRUE
Actinobacillus,3,FALSE,FALSE,FALSE,FALSE
Gemella,8,FALSE,FALSE,FALSE,FALSE
Alloprevotella,12,FALSE,FALSE,FALSE,FALSE
Leptotrichia,7,FALSE,FALSE,FALSE,FALSE
Rothia,33,FALSE,FALSE,FALSE,TRUE
Aggregatibacter,49,TRUE,TRUE,TRUE,TRUE
Granulicatella,14,FALSE,FALSE,FALSE,FALSE
ASV_52,4,FALSE,FALSE,FALSE,FALSE
Actinomyces,17,FALSE,FALSE,FALSE,FALSE
ASV_62,40,FALSE,FALSE,TRUE,TRUE
Campylobacter,5,FALSE,FALSE,FALSE,FALSE
Bergeyella,7,FALSE,FALSE,FALSE,FALSE
ASV_68,7,FALSE,FALSE,FALSE,FALSE
ASV_77,1,FALSE,FALSE,FALSE,FALSE
Corynebacterium,6,FALSE,FALSE,FALSE,FALSE
Streptobacillus,29,FALSE,FALSE,FALSE,FALSE
Oribacterium,39,FALSE,FALSE,TRUE,TRUE
Stomatobaculum,8,FALSE,FALSE,FALSE,FALSE
Lachnoanaerobaculum,7,FALSE,FALSE,FALSE,FALSE
Mannheimia,8,FALSE,FALSE,FALSE,FALSE
TM7x,5,FALSE,FALSE,FALSE,FALSE
Solobacterium,12,FALSE,FALSE,FALSE,FALSE
Peptostreptococcus,17,FALSE,FALSE,FALSE,FALSE
Abiotrophia,6,FALSE,FALSE,FALSE,FALSE
ASV_180,7,FALSE,FALSE,FALSE,FALSE
Treponema,27,FALSE,FALSE,FALSE,FALSE
ASV_205,31,FALSE,FALSE,FALSE,TRUE
ASV_209,31,FALSE,FALSE,FALSE,TRUE
F0058,15,FALSE,FALSE,FALSE,FALSE
Conchiformibius,8,FALSE,FALSE,FALSE,FALSE
Catonella,6,FALSE,FALSE,FALSE,FALSE
Candidatus_Saccharimonas,10,FALSE,FALSE,FALSE,FALSE
Mogibacterium,8,FALSE,FALSE,FALSE,FALSE
Atopobium,18,FALSE,FALSE,FALSE,FALSE
Selenomonas,11,FALSE,FALSE,FALSE,FALSE
Cardiobacterium,5,FALSE,FALSE,FALSE,FALSE
Capnocytophaga,8,FALSE,FALSE,FALSE,FALSE
Kingella,8,FALSE,FALSE,FALSE,FALSE
Butyrivibrio,15,FALSE,FALSE,FALSE,FALSE
Mycoplasma,9,FALSE,FALSE,FALSE,FALSE
Tannerella,5,FALSE,FALSE,FALSE,FALSE
Parvimonas,8,FALSE,FALSE,FALSE,FALSE
ASV_331,12,FALSE,FALSE,FALSE,FALSE
