taxa_id,x,y,zero_ind
Neisseria,0.23983257184243478,7,No
Streptococcus,-0.1337982177453063,24,No
Haemophilus,0.40347945760676696,9,No
Prevotella,-0.016076302734826037,8,No
Moraxella,-0.11777330586646036,40,No
Veillonella,-0.3574153997563189,29,No
Fusobacterium,0.34062869180720384,13,No
Porphyromonas,0.13240958827685753,3,No
Lautropia,-0.29077577181096664,48,No
Actinobacillus,0.037009119159501204,3,No
Gemella,-0.040987302017865566,8,No
Alloprevotella,0.37294294715238935,12,No
Leptotrichia,0.4395887758772139,7,No
Rothia,-0.26445746109247914,33,No
Aggregatibacter,0.14700412479768335,49,No
Granulicatella,-0.12658895466173609,14,No
ASV_52,0.10983746239338486,4,No
Actinomyces,-0.14036843934395302,17,No
ASV_62,-0.36372376190230765,40,No
Campylobacter,0.025189995515517677,5,No
Bergeyella,-0.03952104425939761,7,No
ASV_68,0.005730652934126303,7,No
ASV_77,-0.028947639086108666,1,No
Corynebacterium,-0.25433541054922065,6,No
Streptobacillus,-0.44780796621825986,29,No
Oribacterium,0.16737086437225326,39,No
Stomatobaculum,-0.2945844082914416,8,No
Lachnoanaerobaculum,0.13467177000887606,7,No
Mannheimia,-0.07691223850771052,8,No
TM7x,-0.0051446789701556795,5,No
Solobacterium,0.08468138657877691,12,No
Peptostreptococcus,0.19206703987506488,17,No
Abiotrophia,0.0010220827929245696,6,No
ASV_180,0.05538353022754259,7,No
Treponema,-0.3059039121984795,27,No
ASV_205,-0.3202416451975324,31,No
ASV_209,-0.3346785398999263,31,No
F0058,0.2523894798033034,15,No
Conchiformibius,0.008645939841987846,8,No
Catonella,-0.05408426481067529,6,No
Candidatus_Saccharimonas,0.007930802756552106,10,No
Mogibacterium,-0.01868791314529362,8,No
Atopobium,0.3427227752411352,18,No
Selenomonas,0.044886471117751604,11,No
Cardiobacterium,0.12675265606865488,5,No
Capnocytophaga,0.22475549744519954,8,No
Kingella,0.12698864353140307,8,No
Butyrivibrio,-0.19998087436556164,15,No
Mycoplasma,0.08070698139287007,9,No
Tannerella,-0.10268277566484321,5,No
Parvimonas,0.09166376178396413,8,No
ASV_331,0.13918515789548844,12,No
