"","taxon","stat","p","p.adj"
"1","Neisseria",5820,0.0758281482776445,0.286416075850654
"2","Streptococcus",8277,0.00244987607357078,0.0338528330166144
"3","Haemophilus",5344,0.00679631225636091,0.0688692975311239
"4","Prevotella",7064,0.511584020561983,0.726736178742256
"5","Moraxella",4793.5,9.45614150343976e-06,0.000718666754261422
"6","Veillonella",8240,0.00310569237702604,0.0393387701089965
"7","Fusobacterium",5503.5,0.0166124418666601,0.126254558186617
"8","Porphyromonas",6566,0.752009357921581,0.879272480031386
"9","Lautropia",8550.5,0.000355337027523775,0.00771588974051625
"10","Actinobacillus",5804,0.0555432694584466,0.241216484505254
"11","Gemella",7022,0.565827608274268,0.743334846633795
"12","Alloprevotella",5671,0.0386881234187637,0.209479241741837
"13","Leptotrichia",6004,0.156678710336838,0.324944644931735
"14","Rothia",8325,0.00176947302192241,0.029884433259134
"15","Aggregatibacter",4380,9.12181283356411e-07,0.000138651555070175
"16","Granulicatella",7586,0.0934154744443746,0.303537175396128
"17","Escherichia/Shigella",6612,0.158196735032555,0.324944644931735
"18","ASV_52",5998,0.111231616120749,0.319003880195357
"19","Actinomyces",7532,0.114954328337534,0.319281302228338
"20","Pseudomonas",6784,0.71406115161336,0.847185159462238
"21","ASV_62",5101.5,0.000137243415396194,0.0041721998280443
"22","Campylobacter",6692.5,0.945246362348876,1
"23","Bergeyella",5973.5,0.116121512369105,0.319281302228338
"24","ASV_68",6424.5,0.367773265385066,0.570423840189082
"25","ASV_77",7200.5,0.325311013871234,0.526034830940719
"26","Enterococcus",6902,0.082819561954536,0.286416075850654
"27","Dolosigranulum",6386,0.105486814964497,0.308346074511606
"28","Corynebacterium",6198.5,0.24413204888561,0.44708519795919
"29","Streptobacillus",5278,0.000293944176615312,0.0074465858075879
"30","Oribacterium",8086,0.0045974023170621,0.0537542424764184
"31","ASV_112",6333,0.104578852960647,0.308346074511606
"32","Stomatobaculum",5913,0.0761516812041064,0.286416075850654
"33","Lachnoanaerobaculum",7091,0.460236054949407,0.666246479545808
"34","ASV_120",6672,0.665989801474622,0.816374595355988
"35","ASV_126",6669,0.649115606631821,0.816374595355988
"36","Mannheimia",6239,0.142322632732871,0.324944644931735
"37","TM7x",6706,0.962133713568342,1
"38","Tropheryma",6906,0.241259990910495,0.44708519795919
"39","Solobacterium",6039,0.123757783023715,0.324330741717322
"40","Peptostreptococcus",7504,0.0868128847713957,0.293234633005603
"41","Abiotrophia",7073.5,0.386142251802732,0.588870564881904
"42","Oceanivirga",6673,0.71899266822782,0.847185159462238
