"","taxon","stat","p","p.adj"
"1","Neisseria",5149,0.00201402578162851,0.0304117893025904
"2","Streptococcus",8709,0.000106789629000594,0.00416283093066329
"3","Haemophilus",5824,0.0771285897182868,0.589772663058355
"4","Prevotella",6993,0.604832119920498,0.993310576787598
"5","Moraxella",4717,8.37822558077376e-05,0.00416283093066329
"6","Veillonella",8006,0.0124444590759587,0.144547178497674
"7","Fusobacterium",5922,0.115055908107442,0.688921109043874
"8","Porphyromonas",6550,0.728397037766259,0.993310576787598
"9","Lautropia",8705,0.000110273667037438,0.00416283093066329
"10","Actinobacillus",5788,0.0660586943717635,0.554159047229793
"11","Gemella",7492,0.135253748448671,0.701618384049516
"12","Alloprevotella",5262,0.0041427235785205,0.0568682963960542
"13","Leptotrichia",6050,0.185021312052866,0.76305755481237
"14","Rothia",7947,0.01713225645457,0.179937468930654
"15","Aggregatibacter",4205,8.01568675890772e-07,0.000121036870059507
"16","Granulicatella",7102,0.464956071193283,0.993310576787598
"17","Escherichia/Shigella",6600,0.803020997973905,0.993310576787598
"18","ASV_52",5865,0.0915296501580871,0.628226235175962
"19","Actinomyces",7671,0.0651985395456179,0.554159047229793
"20","Pseudomonas",6829,0.844127383232463,0.993310576787598
"21","ASV_62",4785,0.000144532150279612,0.00436487093844427
"22","Campylobacter",6034,0.174859360221318,0.76305755481237
"23","Bergeyella",6050,0.185021312052866,0.76305755481237
"24","ASV_68",6072,0.199698367970917,0.793538251673908
"25","ASV_77",7048,0.531928063507643,0.993310576787598
"26","Enterococcus",7017,0.572470014130275,0.993310576787598
"27","Dolosigranulum",6643,0.868696316371853,0.993310576787598
"28","Streptobacillus",4851,0.00024145268690781,0.0060765592871799
"29","Oribacterium",8445,0.0007846955472886,0.016579470174271
"30","ASV_112",6582,0.775909047203143,0.993310576787598
"31","Stomatobaculum",5575,0.0241499344550834,0.22791500641985
"32","Lachnoanaerobaculum",7161,0.397476214749417,0.993310576787598
"33","ASV_120",6647,0.874859382636314,0.993310576787598
"34","ASV_126",6641,0.865617748255987,0.993310576787598
"35","Mannheimia",6036,0.176106330885711,0.76305755481237
"36","TM7x",6816,0.864079225510382,0.993310576787598
"37","Tropheryma",6856,0.803020997973905,0.993310576787598
"38","Solobacterium",5517,0.0178745830063563,0.179937468930654
"39","Peptostreptococcus",7605,0.0863868847172926,0.621162837729104
"40","Abiotrophia",7003,0.591248194433602,0.993310576787598
"41","Oceanivirga",6810,0.873317889164571,0.993310576787598
"42","Corynebacterium",5827,0.0781155845110404,0.589772663058355
"43","ASV_157",6336,0.443720725517094,0.993310576787598
"44","ASV_163",7459,0.152963886410988,0.745082156389008
"45","ASV_180",7507,0.127746960617407,0.688921109043874
"46","ASV_182",7013,0.57780623476172,0.993310576787598
"47","ASV_187",6040,0.178620142520786,0.76305755481237
"48","Eikenella",6921,0.706467606198081,0.993310576787598
"49","ASV_203",6850,0.812113032453977,0.993310576787598
"50","ASV_205",5027,0.00087838252578919,0.016579470174271
