"","taxon","stat","p","p.adj"
"1","Neisseria",6206,0.307607255996686,0.768573926632471
"2","Streptococcus",8326,0.00177606720429253,0.029995801672496
"3","Haemophilus",5639,0.0332107013695899,0.292338195429237
"4","Prevotella",7257.5,0.300701956906304,0.768573926632471
"5","Moraxella",4643.5,4.53906389734877e-05,0.00344968856198506
"6","Veillonella",8428.5,0.000881468316909226,0.0223305306950337
"7","Fusobacterium",5739.5,0.053246950719864,0.38540650044854
"8","Porphyromonas",6680.5,0.926737561051138,0.964822666299815
"9","Lautropia",8605,0.000241429354008465,0.00917431545232166
"10","Actinobacillus",5979.5,0.143334206417196,0.646254627407361
"11","Gemella",7389,0.196289663316352,0.768573926632471
"12","Alloprevotella",5776.5,0.0628110362064686,0.415099021886227
"13","Leptotrichia",6098,0.218116092020914,0.768573926632471
"14","Rothia",8377.5,0.00125494575629512,0.0256690747658657
"15","Aggregatibacter",3965,6.48254124082303e-08,9.853462686051e-06
"16","Granulicatella",7786.5,0.0384655520301627,0.292338195429237
"17","Escherichia/Shigella",6906.5,0.727517224802831,0.900800744645793
"18","ASV_52",6012.5,0.161812097386101,0.702726822933922
"19","Actinomyces",7618.5,0.0816480237105959,0.467162716719605
"20","Pseudomonas",7120.5,0.442905155000669,0.815018928339817
"21","ASV_62",4835,0.000212887849180422,0.00917431545232166
"22","Campylobacter",6855,0.804532820373096,0.926431732550838
"23","Bergeyella",5926,0.116844527847556,0.572915104284789
"24","ASV_68",6280.5,0.381675565480855,0.790606018703898
"25","ASV_77",7060,0.516607760985526,0.827249621850615
"26","Enterococcus",7332,0.237476851552148,0.768573926632471
"27","Dolosigranulum",6871,0.780310894690058,0.926431732550838
"28","Corynebacterium",5776.5,0.0627688340143563,0.415099021886227
"29","Streptobacillus",5021,0.000839702042586049,0.0223305306950337
"30","Oribacterium",8268.5,0.0025855890339066,0.0393009533153802
"31","ASV_112",6845,0.819624281499668,0.931368847512834
"32","Stomatobaculum",5621.5,0.0304604692102185,0.292338195429237
"33","Lachnoanaerobaculum",7208,0.348169634690015,0.790606018703898
"34","ASV_120",6900,0.737097807451058,0.900800744645793
"35","ASV_126",6910,0.722383851347931,0.900800744645793
"36","Mannheimia",6170,0.275243988228548,0.768573926632471
"37","TM7x",6731.5,0.995316291205394,0.996876433307812
"38","Tropheryma",7158.5,0.399971126887962,0.790606018703898
"39","Solobacterium",5661.5,0.0369910876890725,0.292338195429237
"40","Peptostreptococcus",7614.5,0.0829828509962457,0.467162716719605
"41","Abiotrophia",7067,0.507720415239571,0.827249621850615
"42","Oceanivirga",7152,0.407128842826672,0.793379283457104
"43","ASV_157",6420,0.547265948439515,0.840246708715215
"44","ASV_163",7797.5,0.0364058980099978,0.292338195429237
"45","ASV_180",7837.5,0.0299658233773589,0.292338195429237
"46","ASV_182",7276.5,0.283456118815257,0.768573926632471
"47","ASV_187",6163,0.269198849009053,0.768573926632471
"48","Treponema",5452.5,0.0125839582983509,0.147135512411487
"49","Eikenella",7197,0.359146621165955,0.790606018703898
"50","ASV_203",7112.5,0.452254923447421,0.815018928339817
"51","ASV_205",5090,0.00135100393504556,0.0256690747658657
"52","ASV_209",5361,0.00748519827941563,0.0948125115392646
"53","F0058",7615.5,0.0825915354552201,0.467162716719605
"54","ASV_214",6911,0.720916916270333,0.900800744645793
"55","ASV_216",6235,0.335033644133132,0.790606018703898
"56","Conchiformibius",6212.5,0.313497259547455,0.768573926632471
"57","Hydrogenophaga",7040,0.542040655264398,0.840246708715215
"58","Catonella",6470.5,0.615025246252054,0.874585141626726
"59","Candidatus_Saccharimonas",7106.5,0.459466810091774,0.815018928339817
"60","ASV_239",7049.5,0.529834282398427,0.838904280464176
