feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Moraxella	trial_arm	Placebo	0.75368214457455	0.420194271336223	331	136	0.0737870103784816	0.85772900351087
Porphyromonas	trial_arm	Placebo	-0.73181543225376	0.518609685777622	331	262	0.159157025886307	0.85772900351087
Alloprevotella	trial_arm	Placebo	-0.71205254407571	0.602070561990465	331	190	0.237792779199232	0.85772900351087
Granulicatella	trial_arm	Placebo	-0.555609168391111	0.472868439148424	331	318	0.240853906119555	0.85772900351087
Escherichia.Shigella	trial_arm	Placebo	-0.0669089948185985	0.0496805163561388	331	2	0.178976344867812	0.85772900351087
ASV_62	trial_arm	Placebo	0.266507394314062	0.233284712685342	331	165	0.254113259276226	0.85772900351087
ASV_120	trial_arm	Placebo	-0.135628985545078	0.106689527460436	331	10	0.20453800106308	0.85772900351087
Tropheryma	trial_arm	Placebo	0.127930073054657	0.102109521150532	331	21	0.21114234578446	0.85772900351087
Oceanivirga	trial_arm	Placebo	0.139778287202998	0.11913822694614	331	33	0.241546408540491	0.85772900351087
ASV_180	trial_arm	Placebo	0.216506829189494	0.114349760733251	331	23	0.0591854472774762	0.85772900351087
ASV_187	trial_arm	Placebo	-0.256882869571666	0.124035754057378	331	42	0.0391345135928432	0.85772900351087
Hydrogenophaga	trial_arm	Placebo	-0.0522224670020429	0.0381838835805363	331	2	0.172352875736902	0.85772900351087
ASV_242	trial_arm	Placebo	-0.071896120467505	0.0631568962153805	331	7	0.255792927037233	0.85772900351087
Mogibacterium	trial_arm	Placebo	0.12852244968088	0.108621524825063	331	63	0.237578836216929	0.85772900351087
Cardiobacterium	trial_arm	Placebo	-0.160293567511237	0.110934642964688	331	39	0.149427336699676	0.85772900351087
ASV_269	trial_arm	Placebo	-0.0581444577914957	0.0415311611272259	331	2	0.162449596579426	0.85772900351087
ASV_280	trial_arm	Placebo	-0.105523258807886	0.0866552549560954	331	18	0.224196796179248	0.85772900351087
ASV_286	trial_arm	Placebo	-0.0484953623660903	0.0329005192910117	331	2	0.141437788887432	0.85772900351087
Butyrivibrio	trial_arm	Placebo	-0.098213764736692	0.0847571259969152	331	37	0.247391536805921	0.85772900351087
Mycoplasma	trial_arm	Placebo	-0.140390663255254	0.109871468327876	331	42	0.202230751097254	0.85772900351087
Parvimonas	trial_arm	Placebo	0.240270721358716	0.0927809628174932	331	39	0.0100342020885889	0.85772900351087
Filifactor	trial_arm	Placebo	0.137342492542428	0.0938884607285754	331	36	0.144469594821713	0.85772900351087
Peptococcus	trial_arm	Placebo	-0.117120876105686	0.0922379547976592	331	60	0.205064374904428	0.85772900351087
ASV_383	trial_arm	Placebo	-0.134184733809782	0.0854908278701655	331	22	0.117473972893691	0.85772900351087
ASV_422	trial_arm	Placebo	0.0725896832729012	0.0588546204929567	331	10	0.218317192104863	0.85772900351087
Peptoanaerobacter	trial_arm	Placebo	-0.141967722342778	0.078991512764886	331	21	0.0732124394594512	0.85772900351087
ASV_472	trial_arm	Placebo	0.0866026433500755	0.0649428581617353	331	14	0.18328350968125	0.85772900351087
Rikenellaceae_RC9_gut_group	trial_arm	Placebo	0.0753010517677056	0.064513825813441	331	13	0.243971653239634	0.85772900351087
ASV_525	trial_arm	Placebo	-0.0528155359375624	0.0348833206284144	331	2	0.130969992358295	0.85772900351087
ASV_529	trial_arm	Placebo	0.0753500894971316	0.0492641003318029	331	5	0.127098160893148	0.85772900351087
Defluviitaleaceae_UCG.011	trial_arm	Placebo	0.0794698481225945	0.0671375717569383	331	16	0.237391657430639	0.85772900351087
Johnsonella	trial_arm	Placebo	-0.149818076029497	0.0993320165124589	331	17	0.132448765886982	0.85772900351087
Alloscardovia	trial_arm	Placebo	-0.05950570978726	0.0406408474593828	331	2	0.1440982995971	0.85772900351087
ASV_653	trial_arm	Placebo	-0.0451952991929639	0.0295473032442358	331	2	0.127078797605466	0.85772900351087
ASV_682	trial_arm	Placebo	0.0898087390462663	0.035813789438687	331	7	0.0126346266179829	0.85772900351087
ASV_689	trial_arm	Placebo	0.0470391243237376	0.037914443578139	331	6	0.215613504867189	0.85772900351087
ASV_709	trial_arm	Placebo	0.0518568093597167	0.0387237820374566	331	2	0.181447494121198	0.85772900351087
ASV_844	trial_arm	Placebo	-0.0597478064144805	0.0403863429650333	331	5	0.139988629834872	0.85772900351087
ASV_897	trial_arm	Placebo	-0.0573327231509157	0.0387721850225497	331	5	0.140175253383577	0.85772900351087
Scardovia	trial_arm	Placebo	0.0347318644781501	0.0260885169332701	331	2	0.184009258873266	0.85772900351087
ASV_1004	trial_arm	Placebo	-0.0371828057985121	0.0329061098550544	331	4	0.259313419666077	0.85772900351087
Desulfomicrobium	trial_arm	Placebo	-0.0487359650291425	0.026654072430291	331	3	0.0683854814774545	0.85772900351087
ASV_1095	trial_arm	Placebo	-0.0308733021765615	0.0248954773780275	331	3	0.215815884001343	0.85772900351087
ASV_1121	trial_arm	Placebo	-0.0311526513761995	0.0257852217712628	331	5	0.227853750321926	0.85772900351087
ASV_1212	trial_arm	Placebo	-0.0321135948669175	0.0210005663140621	331	2	0.127181297309166	0.85772900351087
ASV_1258	trial_arm	Placebo	-0.0389944805487333	0.0250916367365301	331	2	0.121126067856948	0.85772900351087
ASV_1272	trial_arm	Placebo	-0.0259452966249755	0.0170576660131378	331	2	0.129211686957192	0.85772900351087
Desulfobulbus	trial_arm	Placebo	-0.0571327906913276	0.0295631201195688	331	3	0.0541473301490161	0.85772900351087
ASV_1504	trial_arm	Placebo	-0.0378106024118982	0.0246438138402487	331	2	0.125920924136632	0.85772900351087
Erysipelotrichaceae_UCG.006	trial_arm	Placebo	-0.0481755585147118	0.030400886441509	331	2	0.114000642703896	0.85772900351087
DMI	trial_arm	Placebo	-0.0332253116766367	0.021670621171549	331	2	0.126188565775848	0.85772900351087
ASV_1888	trial_arm	Placebo	-0.0300174269455588	0.0193603096812941	331	2	0.121992016487123	0.85772900351087
Neisseria	trial_arm	Placebo	-1.2478864349423	1.12174311199817	331	303	0.266755639610249	0.862727934073323
ASV_1636	trial_arm	Placebo	0.0236244490838412	0.0216449555025221	331	2	0.27587230450019	0.862727934073323
ASV_1738	trial_arm	Placebo	0.0193422569444476	0.0175914672383605	331	2	0.272343070639827	0.862727934073323
ASV_68	trial_arm	Placebo	0.24438262295353	0.229707689896977	331	69	0.288160901644962	0.885065626480954
ASV_1628	trial_arm	Placebo	0.0200917368423758	0.0192172714190571	331	2	0.296557560576454	0.894875445950002
ASV_239	trial_arm	Placebo	0.114462586141632	0.113576966019109	331	31	0.314292289792269	0.916241929563903
ASV_1939	trial_arm	Placebo	-0.0180061485159116	0.0177926391560722	331	3	0.312281790364095	0.916241929563903
Fusobacterium	trial_arm	Placebo	0.659264361925193	0.749108091605866	331	180	0.379466085246257	0.922683897235218
Dolosigranulum	trial_arm	Placebo	-0.0902694530919264	0.0959640224525131	331	19	0.347569602149239	0.922683897235218
Oribacterium	trial_arm	Placebo	-0.175255092852995	0.185694057658049	331	119	0.345972552196507	0.922683897235218
ASV_157	trial_arm	Placebo	-0.139854314591221	0.141852210494492	331	51	0.324899002657976	0.922683897235218
