feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Parvimonas	trial_arm	Placebo	0.117010946195891	0.0383176864495415	331	40	0.00244476420476526	0.420499443219624
Neisseria	trial_arm	Placebo	-0.0763365781336755	0.066377366004483	331	326	0.250962948811533	0.814175716760177
Streptococcus	trial_arm	Placebo	-0.0606136355704962	0.0480271728872849	331	330	0.207817683197535	0.814175716760177
Moraxella	trial_arm	Placebo	0.16587924434378	0.130996634820557	331	173	0.206306432092395	0.814175716760177
Porphyromonas	trial_arm	Placebo	-0.120402510755558	0.0854330656177784	331	312	0.159685126736627	0.814175716760177
ASV_62	trial_arm	Placebo	0.126547579759026	0.107527878757747	331	165	0.240093520887561	0.814175716760177
ASV_68	trial_arm	Placebo	0.0583240293366342	0.0480218317049918	331	69	0.225415810190319	0.814175716760177
Oribacterium	trial_arm	Placebo	-0.098320685906588	0.0837095121840156	331	146	0.241025766636087	0.814175716760177
Tropheryma	trial_arm	Placebo	0.0495905727593487	0.0374971225557443	331	21	0.186914729311644	0.814175716760177
Oceanivirga	trial_arm	Placebo	0.0588203435590306	0.0405506117768131	331	33	0.147860292132999	0.814175716760177
ASV_157	trial_arm	Placebo	-0.069761371942754	0.0590013123462269	331	51	0.237912793928314	0.814175716760177
ASV_180	trial_arm	Placebo	0.0402702318761465	0.0206109889733627	331	23	0.0515691879125833	0.814175716760177
ASV_187	trial_arm	Placebo	-0.0786151068198806	0.0451199448284907	331	42	0.0823802156652098	0.814175716760177
Hydrogenophaga	trial_arm	Placebo	-0.0142415920901528	0.0124165540135718	331	2	0.252221562748706	0.814175716760177
Treponema	trial_arm	Placebo	0.126261828890115	0.106565237324502	331	127	0.236939321905105	0.814175716760177
Mogibacterium	trial_arm	Placebo	0.0577117777082829	0.0506775194070202	331	63	0.255613306424707	0.814175716760177
Cardiobacterium	trial_arm	Placebo	-0.0535421489654554	0.0415250890223652	331	54	0.198167313333254	0.814175716760177
ASV_269	trial_arm	Placebo	-0.0120009725174802	0.0102253398186147	331	2	0.241384075407572	0.814175716760177
ASV_280	trial_arm	Placebo	-0.0408450777654547	0.0303630510574675	331	18	0.179479674884188	0.814175716760177
ASV_286	trial_arm	Placebo	-0.0066812932730389	0.00512440234886402	331	2	0.193206825818588	0.814175716760177
Butyrivibrio	trial_arm	Placebo	-0.0479218682677684	0.0379334954683085	331	37	0.207371312310839	0.814175716760177
Filifactor	trial_arm	Placebo	0.0581874323503856	0.0364057858520088	331	36	0.110935748973893	0.814175716760177
ASV_383	trial_arm	Placebo	-0.0568304999237221	0.0369189735993976	331	22	0.124684847198507	0.814175716760177
ASV_422	trial_arm	Placebo	0.0258082314008356	0.0167743077890452	331	10	0.124873624770302	0.814175716760177
Peptoanaerobacter	trial_arm	Placebo	-0.0541466956396417	0.0324022160750666	331	21	0.0956567649785831	0.814175716760177
