"","x"
"Neisseria",0.988399367564153
"Haemophilus",0.988399367564153
"Streptococcus",0.988399367564153
"Prevotella",0.988399367564153
"Moraxella",0.988399367564153
"Veillonella",0.988399367564153
"Fusobacterium",0.988399367564153
"Porphyromonas",0.988399367564153
"Lautropia",0.988399367564153
"Actinobacillus",0.988399367564153
"Gemella",0.988399367564153
"Alloprevotella",0.988399367564153
"Leptotrichia",0.988399367564153
"Rothia",0.988399367564153
"Aggregatibacter",0.988399367564153
"Granulicatella",0.988399367564153
"Escherichia/Shigella",NA
"ASV_52",0.988399367564153
"Actinomyces",0.988399367564153
"ASV_62",0.988399367564153
"Campylobacter",0.988399367564153
"Bergeyella",0.988399367564153
"ASV_68",0.988399367564153
"ASV_77",0.988399367564153
"Dolosigranulum",0.988399367564153
"Corynebacterium",0.988399367564153
"Streptobacillus",0.988399367564153
"Oribacterium",0.988399367564153
"ASV_112",0.988399367564153
"Stomatobaculum",0.988399367564153
"Lachnoanaerobaculum",0.988399367564153
"ASV_120",0.988399367564153
"ASV_126",0.988399367564153
"Mannheimia",0.988399367564153
"TM7x",0.988399367564153
"Tropheryma",0.988399367564153
"Solobacterium",0.988399367564153
"Peptostreptococcus",0.988399367564153
"Abiotrophia",0.988399367564153
"Oceanivirga",0.988399367564153
"ASV_157",0.988399367564153
"ASV_163",0.988399367564153
"ASV_180",0.988399367564153
"ASV_182",0.988399367564153
"ASV_187",0.584345795614051
"Eikenella",0.988399367564153
"ASV_203",0.988399367564153
"ASV_205",0.988399367564153
"ASV_209",0.988399367564153
"ASV_212",0.988399367564153
"F0058",0.988399367564153
"ASV_214",0.988399367564153
"ASV_216",0.988399367564153
"Conchiformibius",0.988399367564153
"Hydrogenophaga",NA
"Treponema",0.988399367564153
"Catonella",0.988399367564153
"Bordetella",0.988399367564153
"Candidatus_Saccharimonas",0.988399367564153
"ASV_239",0.988399367564153
"ASV_242",0.988399367564153
"Mogibacterium",0.988399367564153
"Selenomonas",0.988399367564153
"ASV_260",0.988399367564153
"Cardiobacterium",0.988399367564153
"ASV_269",NA
"ASV_280",0.988399367564153
"ASV_283",0.988399367564153
"Comamonas",0.988399367564153
"Capnocytophaga",0.988399367564153
"ASV_286",NA
"Butyrivibrio",0.988399367564153
"Kingella",0.988399367564153
"ASV_307",0.988399367564153
"Mycoplasma",0.988399367564153
"Atopobium",0.988399367564153
"Tannerella",0.988399367564153
"Parvimonas",0.584345795614051
"ASV_329",0.988399367564153
"ASV_331",0.988399367564153
"Filifactor",0.988399367564153
"Dialister",0.988399367564153
"ASV_339",0.988399367564153
"Peptococcus",0.988399367564153
"Hyphomicrobium",0.988399367564153
"ASV_383",0.988399367564153
"ASV_409",0.988399367564153
"F0332",0.988399367564153
"ASV_422",0.988399367564153
"ASV_428",0.988399367564153
"Peptoanaerobacter",0.988399367564153
"Lentimicrobium",0.988399367564153
"Lactobacillus",0.988399367564153
"ASV_461",0.988399367564153
"ASV_472",0.988399367564153
"ASV_485",0.988399367564153
"Amnipila",0.988399367564153
"Rodentibacter",0.988399367564153
"Bulleidia",0.988399367564153
"Anaeroglobus",0.988399367564153
"Shuttleworthia",0.988399367564153
"ASV_508",0.988399367564153
"Rikenellaceae_RC9_gut_group",0.988399367564153
"ASV_525",NA
"Sneathia",0.988399367564153
"Alysiella",0.988399367564153
"ASV_529",0.988399367564153
"ASV_533",0.988399367564153
"ASV_540",0.988399367564153
"ASV_561",0.988399367564153
"Defluviitaleaceae_UCG-011",0.988399367564153
"ASV_591",0.988399367564153
"ASV_596",0.988399367564153
"ASV_613",0.988399367564153
"ASV_639",0.988399367564153
"ASV_644",0.988399367564153
"Alloscardovia",NA
"ASV_653",NA
"Centipeda",0.988399367564153
"ASV_682",NA
"ASV_689",0.988399367564153
"Bacillus",0.988399367564153
"Family_XIII_UCG-001",0.988399367564153
"ASV_709",NA
"Fretibacterium",0.988399367564153
"Johnsonella",0.988399367564153
"ASV_817",0.988399367564153
"ASV_821",0.988399367564153
"ASV_844",0.988399367564153
"ASV_854",0.988399367564153
"ASV_860",0.988399367564153
"ASV_861",0.988399367564153
"ASV_894",0.988399367564153
"ASV_897",0.988399367564153
"Scardovia",NA
"Acinetobacter",0.988399367564153
"ASV_934",0.988399367564153
"Olsenella",0.988399367564153
"ASV_1004",0.988399367564153
"Desulfomicrobium",NA
"ASV_1095",0.988399367564153
"ASV_1121",0.988399367564153
"ASV_1202",0.988399367564153
"ASV_1212",NA
"ASV_1230",0.988399367564153
"ASV_1234",0.988399367564153
"ASV_1258",NA
"ASV_1272",NA
"Bifidobacterium",0.988399367564153
"ASV_1325",0.988399367564153
"Pantoea",0.988399367564153
"ASV_1434",0.988399367564153
"ASV_1456",0.988399367564153
"Desulfobulbus",NA
"ASV_1504",NA
"Erysipelotrichaceae_UCG-006",NA
"ASV_1531",0.988399367564153
"Roseburia",0.988399367564153
"DMI",NA
"ASV_1628",NA
"ASV_1636",NA
"Phocaeicola",0.988399367564153
"Pseudomonas",0.988399367564153
"Pseudoramibacter",0.988399367564153
"ASV_1729",0.988399367564153
"ASV_1738",NA
"ASV_1788",0.988399367564153
"Prevotellaceae_YAB2003_group",0.988399367564153
"ASV_1888",NA
"ASV_1924",0.988399367564153
"ASV_1939",0.988399367564153
"Howardella",0.988399367564153
