"","taxon","stat","p","p.adj"
"1","Neisseria",14555,0.322889627661486,0.834541925100415
"2","Haemophilus",13735,0.962890949319888,0.998166725725743
"3","Streptococcus",13665,0.973881468300766,0.998166725725743
"4","Prevotella",13691.5,0.998166725725743,0.998166725725743
"5","Moraxella",12726,0.239066917967448,0.834541925100415
"6","Veillonella",13824,0.881730812888494,0.998166725725743
"7","Fusobacterium",13997,0.728120798837777,0.998166725725743
"8","Porphyromonas",15555,0.0325549730083366,0.789599166787031
"9","Lautropia",12912.5,0.368679085590795,0.880733371133566
"10","Actinobacillus",13525.5,0.838378418502228,0.998166725725743
"11","Gemella",14278,0.502647885895067,0.998166725725743
"12","Alloprevotella",14430,0.398056479678793,0.933928342160817
"13","Leptotrichia",12881,0.349447699458685,0.858642918669912
"14","Rothia",13098.5,0.493331557018538,0.998166725725743
"15","Aggregatibacter",13272,0.623692572807107,0.998166725725743
"16","Granulicatella",14205,0.557555683665651,0.998166725725743
"17","Escherichia/Shigella",13861,0.154165511084605,0.789599166787031
"18","ASV_52",13190,0.507697888443025,0.998166725725743
"19","Actinomyces",13326,0.670858299530523,0.998166725725743
"20","ASV_62",12716,0.229651986807934,0.834541925100415
"21","Campylobacter",12821,0.313987131779551,0.834541925100415
"22","Bergeyella",13864.5,0.833636841822442,0.998166725725743
"23","ASV_68",13050.5,0.29814829086676,0.834541925100415
"24","ASV_77",14042,0.652497607774193,0.998166725725743
"25","Dolosigranulum",14107,0.239792731055936,0.834541925100415
"26","Corynebacterium",13378,0.684478557916244,0.998166725725743
"27","Streptobacillus",13371,0.676645769087433,0.998166725725743
"28","Oribacterium",14600,0.252220236299308,0.834541925100415
"29","ASV_112",13886,0.667879508625137,0.998166725725743
"30","Stomatobaculum",13483.5,0.798303883791009,0.998166725725743
"31","Lachnoanaerobaculum",13108,0.488340057576789,0.998166725725743
"32","ASV_120",14035,0.187109028813603,0.789599166787031
"33","ASV_126",13861,0.312176888861108,0.834541925100415
"34","Mannheimia",13598.5,0.868237314662995,0.998166725725743
"35","TM7x",14051.5,0.625574314237181,0.998166725725743
"36","Tropheryma",13288,0.270224049366001,0.834541925100415
"37","Solobacterium",14215,0.499120714700223,0.998166725725743
"38","Peptostreptococcus",13532,0.830172637618555,0.998166725725743
"39","Abiotrophia",13768,0.909635077532981,0.998166725725743
"40","Oceanivirga",13263,0.341451626274275,0.851154778538772
"41","ASV_157",14240,0.318518077430556,0.834541925100415
"42","ASV_163",13369,0.424232043633338,0.947635214349794
"43","ASV_180",12961.5,0.0564334228114079,0.789599166787031
"44","ASV_182",13537,0.689239840468363,0.998166725725743
"45","ASV_187",14970,0.0112811621893755,0.646786632190862
"46","Eikenella",13634,0.871479605959511,0.998166725725743
"47","ASV_203",13541,0.588511520228425,0.998166725725743
"48","ASV_205",14024,0.591826475997786,0.998166725725743
"49","ASV_209",14092,0.55692874818021,0.998166725725743
"50","ASV_212",13613.5,0.575562209251762,0.998166725725743
"51","F0058",13621.5,0.88740964010939,0.998166725725743
"52","ASV_214",13790.5,0.695465820549032,0.998166725725743
"53","ASV_216",13717,0.959794266945274,0.998166725725743
"54","Conchiformibius",13721,0.959627173243328,0.998166725725743
"55","Hydrogenophaga",13861,0.154165511084605,0.789599166787031
"56","Treponema",12786.5,0.233814326429006,0.834541925100415
"57","Catonella",13410,0.692334472310595,0.998166725725743
"58","Bordetella",13612.5,0.570797657962669,0.998166725725743
"59","Candidatus_Saccharimonas",13886,0.764097050917347,0.998166725725743
"60","ASV_239",13296.5,0.366890644273576,0.880733371133566
"61","ASV_242",13947.5,0.243533190249683,0.834541925100415
"62","Mogibacterium",12981.5,0.232444670731026,0.834541925100415
"63","Selenomonas",14007,0.611083647717137,0.998166725725743
"64","ASV_260",13541,0.588511520228425,0.998166725725743
"65","Cardiobacterium",14269,0.304976692406869,0.834541925100415
"66","ASV_269",13861,0.154165511084605,0.789599166787031
"67","ASV_280",14047,0.302793206595852,0.834541925100415
"68","ASV_283",13699,0.990447503714572,0.998166725725743
"69","Comamonas",13445.5,0.602507908926032,0.998166725725743
"70","Capnocytophaga",13393,0.67091426069569,0.998166725725743
"71","ASV_286",13861,0.154165511084605,0.789599166787031
"72","Butyrivibrio",14306,0.199091711892422,0.815327962988012
"73","Kingella",13934,0.644204127211497,0.998166725725743
"74","ASV_307",13600,0.799321960866328,0.998166725725743
"75","Mycoplasma",14128,0.411914226675327,0.933928342160817
"76","Atopobium",12980,0.250943113932972,0.834541925100415
"77","Tannerella",13875,0.749071465865374,0.998166725725743
"78","Parvimonas",12209,0.00259193248418092,0.445812387279118
"79","ASV_329",13781.5,0.63617042729161,0.998166725725743
"80","ASV_331",13538,0.701773109782115,0.998166725725743
"81","Filifactor",12885,0.0856930573482832,0.789599166787031
"82","Dialister",13784,0.798685278984545,0.998166725725743
"83","ASV_339",13779,0.696904895453233,0.998166725725743
"84","Peptococcus",14482,0.178035565309581,0.789599166787031
"85","Hyphomicrobium",13696,0.9897573753717,0.998166725725743
"86","ASV_383",14224,0.158902663488461,0.789599166787031
"87","ASV_409",13625.5,0.828398323530332,0.998166725725743
"88","F0332",13630,0.873493606216007,0.998166725725743
"89","ASV_422",13366,0.20450720234757,0.818028809390281
"90","ASV_428",13696,0.9897573753717,0.998166725725743
"91","Peptoanaerobacter",14288,0.106589227352385,0.789599166787031
"92","Lentimicrobium",13956.5,0.526007345328271,0.998166725725743
"93","Lactobacillus",13372,0.254068733082673,0.834541925100415
"94","ASV_461",13869,0.609970753486951,0.998166725725743
"95","ASV_472",13215,0.11493850003253,0.789599166787031
"96","ASV_485",13621,0.804535016476679,0.998166725725743
"97","Amnipila",13951.5,0.412666011652454,0.933928342160817
"98","Rodentibacter",13780,0.693498792146221,0.998166725725743
"99","Bulleidia",13453.5,0.412642863204881,0.933928342160817
"100","Anaeroglobus",13781.5,0.722776803164111,0.998166725725743
"101","Shuttleworthia",13454.5,0.329786791461427,0.834541925100415
"102","ASV_508",13615,0.74889963529361,0.998166725725743
"103","Rikenellaceae_RC9_gut_group",13286,0.164219059633564,0.789599166787031
"104","ASV_525",13861,0.154165511084605,0.789599166787031
"105","Sneathia",13695,0.99658570843157,0.998166725725743
"106","Alysiella",13617.5,0.778580958363856,0.998166725725743
"107","ASV_529",13447.5,0.181021085944404,0.789599166787031
"108","ASV_533",13695,0.99658570843157,0.998166725725743
"109","ASV_540",13613,0.742725824031329,0.998166725725743
"110","ASV_561",13697,0.987892449058925,0.998166725725743
"111","Defluviitaleaceae_UCG-011",13205,0.131041467380952,0.789599166787031
"112","ASV_591",13533,0.329935179690862,0.834541925100415
"113","ASV_596",13776,0.707159683389803,0.998166725725743
"114","ASV_613",13695,0.99658570843157,0.998166725725743
"115","ASV_639",13708,0.958287836181375,0.998166725725743
"116","ASV_644",13535,0.493685638112118,0.998166725725743
"117","Alloscardovia",13861,0.154165511084605,0.789599166787031
"118","ASV_653",13861,0.154165511084605,0.789599166787031
"119","Centipeda",13362,0.305503224671581,0.834541925100415
"120","ASV_682",13120,0.00820434475482834,0.646786632190862
"121","ASV_689",13369,0.106707162982485,0.789599166787031
"122","Bacillus",13695,0.99658570843157,0.998166725725743
"123","Family_XIII_UCG-001",13637.5,0.858326291592427,0.998166725725743
"124","ASV_709",13530,0.161724210144495,0.789599166787031
"125","Fretibacterium",13313,0.300868733015104,0.834541925100415
"126","Johnsonella",14520,0.0349180529175563,0.789599166787031
"127","ASV_817",13942,0.312877329719774,0.834541925100415
"128","ASV_821",13533,0.329935179690862,0.834541925100415
"129","ASV_844",13946,0.171461181158335,0.789599166787031
