"","taxon","stat","p","p.adj"
"1","Neisseria",14646,0.274360592322546,0.980498168372127
"2","Streptococcus",13309,0.658698679201384,0.980498168372127
"3","Haemophilus",13900,0.813373102214445,0.980498168372127
"4","Prevotella",13511,0.833937301560966,0.980498168372127
"5","Moraxella",12857,0.336569992550888,0.980498168372127
"6","Veillonella",13767,0.933623000024697,0.980498168372127
"7","Fusobacterium",13786,0.91628497544754,0.980498168372127
"8","Porphyromonas",14878,0.173957997299839,0.980498168372127
"9","Lautropia",13390,0.727345788227172,0.980498168372127
"10","Actinobacillus",13644,0.954652570642405,0.980498168372127
"11","Gemella",14437,0.393671450456509,0.980498168372127
"12","Alloprevotella",14767,0.21791939807314,0.980498168372127
"13","Leptotrichia",13341,0.685514854015433,0.980498168372127
"14","Rothia",13665,0.973881468300766,0.980498168372127
"15","Aggregatibacter",13534,0.854615726512589,0.980498168372127
"16","Granulicatella",14899,0.166444199596105,0.980498168372127
"17","Escherichia/Shigella",14182,0.57545479771064,0.980498168372127
"18","ASV_52",13455,0.784094685804295,0.980498168372127
"19","Actinomyces",13550,0.869060742059516,0.980498168372127
"20","ASV_62",12644,0.22794967229945,0.980498168372127
"21","Campylobacter",12767,0.287167533140474,0.980498168372127
"22","Bergeyella",14178,0.578593085188435,0.980498168372127
"23","ASV_68",13155,0.536163745402112,0.980498168372127
"24","ASV_77",14126,0.620103427039443,0.980498168372127
"25","Dolosigranulum",14176,0.580165239376406,0.980498168372127
"26","Streptobacillus",13560,0.87811143886728,0.980498168372127
"27","Oribacterium",14822,0.195229505702617,0.980498168372127
"28","ASV_112",14134,0.613633213993134,0.980498168372127
"29","Stomatobaculum",13751,0.948248245535535,0.980498168372127
"30","Lachnoanaerobaculum",13135,0.521132699113907,0.980498168372127
"31","ASV_120",14519,0.343547551173775,0.980498168372127
"32","ASV_126",14186,0.572324576093507,0.980498168372127
"33","Mannheimia",13808,0.896259541077957,0.980498168372127
"34","TM7x",14330,0.465355131109325,0.980498168372127
"35","Tropheryma",13385,0.723037375521,0.980498168372127
"36","Solobacterium",14250,0.523373448249339,0.980498168372127
"37","Peptostreptococcus",13782,0.919932057758163,0.980498168372127
"38","Abiotrophia",14125,0.620914289409556,0.980498168372127
"39","Oceanivirga",13288,0.641333484060825,0.980498168372127
"40","Corynebacterium",13495,0.819618858595818,0.980498168372127
"41","ASV_157",14464,0.376698651360875,0.980498168372127
"42","ASV_163",13607,0.920844094593461,0.980498168372127
"43","ASV_180",13065,0.47028476126885,0.980498168372127
"44","ASV_182",13744,0.954652570642405,0.980498168372127
"45","ASV_187",15525,0.0354776728240887,0.980498168372127
"46","Treponema",13741,0.95739820219096,0.980498168372127
"47","Eikenella",13834,0.872679030970389,0.980498168372127
"48","ASV_203",13692,0.998625095519656,0.998625095519656
"49","ASV_205",14370,0.437743654176734,0.980498168372127
"50","ASV_209",13751,0.948248245535535,0.980498168372127
"51","ASV_212",13853,0.855517165996065,0.980498168372127
"52","F0058",13602,0.91628497544754,0.980498168372127
"53","ASV_214",14184,0.573888675834043,0.980498168372127
"54","ASV_216",14136,0.61202032503299,0.980498168372127
"55","Conchiformibius",14014,0.713589882490354,0.980498168372127
"56","Hydrogenophaga",14234,0.535407042095488,0.980498168372127
"57","Catonella",13622,0.934536473325981,0.980498168372127
"58","Bordetella",13852,0.856418794058859,0.980498168372127
"59","Candidatus_Saccharimonas",14272,0.507056856444338,0.980498168372127
"60","ASV_239",13190,0.562982756061213,0.980498168372127
"61","ASV_242",14131,0.616056055624994,0.980498168372127
"62","Mogibacterium",12768,0.28768806935306,0.980498168372127
"63","Atopobium",12860,0.338305777793655,0.980498168372127
"64","Selenomonas",14384,0.428306965221116,0.980498168372127
"65","ASV_260",13774,0.927231201031898,0.980498168372127
"66","Cardiobacterium",14900,0.166092583672232,0.980498168372127
"67","ASV_269",14220,0.546049615909624,0.980498168372127
"68","ASV_280",14137,0.611214584569016,0.980498168372127
"69","ASV_283",13973,0.749014886562627,0.980498168372127
"70","Comamonas",13608,0.921756235549218,0.980498168372127
"71","Capnocytophaga",13807,0.897168453822496,0.980498168372127
"72","ASV_286",14188,0.570762504124131,0.980498168372127
"73","Kingella",14628,0.283541584711006,0.980498168372127
"74","Butyrivibrio",14342,0.456971551759418,0.980498168372127
"75","ASV_307",14088,0.651233199088282,0.980498168372127
"76","Mycoplasma",14726,0.236025750064455,0.980498168372127
"77","Tannerella",14376,0.433684790816377,0.980498168372127
"78","Parvimonas",12123,0.0712034203547953,0.980498168372127
"79","ASV_329",14086,0.65288920868373,0.980498168372127
"80","ASV_331",13863,0.846511446726666,0.980498168372127
"81","Filifactor",13029,0.445241384423648,0.980498168372127
"82","Dialister",14066,0.669542309088478,0.980498168372127
"83","ASV_339",14311,0.478802253328208,0.980498168372127
"84","Peptococcus",15034,0.123851432322218,0.980498168372127
"85","Hyphomicrobium",13987,0.736854521776106,0.980498168372127
"86","ASV_383",14775,0.21450609329202,0.980498168372127
"87","ASV_409",13722,0.974797597625777,0.980498168372127
"88","F0332",13743,0.95556772298234,0.980498168372127
"89","ASV_422",13653,0.962890949319888,0.980498168372127
"90","ASV_428",14044,0.688049961188408,0.980498168372127
"91","Peptoanaerobacter",14619,0.288209241738917,0.980498168372127
"92","Lentimicrobium",14450,0.385442293443542,0.980498168372127
"93","ASV_461",14229,0.539195932024372,0.980498168372127
"94","ASV_472",13145,0.528621021436328,0.980498168372127
"95","ASV_485",13782,0.919932057758163,0.980498168372127
"96","Amnipila",14230,0.538437080598379,0.980498168372127
"97","Rodentibacter",14104,0.638047588684006,0.980498168372127
"98","Bulleidia",13765,0.935450032826852,0.980498168372127
"99","Anaeroglobus",14267,0.510741559891972,0.980498168372127
"100","Shuttleworthia",13803,0.900805442552112,0.980498168372127
"101","ASV_508",13799,0.904444514995888,0.980498168372127
"102","Rikenellaceae_RC9_gut_group",13520,0.842016017178218,0.980498168372127
"103","ASV_525",14197,0.563758423576458,0.980498168372127
"104","Sneathia",13987,0.736854521776106,0.980498168372127
"105","Alysiella",13927,0.789396670347483,0.980498168372127
"106","ASV_529",13647,0.95739820219096,0.980498168372127
"107","ASV_533",13942,0.776160538007896,0.980498168372127
"108","ASV_540",13776,0.925405816730294,0.980498168372127
"109","ASV_561",13952,0.76737216671909,0.980498168372127
"110","Lactobacillus",13544,0.863638469180001,0.980498168372127
"111","Defluviitaleaceae_UCG-011",13448,0.777921696717498,0.980498168372127
"112","ASV_591",13609,0.922668479433409,0.980498168372127
"113","ASV_596",14043,0.688895778234187,0.980498168372127
"114","ASV_613",13871,0.839321219309246,0.980498168372127
"115","Johnsonella",14759,0.221371571844022,0.980498168372127
"116","ASV_639",13950,0.76912748965285,0.980498168372127
"117","ASV_644",13616,0.929056968404836,0.980498168372127
"118","Alloscardovia",14224,0.54299820877389,0.980498168372127
"119","ASV_653",14302,0.485245256568921,0.980498168372127
"120","Pantoea",13988,0.735988399219,0.980498168372127
"121","Centipeda",13818,0.887178095347638,0.980498168372127
"122","ASV_682",13207,0.576238615181159,0.980498168372127
"123","ASV_689",13661,0.970217307645558,0.980498168372127
"124","Bacillus",13935,0.782329569119989,0.980498168372127
"125","Family_XIII_UCG-001",13762,0.93819121654907,0.980498168372127
"126","ASV_709",13797,0.906264808962347,0.980498168372127
"127","ASV_817",14258,0.517409123263477,0.980498168372127
"128","ASV_821",13804,0.8998959970677,0.980498168372127
"129","ASV_844",14429,0.398788015913749,0.980498168372127
"130","ASV_854",13745,0.953737478084025,0.980498168372127
"131","ASV_860",13814,0.890808964673737,0.980498168372127
"132","ASV_861",14056,0.677930846016728,0.980498168372127
"133","ASV_894",14108,0.634768788764384,0.980498168372127
"134","ASV_897",14402,0.4163497233775,0.980498168372127
"135","Fretibacterium",13425,0.757739434480868,0.980498168372127
"136","Scardovia",13725,0.972049314229109,0.980498168372127
"137","Acinetobacter",13973,0.749014886562627,0.980498168372127
"138","ASV_934",13811,0.893533624366087,0.980498168372127
"139","Olsenella",13974,0.748144175152348,0.980498168372127
"140","ASV_1004",14274,0.505586895339914,0.980498168372127
"141","Desulfomicrobium",14354,0.448673499110324,0.980498168372127
"142","ASV_1095",14266,0.511480176317399,0.980498168372127
"143","ASV_1121",14367,0.439781253789484,0.980498168372127
"144","ASV_1202",14082,0.656206357214853,0.980498168372127
"145","ASV_1212",14218,0.547578500738213,0.980498168372127
"146","ASV_1230",14050,0.68298328238524,0.980498168372127
"147","ASV_1234",13854,0.854615726512589,0.980498168372127
"148","ASV_1258",14277,0.503386167540484,0.980498168372127
"149","ASV_1272",14243,0.528621021436328,0.980498168372127
"150","Bifidobacterium",13912,0.802693861337352,0.980498168372127
"151","ASV_1325",14177,0.579378912008703,0.980498168372127
"152","ASV_1434",13977,0.745533971721396,0.980498168372127
"153","ASV_1456",14067,0.668705696927768,0.980498168372127
"154","Desulfobulbus",14488,0.361996968291663,0.980498168372127
"155","ASV_1504",14273,0.506321595328097,0.980498168372127
"156","Erysipelotrichaceae_UCG-006",14325,0.468873359735384,0.980498168372127
"157","ASV_1531",14389,0.424965621312386,0.980498168372127
"158","Roseburia",13549,0.868156595037381,0.980498168372127
"159","DMI",14331,0.464653250352637,0.980498168372127
"160","ASV_1628",13817,0.888085593768271,0.980498168372127
"161","ASV_1636",13776,0.925405816730294,0.980498168372127
"162","Phocaeicola",14114,0.62986401035641,0.980498168372127
"163","Pseudomonas",13947,0.771762691687082,0.980498168372127
"164","Pseudoramibacter",13999,0.726483410727987,0.980498168372127
"165","ASV_1729",14017,0.711020825992889,0.980498168372127
"166","ASV_1738",13781,0.920844094593461,0.980498168372127
"167","ASV_1788",13978,0.744664550939681,0.980498168372127
"168","Prevotellaceae_YAB2003_group",13990,0.734257161370536,0.980498168372127
"169","ASV_1888",14322,0.470991340998231,0.980498168372127
"170","ASV_1924",14004,0.722176740396666,0.980498168372127
"171","ASV_1939",14153,0.598387242547935,0.980498168372127
"172","Howardella",14009,0.717878856456599,0.980498168372127
