"","taxon","stat","p","p.adj"
"1","Neisseria",14407.5,0.412735751678802,1
"2","Haemophilus",13466,0.79382244725555,1
"3","Streptococcus",13767.5,0.933166290557138,1
"4","Prevotella",13760.5,0.939561970406509,1
"5","Moraxella",12915.5,0.371413121634852,1
"6","Veillonella",13798,0.905354397206719,1
"7","Fusobacterium",13885,0.826769484376056,1
"8","Porphyromonas",15325.5,0.060974267765627,1
"9","Lautropia",12970,0.405884381865426,1
"10","Actinobacillus",13885,0.826759399459458,1
"11","Gemella",14085,0.653717588199737,1
"12","Alloprevotella",14299,0.48740215774305,1
"13","Leptotrichia",13033.5,0.448321053152425,1
"14","Rothia",13161,0.540709614682319,1
"15","Aggregatibacter",13302.5,0.653287181339613,1
"16","Granulicatella",14279,0.501921159040544,1
"17","Escherichia/Shigella",13893.5,0.819080946015271,1
"18","ASV_52",13439.5,0.770412913976043,1
"19","Actinomyces",13576.5,0.893075337770317,1
"20","ASV_62",12579.5,0.200592249395802,1
"21","Campylobacter",12944.5,0.389529925474512,1
"22","Bergeyella",14163,0.590399271525954,1
"23","ASV_68",13033.5,0.448222057746154,1
"24","ASV_77",13985,0.738560596560197,1
"25","Dolosigranulum",13983.5,0.739783928168078,1
"26","Corynebacterium",13488.5,0.813793267241026,1
"27","Streptobacillus",13398,0.734222295614307,1
"28","Oribacterium",15262.5,0.0716238986823809,1
"29","ASV_112",13893,0.819544943974436,1
"30","Stomatobaculum",13541,0.860916340533279,1
"31","Lachnoanaerobaculum",13179.5,0.554848333019065,1
"32","ASV_120",14303.5,0.483959476170779,1
"33","ASV_126",13954,0.765501027590863,1
"34","Mannheimia",13644.5,0.955095330661743,1
"35","TM7x",13814.5,0.890333665832839,1
"36","Tropheryma",13187.5,0.560880132355328,1
"37","Solobacterium",14242.5,0.528938338415957,1
"38","Peptostreptococcus",13832,0.874471537301142,1
"39","Abiotrophia",13933.5,0.783600262690066,1
"40","Oceanivirga",12944.5,0.389342149189695,1
"41","ASV_157",14471.5,0.371896560301171,1
"42","ASV_163",13448.5,0.778270756670036,1
"43","ASV_180",12995.5,0.42244026138561,1
"44","ASV_182",13455.5,0.784441643233126,1
"45","ASV_187",15573.5,0.0308122601727767,1
"46","Eikenella",13645,0.955548815343803,1
"47","ASV_203",13482,0.80793938399744,1
"48","ASV_205",14360,0.444431074892846,1
"49","ASV_209",13615.5,0.928585789101597,1
"50","ASV_212",13590,0.905306192834069,1
"51","F0058",13457.5,0.786228415437462,1
"52","ASV_214",13947.5,0.771211962137015,1
"53","ASV_216",13891,0.821334485187367,1
"54","Conchiformibius",13692.5,0.999083068254751,1
"55","Hydrogenophaga",14018,0.710023686270674,1
"56","Treponema",12734.5,0.270512770787783,1
"57","Catonella",13316,0.664462881673093,1
"58","Bordetella",13655.5,0.965162711344347,1
"59","Candidatus_Saccharimonas",14148,0.602288681085519,1
"60","ASV_239",13173.5,0.550105997782448,1
"61","ASV_242",13901.5,0.811944024475719,1
"62","Mogibacterium",12770,0.288600420346643,1
"63","Selenomonas",14235.5,0.534167416222875,1
"64","ASV_260",13639.5,0.950512003080737,1
"65","Cardiobacterium",14768,0.217350892630922,1
"66","ASV_269",13962,0.758493716607477,1
"67","ASV_280",14038,0.693004270505319,1
"68","ASV_283",13682.5,0.989913343355721,1
"69","Comamonas",13377,0.716062262544807,1
"70","Capnocytophaga",13570,0.887155912973967,1
"71","ASV_286",13961,0.759369166721901,1
"72","Butyrivibrio",14179,0.577666436714656,1
"73","Kingella",14381.5,0.429817051011595,1
"74","ASV_307",13763,0.937248294938954,1
"75","Mycoplasma",14397.5,0.419153917498201,1
"76","Atopobium",12770,0.288602655260464,1
"77","Tannerella",14086.5,0.652373263027923,1
"78","Parvimonas",11970,0.0476209606265744,1
"79","ASV_329",13916.5,0.798599609602078,1
"80","ASV_331",13575.5,0.89213006362522,1
"81","Filifactor",12737.5,0.271907546064515,1
"82","Dialister",13891.5,0.820874361757282,1
"83","ASV_339",14074.5,0.662281089589334,1
"84","Peptococcus",14992,0.135946119169359,1
"85","Hyphomicrobium",13784,0.918066482234645,1
"86","ASV_383",14629.5,0.282578675688616,1
"87","ASV_409",13512.5,0.835209434183187,1
"88","F0332",13578,0.894396588665777,1
"89","ASV_422",13420.5,0.753693275725775,1
"90","ASV_428",13824,0.881676276414232,1
"91","Peptoanaerobacter",14465,0.375854611903535,1
"92","Lentimicrobium",14344.5,0.455056160284297,1
"93","Lactobacillus",13334,0.679465960398757,1
"94","ASV_461",14092.5,0.647369474014874,1
"95","ASV_472",12910,0.367861358357355,1
"96","ASV_485",13637.5,0.948682303059996,1
"97","Amnipila",14076.5,0.660628467566116,1
"98","Rodentibacter",13900,0.813284189766453,1
"99","Bulleidia",13487.5,0.812839921167774,1
"100","Anaeroglobus",14018,0.710026941809146,1
"101","Shuttleworthia",13496.5,0.820871693412907,1
"102","ASV_508",13540.5,0.860409212766448,1
"103","Rikenellaceae_RC9_gut_group",13248.5,0.609030443997368,1
"104","ASV_525",13942.5,0.775607177919484,1
"105","Sneathia",13797.5,0.905762902872359,1
"106","Alysiella",13676,0.983952839753962,1
"107","ASV_529",13399.5,0.735425529589326,1
"108","ASV_533",13719.5,0.97707622290546,1
"109","ASV_540",13581,0.897117667263609,1
"110","ASV_561",13762.5,0.937702693475815,1
"111","Defluviitaleaceae_UCG-011",13154,0.535220507333683,1
"112","ASV_591",13394,0.730667906476375,1
"113","ASV_596",13875,0.835652185525358,1
"114","ASV_613",13633.5,0.945018979942026,1
"115","ASV_639",13741,0.957377455875382,1
"116","ASV_644",13473,0.799937875607503,1
"117","Alloscardovia",13946.5,0.772089426702238,1
"118","ASV_653",14034.5,0.695952889518244,1
"119","Centipeda",13485,0.810611078568079,1
"120","ASV_682",12914.5,0.370592744454098,1
