feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Treponema	trial_arm	Placebo	0.491629370884621	0.0697410901189835	304	63	1.22598322460793e-11	2.08417148183347e-09
Lautropia	trial_arm	Placebo	-0.643319883182998	0.0997904027223659	304	257	4.51912165814964e-10	3.84125340942719e-08
Moraxella	trial_arm	Placebo	0.702535173714965	0.120262972496776	304	113	1.33623966825901e-08	7.57202478680108e-07
F0058	trial_arm	Placebo	-0.339365946089194	0.064395939295052	304	68	2.60096741634405e-07	1.10541115194622e-05
Veillonella	trial_arm	Placebo	-0.44179869417396	0.0847456714697455	304	290	3.44815983648194e-07	1.17237434440386e-05
Rothia	trial_arm	Placebo	-0.429018509031591	0.0919958397671642	304	265	4.67532936667077e-06	0.000125564853867103
Aggregatibacter	trial_arm	Placebo	0.341001766112455	0.0734724708641217	304	146	5.17031751217483e-06	0.000125564853867103
Streptococcus	trial_arm	Placebo	-0.222823884738706	0.052770330292584	304	302	3.20079833300403e-05	0.000680169645763357
Oribacterium	trial_arm	Placebo	-0.330489069020987	0.0801180100580665	304	151	4.79746456682327e-05	0.000906187751511063
Capnocytophaga	trial_arm	Placebo	-0.283551819040791	0.0694308329631442	304	95	5.67655541366883e-05	0.000965014420323702
Granulicatella	trial_arm	Placebo	-0.274264325133209	0.0680034374820913	304	282	6.97787561900694e-05	0.00107839895930107
Streptobacillus	trial_arm	Placebo	0.301238335092535	0.079469228782698	304	80	0.000181418327158421	0.00251147063278915
Candidatus_Saccharimonas	trial_arm	Placebo	-0.221933394331462	0.058778177808229	304	78	0.000192053636625052	0.00251147063278915
ASV_205	trial_arm	Placebo	0.168214243345455	0.0465679301257465	304	31	0.000355408556250216	0.00431567532589548
Actinomyces	trial_arm	Placebo	-0.301099264700455	0.0846078915967025	304	236	0.000432572372930816	0.00490248689321592
Gemella	trial_arm	Placebo	-0.217542906896867	0.0617789893473755	304	293	0.000495695716438422	0.00526676698715823
Haemophilus	trial_arm	Placebo	0.190033213441515	0.0548404008378942	304	302	0.000606585600455513	0.00606585600455513
Defluviitaleaceae_UCG.011	trial_arm	Placebo	0.0691009161952351	0.0208809067733385	304	12	0.00104858620156551	0.00990331412589646
ASV_209	trial_arm	Placebo	0.12843433301546	0.0391191423833811	304	30	0.0011470481850489	0.0102630627083322
Atopobium	trial_arm	Placebo	-0.220289745478931	0.0699265192734412	304	88	0.00179447783763197	0.0145267253522588
Peptoanaerobacter	trial_arm	Placebo	0.0563980610219046	0.0178485839584259	304	13	0.00173879892530517	0.0145267253522588
Prevotella	trial_arm	Placebo	-0.268227673857849	0.0874222329560706	304	290	0.00234888085593229	0.0181504429776586
Peptococcus	trial_arm	Placebo	0.102950232647159	0.0340121857175734	304	41	0.00268391671611812	0.019837645293047
Abiotrophia	trial_arm	Placebo	-0.20609043213995	0.0692794427328058	304	76	0.00316870157222902	0.0224449694699555
Filifactor	trial_arm	Placebo	0.088944720644025	0.0310036702847813	304	17	0.00441015243467415	0.0299890365557842
Oceanivirga	trial_arm	Placebo	0.143243204683311	0.0517681407279442	304	23	0.00600618706216375	0.039271223098763
Amnipila	trial_arm	Placebo	0.0570892752518199	0.0208744170303614	304	10	0.00660884883248253	0.0416112704267418
ASV_62	trial_arm	Placebo	0.224908329371799	0.0827453091656359	304	88	0.00694559050913352	0.0421112545221924
ASV_187	trial_arm	Placebo	0.0705032464410917	0.0261161958339742	304	14	0.00733355549829478	0.0421112545221924
Lentimicrobium	trial_arm	Placebo	0.0715492358081737	0.0265481201181167	304	13	0.00743139785685748	0.0421112545221924
ASV_540	trial_arm	Placebo	-0.075424295138027	0.0281876198430438	304	13	0.00786200942005855	0.0431142452067727
ASV_307	trial_arm	Placebo	0.0687126202505902	0.0259331760373897	304	21	0.00848289678960869	0.0436997713404084
Shuttleworthia	trial_arm	Placebo	-0.0597477155053974	0.02248324537982	304	12	0.00829282271556767	0.0436997713404084
