"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","Lautropia","trial_arm","Placebo",-2.33655270196416,0.355044217793271,2.06272266057871e-10,"trial_armPlacebo",3.5066285229838e-08,304,257
"2","Moraxella","trial_arm","Placebo",2.24646520081353,0.381086211077782,1.00171919768287e-08,"trial_armPlacebo",8.51461318030437e-07,304,84
"3","Treponema","trial_arm","Placebo",3.18925878567277,0.572704251838536,5.67361719056504e-08,"trial_armPlacebo",3.21504974132019e-06,304,10
"4","F0058","trial_arm","Placebo",-0.703739619549832,0.136707592676239,4.75916688100031e-07,"trial_armPlacebo",2.02264592442513e-05,304,68
"5","Streptococcus","trial_arm","Placebo",-6.32877485663864,1.37536573971496,6.18195225836633e-06,"trial_armPlacebo",0.000175155313987046,304,301
"6","Aggregatibacter","trial_arm","Placebo",1.45105090132373,0.31402990024441,5.67043202975519e-06,"trial_armPlacebo",0.000175155313987046,304,146
"7","Veillonella","trial_arm","Placebo",-3.64467125684485,0.83858975667563,1.89500325654282e-05,"trial_armPlacebo",0.000460215076588969,304,268
"8","Defluviitaleaceae_UCG.011","trial_arm","Placebo",0.262607326109593,0.0631229265387278,4.1485039152233e-05,"trial_armPlacebo",0.000881557081984952,304,12
"9","Streptobacillus","trial_arm","Placebo",0.844060609068692,0.208412019872549,6.51766713732803e-05,"trial_armPlacebo",0.00123111490371752,304,78
"10","ASV_205","trial_arm","Placebo",0.386526921230465,0.0973256685507539,8.93565852692158e-05,"trial_armPlacebo",0.00151906194957667,304,31
"11","Oribacterium","trial_arm","Placebo",-0.979547640590917,0.248292260788138,9.92283057346671e-05,"trial_armPlacebo",0.00153352836135395,304,137
"12","Peptoanaerobacter","trial_arm","Placebo",0.25552091390018,0.0672061737613936,0.000173622879909338,"trial_armPlacebo",0.00245965746538228,304,13
"13","Haemophilus","trial_arm","Placebo",2.5711156461907,0.704575751823648,0.000309878636725472,"trial_armPlacebo",0.00405225909564078,304,297
"14","Rothia","trial_arm","Placebo",-2.05362215313101,0.589302037672254,0.000565377578116067,"trial_armPlacebo",0.00686529916283796,304,265
"15","Candidatus_Saccharimonas","trial_arm","Placebo",-0.50819449992447,0.1473520708379,0.000643050096513072,"trial_armPlacebo",0.00728790109381481,304,73
"16","Gemella","trial_arm","Placebo",-0.460855889044045,0.137502841996022,0.000905619732774493,"trial_armPlacebo",0.00962220966072899,304,293
"17","Lentimicrobium","trial_arm","Placebo",0.203840692066643,0.0611415647991267,0.000963034713429705,"trial_armPlacebo",0.00963034713429705,304,13
"18","ASV_209","trial_arm","Placebo",0.298843359555214,0.0911817008161625,0.00116967614239123,"trial_armPlacebo",0.00994224721032545,304,30
"19","Filifactor","trial_arm","Placebo",0.253265150815517,0.0772506753353657,0.00116554049382934,"trial_armPlacebo",0.00994224721032545,304,17
"20","Peptococcus","trial_arm","Placebo",0.273239202757131,0.0829523692277451,0.00110546397103305,"trial_armPlacebo",0.00994224721032545,304,41
"21","Oceanivirga","trial_arm","Placebo",0.389075960850662,0.121901584566664,0.00156326722020313,"trial_armPlacebo",0.0120797921561151,304,23
"22","Amnipila","trial_arm","Placebo",0.179663090347425,0.0560977503949088,0.00150688938533461,"trial_armPlacebo",0.0120797921561151,304,10
"23","Capnocytophaga","trial_arm","Placebo",-0.608543503842859,0.195037112195363,0.00198229614347158,"trial_armPlacebo",0.0146517541039204,304,34
"24","Granulicatella","trial_arm","Placebo",-1.5067075291352,0.490151925739706,0.00230525869961138,"trial_armPlacebo",0.0163288777671318,304,282
"25","ASV_307","trial_arm","Placebo",0.267377608671899,0.0873390352811331,0.00240130555398996,"trial_armPlacebo",0.0163288777671318,304,21
"26","ASV_62","trial_arm","Placebo",0.642076601388763,0.21654092543731,0.00326654464665781,"trial_armPlacebo",0.0213581765358395,304,88
"27","Abiotrophia","trial_arm","Placebo",-0.544548229608096,0.185827385336572,0.00364354047477533,"trial_armPlacebo",0.0229408103967336,304,76
"28","Comamonas","trial_arm","Placebo",0.236299385404813,0.0812686780706836,0.00391163440064552,"trial_armPlacebo",0.0237492088610621,304,18
"29","Actinomyces","trial_arm","Placebo",-1.45452595475152,0.516501178475525,0.00518076315311189,"trial_armPlacebo",0.0303699908975524,304,232
"30","Rikenellaceae_RC9_gut_group","trial_arm","Placebo",0.171271087252004,0.0611546583482161,0.00542933900791647,"trial_armPlacebo",0.0307662543781933,304,6
"31","Alloprevotella","trial_arm","Placebo",1.62757634969451,0.594364641206859,0.00654151103769872,"trial_armPlacebo",0.0347517773877745,304,127
"32","ASV_280","trial_arm","Placebo",0.146567390765906,0.0533439530396317,0.00636434450288552,"trial_armPlacebo",0.0347517773877745,304,7
"33","ASV_187","trial_arm","Placebo",0.236484347400851,0.0875276402161289,0.00728580919154259,"trial_armPlacebo",0.03753295644128,304,14
"34","Fretibacterium","trial_arm","Placebo",0.183930057107086,0.068714254964781,0.00784044122849293,"trial_armPlacebo",0.0392022061424647,304,9
"35","ASV_422","trial_arm","Placebo",0.170884996218502,0.0642454929868529,0.00823432189876613,"trial_armPlacebo",0.0399952777940069,304,9
"36","Fusobacterium","trial_arm","Placebo",1.74238044093646,0.678020243279889,0.0106551333981706,"trial_armPlacebo",0.0495053020126116,304,164
"37","ASV_540","trial_arm","Placebo",-0.170997699421992,0.0666436414838957,0.0107746833792155,"trial_armPlacebo",0.0495053020126116,304,13
