feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lautropia	trial_arm	Placebo	-2.33655270196416	0.355044217793271	304	257	2.06272266057871e-10	3.5066285229838e-08
Moraxella	trial_arm	Placebo	2.24646520081353	0.381086211077782	304	84	1.00171919768287e-08	8.51461318030437e-07
Treponema	trial_arm	Placebo	3.18925878567277	0.572704251838536	304	10	5.67361719056504e-08	3.21504974132019e-06
F0058	trial_arm	Placebo	-0.703739619549832	0.136707592676239	304	68	4.75916688100031e-07	2.02264592442513e-05
Streptococcus	trial_arm	Placebo	-6.32877485663864	1.37536573971496	304	301	6.18195225836633e-06	0.000175155313987046
Aggregatibacter	trial_arm	Placebo	1.45105090132373	0.31402990024441	304	146	5.67043202975519e-06	0.000175155313987046
Veillonella	trial_arm	Placebo	-3.64467125684485	0.83858975667563	304	268	1.89500325654282e-05	0.000460215076588969
Defluviitaleaceae_UCG.011	trial_arm	Placebo	0.262607326109593	0.0631229265387278	304	12	4.1485039152233e-05	0.000881557081984952
Streptobacillus	trial_arm	Placebo	0.844060609068692	0.208412019872549	304	78	6.51766713732803e-05	0.00123111490371752
ASV_205	trial_arm	Placebo	0.386526921230465	0.0973256685507539	304	31	8.93565852692158e-05	0.00151906194957667
Oribacterium	trial_arm	Placebo	-0.979547640590917	0.248292260788138	304	137	9.92283057346671e-05	0.00153352836135395
Peptoanaerobacter	trial_arm	Placebo	0.25552091390018	0.0672061737613936	304	13	0.000173622879909338	0.00245965746538228
Haemophilus	trial_arm	Placebo	2.5711156461907	0.704575751823648	304	297	0.000309878636725472	0.00405225909564078
Rothia	trial_arm	Placebo	-2.05362215313101	0.589302037672254	304	265	0.000565377578116067	0.00686529916283796
Candidatus_Saccharimonas	trial_arm	Placebo	-0.50819449992447	0.1473520708379	304	73	0.000643050096513072	0.00728790109381481
Gemella	trial_arm	Placebo	-0.460855889044045	0.137502841996022	304	293	0.000905619732774493	0.00962220966072899
Lentimicrobium	trial_arm	Placebo	0.203840692066643	0.0611415647991267	304	13	0.000963034713429705	0.00963034713429705
ASV_209	trial_arm	Placebo	0.298843359555214	0.0911817008161625	304	30	0.00116967614239123	0.00994224721032545
Filifactor	trial_arm	Placebo	0.253265150815517	0.0772506753353657	304	17	0.00116554049382934	0.00994224721032545
Peptococcus	trial_arm	Placebo	0.273239202757131	0.0829523692277451	304	41	0.00110546397103305	0.00994224721032545
Oceanivirga	trial_arm	Placebo	0.389075960850662	0.121901584566664	304	23	0.00156326722020313	0.0120797921561151
Amnipila	trial_arm	Placebo	0.179663090347425	0.0560977503949088	304	10	0.00150688938533461	0.0120797921561151
Capnocytophaga	trial_arm	Placebo	-0.608543503842859	0.195037112195363	304	34	0.00198229614347158	0.0146517541039204
Granulicatella	trial_arm	Placebo	-1.5067075291352	0.490151925739706	304	282	0.00230525869961138	0.0163288777671318
ASV_307	trial_arm	Placebo	0.267377608671899	0.0873390352811331	304	21	0.00240130555398996	0.0163288777671318
ASV_62	trial_arm	Placebo	0.642076601388763	0.21654092543731	304	88	0.00326654464665781	0.0213581765358395
Abiotrophia	trial_arm	Placebo	-0.544548229608096	0.185827385336572	304	76	0.00364354047477533	0.0229408103967336
Comamonas	trial_arm	Placebo	0.236299385404813	0.0812686780706836	304	18	0.00391163440064552	0.0237492088610621
Actinomyces	trial_arm	Placebo	-1.45452595475152	0.516501178475525	304	232	0.00518076315311189	0.0303699908975524
Rikenellaceae_RC9_gut_group	trial_arm	Placebo	0.171271087252004	0.0611546583482161	304	6	0.00542933900791647	0.0307662543781933
Alloprevotella	trial_arm	Placebo	1.62757634969451	0.594364641206859	304	127	0.00654151103769872	0.0347517773877745
ASV_280	trial_arm	Placebo	0.146567390765906	0.0533439530396317	304	7	0.00636434450288552	0.0347517773877745
ASV_187	trial_arm	Placebo	0.236484347400851	0.0875276402161289	304	14	0.00728580919154259	0.03753295644128
Fretibacterium	trial_arm	Placebo	0.183930057107086	0.068714254964781	304	9	0.00784044122849293	0.0392022061424647
ASV_422	trial_arm	Placebo	0.170884996218502	0.0642454929868529	304	9	0.00823432189876613	0.0399952777940069
Fusobacterium	trial_arm	Placebo	1.74238044093646	0.678020243279889	304	164	0.0106551333981706	0.0495053020126116
ASV_540	trial_arm	Placebo	-0.170997699421992	0.0666436414838957	304	13	0.0107746833792155	0.0495053020126116
