"","Species","beta","se","W","p_val","q_val","diff_abn"
"trial_armPlacebo2","Haemophilus",0.703418177913565,0.239906108597294,2.932056136571,0.00336725875018664,0.0159179504554278,TRUE
"trial_armPlacebo5","Moraxella",1.90184421808305,0.35246511544254,5.39583673605593,6.82049452970188e-08,1.77332857772249e-06,TRUE
"trial_armPlacebo6","Veillonella",-0.780586195070564,0.206239808725385,-3.78484735752418,0.000153802949953626,0.00114253619965551,TRUE
"trial_armPlacebo9","Lautropia",-1.24576109450636,0.267956529367488,-4.6491163975253,3.33360056292655e-06,4.33368073180451e-05,TRUE
"trial_armPlacebo14","Rothia",-0.846643796005269,0.260174647453977,-3.25413642063274,0.00113737646588966,0.00591435762262623,TRUE
"trial_armPlacebo15","Aggregatibacter",1.55612266618232,0.310438241950845,5.01266421431649,5.36815281416271e-07,9.30479821121537e-06,TRUE
"trial_armPlacebo19","ASV_62",0.909800633926108,0.260980575097799,3.48608563524382,0.000490144072681616,0.00283194353104934,TRUE
"trial_armPlacebo25","Streptobacillus",0.970115205058351,0.239476705364016,4.0509794202477,5.10036937381697e-05,0.00044203201239747,TRUE
"trial_armPlacebo26","Oribacterium",-0.645974658933566,0.24221359929716,-2.66696279980982,0.00765401434124007,0.033167395478707,TRUE
"trial_armPlacebo35","Treponema",1.36078914816222,0.207989010179217,6.54260120277353,6.04578953451211e-11,3.1438105579463e-09,TRUE
"trial_armPlacebo36","ASV_205",0.654250953767811,0.15836901258305,4.13118035590907,3.60905275771219e-05,0.000375341486802068,TRUE
"trial_armPlacebo52","Peptococcus",0.531576400040359,0.151460325862859,3.50967421344174,0.000448656039804432,0.00283194353104934,TRUE
