"","taxon","stat","p","p.adj"
"2","Haemophilus",8766.5,0.000281213738665284,0.00318708903820655
"3","Streptococcus",14443,0.000160056928361137,0.00226747315178278
"5","Moraxella",7785,1.46616220914263e-08,8.30825251847488e-07
"6","Veillonella",15373.5,6.05246641537354e-07,2.057838581227e-05
"9","Lautropia",15975,7.25172315353499e-09,6.16396468050474e-07
"11","Gemella",14077,0.000976039807741244,0.00829633836580057
"14","Rothia",14993,6.87700005446941e-06,0.000167012858465686
"15","Aggregatibacter",8268,3.85424649289651e-06,0.000109203650632068
"16","Granulicatella",14695,4.05054484246737e-05,0.000765102914688281
"19","Actinomyces",14148.5,0.000650321461412824,0.00614192491334334
"21","ASV_62",9679,0.00230111218533464,0.0177813214321313
"29","Streptobacillus",8983.5,1.53572689196468e-05,0.000326341964542494
"30","Oribacterium",14352,9.07232032934578e-05,0.00140208586908071
"41","Abiotrophia",13075.5,0.0088567638091849,0.0478670023881388
"42","Oceanivirga",10252,0.000221554565294081,0.00269030543571384
"49","Treponema",7833,7.52898094880794e-12,1.27992676129735e-09
"52","ASV_205",9947,6.8221138313887e-05,0.00115975935133608
"53","ASV_209",10415,0.00422164527554482,0.0276030652631777
"54","F0058",14428.5,2.62077447558602e-07,1.11382915212406e-05
"60","Candidatus_Saccharimonas",13724.5,0.000218616478772261,0.00269030543571384
"64","Atopobium",13626,0.000718490592374562,0.00642860003703555
"68","ASV_280",11011,0.00683069047010061,0.0414720492827537
"71","Capnocytophaga",13805,0.000342154451466382,0.00353463276573102
"75","ASV_307",10550,0.00300468256135939,0.0214942764831421
"81","Filifactor",10687,0.00470107763966988,0.0295993777312548
"84","Peptococcus",10201,0.00303448609173771,0.0214942764831421
"94","Peptoanaerobacter",10698,0.00152381035324031,0.0123356076214692
"97","Lentimicrobium",10848,0.00901025927306143,0.0478670023881388
"101","Amnipila",10928.5,0.0087182756286389,0.0478670023881388
"104","Shuttleworthia",12298.5,0.00380773805902213,0.0258926188013505
"116","Defluviitaleaceae_UCG-011",10626,0.000353463276573102,0.00353463276573102
"135","Acinetobacter",12075,0.00842208280701598,0.0478670023881388
