"","OTU","rab.all","rab.win.AZM","rab.win.Placebo","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","Neisseria",13.6333247601636,13.8936839192788,13.3678634225106,-0.597599829585633,2.87567287084923,-0.156381830557231,0.411917616779595,0.0165385874553668,0.10786409314317,0.00684565173281228,0.053493241137298,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria",NA
"2","Haemophilus",13.3866179839015,13.2466767521365,13.5606640951048,0.464817158648723,2.81489694408241,0.141941571530812,0.425800000252903,0.038077431042629,0.190789031367459,0.0384620208158631,0.187335100607248,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",NA
"3","Streptococcus",13.772369242096,14.0344471836857,13.4892300736854,-0.65749924983256,1.99925439494704,-0.271585952173345,0.351800000541579,3.907069681998e-05,0.00090876008961078,7.29959378266324e-05,0.00127305224762225,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"4","Prevotella",12.1811984382457,12.5502910247716,11.798236957255,-0.791954825473016,3.35399551920822,-0.173069447553611,0.389322135960665,0.000469280557369887,0.00624758851805726,0.00264369954904062,0.026119608941041,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"5","Moraxella",2.25554827010986,1.33758146624092,4.72024022157247,3.03417334569715,7.88178481068643,0.368156868597236,0.336532694071167,1.19410500483673e-05,0.000267985894905818,2.35166201311306e-05,0.000399315259701813,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA
"6","Veillonella",11.3348700191901,11.9283548513569,10.6817769984498,-1.15703409482834,2.96622944134555,-0.304355835107756,0.321535693542888,3.28944654472089e-07,1.79546595020644e-05,1.09263562786435e-07,7.51391352732746e-06,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella",NA
"7","Fusobacterium",10.3766104369311,10.1498647379012,10.6056756720127,0.346394138452052,3.3133753964294,0.0714226019029363,0.448800000172476,0.390559873314895,0.689386205054883,0.172452895760766,0.47887651125672,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA
"8","Porphyromonas",10.3808039357853,10.7751296090592,10.0134479387392,-0.70153364170874,3.47030828511268,-0.151996533648433,0.405200000327783,0.248178761236449,0.554405219950004,0.00987680135941584,0.0709468773532193,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"9","Lautropia",9.07313577024473,9.83983017036947,8.26018367175033,-2.09998804952703,5.12356731734392,-0.36548739787842,0.301939612860346,2.01992443262335e-08,2.22250891289395e-06,4.98811322735046e-09,7.79809131854044e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA
"10","Actinobacillus",3.69853911392454,2.61106406832624,7.33974314660913,0.768151419474465,9.86906422161156,0.0767494976579052,0.459508098516134,0.117563628928997,0.367862882588425,0.202078050738086,0.505111657560723,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus",NA
"11","Gemella",9.5042969111692,9.81971276452781,9.09961639322732,-0.707734278866709,2.40036996907852,-0.220146150843111,0.36772645518296,0.000902199618390758,0.00992840668458646,0.000139092291728606,0.00205854920118083,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","Gemella",NA
"12","Alloprevotella",9.84950298582887,9.91481871674664,9.79612993482069,-0.33231492554444,3.97013954115266,-0.0622551993956733,0.459308138508815,0.241628830593941,0.553962968802803,0.287859956420916,0.623352991703081,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA
"13","Leptotrichia",9.01134457408543,9.10305092225195,8.90757216069659,-0.259888367630206,5.03342485673411,-0.0409231159328922,0.472400000092281,0.0839213032809826,0.309508312705351,0.397091043399533,0.715915447038725,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia",NA
"14","Rothia",10.1323195200519,10.6908736297288,9.3485912031707,-1.34950246186378,4.3512976846166,-0.229470541135896,0.349930014546739,2.30377149964041e-05,0.000571042300854765,4.76576582665362e-06,0.000161030357159107,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",NA
"15","Aggregatibacter",3.83874749561907,2.1004904438394,8.06603981253495,2.12720090106427,8.34129394818341,0.275948864599961,0.37080000046148,0.00016942022796681,0.00249724072486933,0.000181873135813454,0.00248166560170504,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",NA
"16","Granulicatella",9.79779818381084,10.1740446928934,9.2863049560398,-0.811224801911437,2.53330482970437,-0.214463113437924,0.346730654432885,0.000337994678607547,0.00468462126448106,1.41861194435996e-05,0.000346361633386871,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella",NA
"17","Escherichia/Shigella",0.34692291653344,0.399682773054577,0.294653148055907,-0.10073272659649,4.3955793293594,-0.0181607822249229,0.491101779673729,0.51277138482905,0.739041154319718,0.493409392772041,0.736966461893565,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",NA
"18","ASV_52",2.06646494268675,2.69881682453933,1.52721110488641,-1.00157840245355,8.09386436772087,-0.126510237514213,0.42380000026004,0.0527438468316641,0.204060393617856,0.0666421549691884,0.23998986441964,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","ASV_52",NA
"19","Actinomyces",8.83275945026097,9.23334204735138,8.27273000016542,-1.03081001005352,6.61050220069285,-0.161193585347842,0.377200000435609,0.00094220037831227,0.010471496193298,0.000307537410015905,0.0041947895651299,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",NA
"20","Pseudomonas",0.379018206497519,0.476183072619691,0.281409474037416,-0.0821177647500013,4.46002262747746,-0.0148799102936046,0.492000000026674,0.406258490484961,0.628867722342043,0.429919440069193,0.649819471984569,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"21","ASV_62",1.64010306836865,1.22507559775268,2.20898368310982,1.08253406254222,7.20238602744219,0.142231610336775,0.425200000255041,0.0413192859897824,0.175960732855074,0.0440598945004827,0.180012193124168,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASV_62",NA
"22","Campylobacter",7.34160851133514,7.52016792312383,7.10821968915453,-0.324187153231758,5.11973266487902,-0.0527098635285373,0.460200000133513,0.221922968465722,0.51098928715243,0.221719843222416,0.548227345866341,"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
"23","Bergeyella",3.00330446534968,3.57131478169818,2.54333292371739,-0.894295288543947,6.893825838055,-0.120262807798896,0.443911217945718,0.176808301711766,0.422826737004772,0.141066334215603,0.398947902893964,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Bergeyella",NA
"24","ASV_68",0.891357491187819,1.04443848582808,0.723108862618917,-0.291944708274825,6.98122167643601,-0.0405847255595559,0.475104979087355,0.358876968797025,0.612601573492483,0.406513875278292,0.651265954866475,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","ASV_68",NA
"25","ASV_77",3.76516956918383,7.20896114763801,2.62522533864716,-0.846615485932531,7.77490577507093,-0.11111813930705,0.422200000265768,0.0497583895328252,0.208019144740868,0.0269899207974923,0.138454972619011,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","ASV_77",NA
"26","Enterococcus",0.364709416750507,0.45581899700412,0.276132327284468,-0.219133380496517,4.43838241812229,-0.0420282331147275,0.476704659145975,0.393345040380625,0.635031133819939,0.446489693362605,0.680593574656993,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"27","Dolosigranulum",0.529941398659203,0.5664401148626,0.492632405977119,-0.0397646955989934,4.9870222510332,-0.00663978546461797,0.497200000009334,0.578866753861555,0.778670542049747,0.577483333664657,0.781667586308035,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum",NA
"28","Corynebacterium",2.02395718795333,2.10003542403872,1.95108073644416,-0.523319346282189,7.01034118536879,-0.0711744681990443,0.467306538801664,0.318061324799995,0.595812467385132,0.353399687137634,0.641777584856795,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium",NA
"29","Streptobacillus",1.52046751037414,0.966542787130201,2.29797874975606,1.66169893766415,6.38413577619002,0.240581789938812,0.397400000357034,0.0127384437064292,0.0579087022159907,0.00911766778905111,0.046732212004588,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Streptobacillus",NA
"30","Oribacterium",4.26367041880469,6.43825158517535,2.35668305040181,-1.91910761199781,6.91880235685797,-0.27924753799425,0.366400000479573,0.000866573003629119,0.00854084428583141,0.000141324010597482,0.00209390107992715,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Oribacterium",NA
"31","ASV_112",0.505813621623904,0.479725550991424,0.533738831868025,0.168273192267491,5.05715641434715,0.0306790226138621,0.483000000056732,0.528389717301012,0.747394148016818,0.511463233019724,0.736045179270964,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","ASV_112",NA
"32","Stomatobaculum",2.5588625820792,2.44849856636885,2.66947297837682,-0.0701527857650435,6.96796722014654,-0.00934754021442036,0.494800000017335,0.681694311280242,0.854714173575502,0.711126304917069,0.884613615855881,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Stomatobaculum",NA
"33","Lachnoanaerobaculum",5.42151256579687,6.15800529269474,3.35072841424106,-1.0755966786984,6.52505155230593,-0.15982776871431,0.408718256663368,0.0237286525044135,0.107838316067023,0.0103835960786235,0.0698904488172261,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoanaerobaculum",NA
"34","ASV_120",0.393219862249744,0.468261548188266,0.321870266586089,-0.141319583527004,4.47013851963556,-0.0236370156713834,0.487102579527106,0.489540995233441,0.689440279578583,0.500969350487417,0.710539112759666,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","ASV_120",NA
"35","ASV_126",0.369429788312659,0.416042745132125,0.323830568042412,-0.0541280787568619,4.37171030526549,-0.0103512873474201,0.494501099798368,0.516889436522716,0.723409549974147,0.497025267831735,0.71263987739711,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","ASV_126","ASV_126",NA
"36","Mannheimia",0.81575070240152,0.825645206159503,0.806751224592281,-0.0133177522122496,5.88245325331009,-0.00186094949113808,0.498200000006,0.582942723127092,0.787440074208454,0.548030358541818,0.767335272143589,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia",NA
"37","TM7x",2.32727182343285,2.77124980128367,1.97829490301241,-0.882672351032842,6.41928109900272,-0.129077041622482,0.440511897821537,0.157419682563969,0.371373006430548,0.112773483108577,0.321566812229272,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7x",NA
"38","Tropheryma",0.485894530935821,0.48686691229395,0.484934706607624,0.0117189458072415,4.8114142177258,0.00234705814664843,0.498900219959673,0.556340282383092,0.758401839090064,0.521721458823772,0.74051630241738,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Tropheryma",NA
"39","Solobacterium",2.29345964364505,2.24658769999617,2.3410059345572,0.0863012974178083,5.9417575418808,0.0157472102179988,0.493600000021337,0.636975334833717,0.825182987096675,0.65455450295888,0.847708791959694,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Solobacterium",NA
"40","Peptostreptococcus",3.1336821601903,3.19502132091766,3.07102493322399,0.109954382856988,6.07760136051773,0.0159826903910528,0.491101779673729,0.650830931085065,0.845475327023507,0.694096594127105,0.877094564034698,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptostreptococcus",NA
"41","Abiotrophia",1.41561242282576,1.77183506255401,1.11605299455091,-0.803182139506209,6.49762162741608,-0.120403377537877,0.44200000019597,0.0726305397480322,0.230601538769947,0.0799716342100887,0.253755042350424,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia",NA
"42","Oceanivirga",0.62184974721497,0.4701150325382,0.800015517091847,0.508045984577242,5.23858172573172,0.0845388785099428,0.453109378282001,0.220774494643173,0.432966385217286,0.282720547107535,0.510149303365762,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Oceanivirga",NA
"43","ASV_157",0.575465347529285,0.491034189842772,0.666834198348897,0.177190445163142,4.84518640868675,0.0327951094849304,0.482200000059409,0.379690639359682,0.617771204170828,0.450477434853941,0.686667507286581,"Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","ASV_157","ASV_157",NA
"44","ASV_163",0.646419835198961,0.788649850050382,0.498339671002743,-0.357794660586253,5.18810901826828,-0.0593593124937795,0.466400000112508,0.316489948393633,0.538044672812559,0.394736562472977,0.622540650561614,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","ASV_163","ASV_163",NA
"45","Bordetella",0.335676384487868,0.337068737131835,0.333984535983087,0.0374180301306426,4.36714808575812,0.00710746100017386,0.495400000015334,0.517205669340142,0.726971906932846,0.529444587194384,0.746795598583807,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella",NA
