"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-1.35246444173834,0.0804938246249326,-16.8020894527034,3.75611242740481e-45
"mu.trial_armPlacebo",-0.297479503133844,0.109470782361332,-2.71743287767824,0.00696012385124729
"phi.(Intercept)",-1.48275428254573,0.0823182255498773,-18.0124665302378,1.00202951430848e-49
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-1.10894192572761,0.0955857986880881,-11.6015343382364,5.70646404196685e-26
"mu.trial_armPlacebo",0.38265488786902,0.126921384155165,3.01489690185867,0.00278956835513886
"phi.(Intercept)",-0.708148803002512,0.074307248001334,-9.53000981801666,5.4911302924882e-19
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-1.36549274786414,0.0621172563336381,-21.9825025839832,1.50326524690813e-64
"mu.trial_armPlacebo",-0.447099452420643,0.0899137050063302,-4.97253952986551,1.11199721335108e-06
"phi.(Intercept)",-2.16624469602545,0.0814481533821958,-26.59660908284,5.21808343906046e-81
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-2.14066129571054,0.0861367663063521,-24.8518883109347,6.61260679828377e-75
"mu.trial_armPlacebo",-0.421020774677813,0.11084254107619,-3.79836812283486,0.000176206215107828
"phi.(Intercept)",-1.90158902699108,0.09345726816972,-20.3471497105796,1.70026083892831e-58
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.08235213429623,0.241533923091326,-16.9017754609676,1.57775773425917e-45
"mu.trial_armPlacebo",1.09031201033484,0.208162580810113,5.23779060622539,3.05904503730292e-07
"phi.(Intercept)",-0.472343923604642,0.199901683405099,-2.36288117017725,0.0187692247981834
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-2.8210673164133,0.0746683107162549,-37.7813196703159,2.89252088648563e-116
"mu.trial_armPlacebo",-0.642902656371239,0.102784752934525,-6.25484459529496,1.36306111158551e-09
"phi.(Intercept)",-2.88240785327867,0.095051122903877,-30.3248164274039,1.65415715838087e-93
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.60205219923911,0.0975384280523666,-36.929569926073,8.21906130262977e-114
"mu.trial_armPlacebo",0.147118943216457,0.109923824518636,1.33837176663658,0.181785354593161
"phi.(Intercept)",-2.90192571844908,0.104193140847224,-27.851408402249,2.67231513858298e-85
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.42443779489396,0.0923434188481446,-37.0837233189874,2.93821264640924e-114
"mu.trial_armPlacebo",-0.115452208397076,0.108001501237235,-1.06898707031372,0.285932014793467
"phi.(Intercept)",-2.89046734465338,0.102215496292006,-28.2781716032174,9.70249697419414e-87
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.63585311776492,0.0999192364229305,-36.3879193629479,3.11912186322367e-112
"mu.trial_armPlacebo",-0.77040483883931,0.120694923070976,-6.38307576853307,6.55300903483048e-10
"phi.(Intercept)",-2.99565225989463,0.11637866371902,-25.7405624378641,4.92439942599898e-78
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.28113080340977,0.198968213089759,-21.5166570424918,7.79295326901024e-63
"mu.trial_armPlacebo",0.414972957874921,0.169054034312948,2.45467645632599,0.0146669886141743
"phi.(Intercept)",-1.70598559075082,0.189288072991936,-9.01264175700864,2.38900467132922e-17
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.28529152738292,0.0673164815750659,-63.6588756143518,1.14160961924401e-176
"mu.trial_armPlacebo",-0.359530811057988,0.0916969799546246,-3.92085771239029,0.000109312902757853
"phi.(Intercept)",-4.51452128850041,0.0936911249201565,-48.1851540617927,1.54331026982029e-143
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.77346807793325,0.0977765136215578,-38.5927861218123,1.43593149402736e-118
"mu.trial_armPlacebo",-0.13320784290633,0.11209750912097,-1.1883211674452,0.235643644284664
"phi.(Intercept)",-3.10041686439898,0.108066988025654,-28.6897684579028,4.0494757322331e-88
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.7267701104188,0.112634042993946,-33.0874219850131,2.7801541990972e-102
"mu.trial_armPlacebo",-0.230014851629412,0.120216944191179,-1.91333137917417,0.0566541364888584
"phi.(Intercept)",-2.7130427164806,0.119674381647059,-22.6702045930083,4.58736527578205e-67
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-3.53066462072305,0.0899491215253256,-39.2517965806812,2.03918360643576e-120
"mu.trial_armPlacebo",-0.632952632962728,0.114489416935921,-5.52848158286097,7.00963724971798e-08
"phi.(Intercept)",-3.12566576965755,0.108299549624366,-28.8612997976338,1.08447830539141e-88
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-5.73863972128739,0.198670467989752,-28.8852177143076,9.02744626133079e-89
"mu.trial_armPlacebo",0.888017750601809,0.170954664336633,5.19446342132662,3.79038116906327e-07
"phi.(Intercept)",-3.13534440864908,0.183651813721431,-17.0722213144318,3.57980339187575e-46
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.12778808298259,0.068917203196062,-59.8948867852266,2.77617026433332e-169
"mu.trial_armPlacebo",-0.488383587507285,0.0963274787010843,-5.07003395181553,6.96163627589117e-07
"phi.(Intercept)",-4.31951728210605,0.0971976782159057,-44.4405397473701,2.90949359509858e-134
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-11.4658837365013,1.71041971111123,-6.70354981412842,1.00337656737107e-10
"mu.trial_armPlacebo",0.0285328229820232,1.41422518691911,0.0201755867777903,0.983916670249654
"phi.(Intercept)",-4.85911675760983,1.7499827783969,-2.77666547213745,0.00583626093558118
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-5.76336925927398,0.214567958409585,-26.860344396214,6.43789476857504e-82
"mu.trial_armPlacebo",-0.501246434436959,0.196848461778453,-2.54635687730746,0.0113834323082413
"phi.(Intercept)",-3.44122743199086,0.227989765319235,-15.0937803158506,1.02195015776582e-38
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-4.45936933568937,0.10567991650065,-42.1969422701233,2.00449120752756e-128
"mu.trial_armPlacebo",-0.533749682366008,0.124653839126668,-4.28185514465892,2.4951977136618e-05
"phi.(Intercept)",-3.67146657411991,0.122697008607352,-29.9230324829607,3.38272926534315e-92
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.14635732993251,0.958820256306114,-6.41033320844884,5.60056035469881e-10
"mu.trial_armPlacebo",-1.59805151152683,1.0961722523889,-1.45784707471311,0.145925246603668
"phi.(Intercept)",-0.485299366667493,0.991057490892228,-0.489678319499495,0.624718227175273
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.47299157726119,0.278419963803877,-23.2490209711429,3.63013038340163e-69
"mu.trial_armPlacebo",0.720983571153458,0.221627512856128,3.25313207670878,0.0012712151080794
"phi.(Intercept)",-3.18735854311549,0.262845405562466,-12.1263620198908,7.96452818533089e-28
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-5.47201628474662,0.106008621724128,-51.618596636288,1.44326604934543e-151
"mu.trial_armPlacebo",-0.165977477922048,0.120408887684983,-1.3784487267774,0.169088451806131
"phi.(Intercept)",-4.63424385140384,0.120195130212208,-38.5560034189569,1.82339589172739e-118
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.27282451000697,0.181475748513122,-34.5656351407935,8.26521327909447e-107
"mu.trial_armPlacebo",-0.255790356289914,0.170927456333882,-1.49648489351099,0.135575132885979
"phi.(Intercept)",-4.26046443803405,0.192445323869604,-22.1385708541343,4.02232098897836e-65
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.30755552237396,0.382698161451511,-16.4818025214713,6.08984620036292e-44
"mu.trial_armPlacebo",-0.38346188970545,0.306919190150711,-1.24939039985461,0.212492982389838
"phi.(Intercept)",-2.73053599828679,0.395397537018842,-6.90579920875093,2.97018541742115e-11
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.07609288790052,0.159253731231373,-38.1535354991013,2.51402417828796e-117
"mu.trial_armPlacebo",-0.420211389398138,0.165054760307298,-2.54589076144058,0.0113983149695677
"phi.(Intercept)",-4.39566185168058,0.175063218184,-25.1089971798675,8.15247711413619e-76
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.77084312946363,1.49005785782084,-5.21512845201073,3.42258646389624e-07
"mu.trial_armPlacebo",-21.378287542449,25493.3341070462,-0.000838583429404792,0.999331462800501
"phi.(Intercept)",-1.76890506692742,1.59349365420464,-1.11007976860148,0.267850683912112
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.12609609129009,0.617285227567318,-13.1642484355482,1.43577335807364e-31
"mu.trial_armPlacebo",0.345794765703174,0.464770531388639,0.744011813033865,0.457449731918382
"phi.(Intercept)",-3.36683928708791,0.607595859785455,-5.5412479082342,6.56130653683436e-08
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.08244851747667,0.230588080251351,-26.3779832454763,2.97591511706663e-80
"mu.trial_armPlacebo",-0.120575336626823,0.19595241978154,-0.615329664013581,0.538801974561364
"phi.(Intercept)",-3.50273170625813,0.237480450497688,-14.7495581169627,1.98282780231148e-37
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.10048433431805,0.307184194323485,-23.1147450472037,1.11213186711367e-68
"mu.trial_armPlacebo",1.08448362543548,0.247017705326856,4.39030726158064,1.56886515136617e-05
