"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","Haemophilus",31,FALSE,FALSE,FALSE,TRUE
"2","Moraxella",47,TRUE,TRUE,TRUE,TRUE
"3","Veillonella",45,FALSE,TRUE,TRUE,TRUE
"4","Lautropia",49,TRUE,TRUE,TRUE,TRUE
"5","Rothia",42,FALSE,TRUE,TRUE,TRUE
"6","Aggregatibacter",47,TRUE,TRUE,TRUE,TRUE
"7","Actinomyces",33,FALSE,FALSE,FALSE,TRUE
"8","ASV_62",42,FALSE,TRUE,TRUE,TRUE
"9","Streptobacillus",43,FALSE,TRUE,TRUE,TRUE
"10","Oribacterium",35,FALSE,FALSE,FALSE,TRUE
"11","Treponema",46,TRUE,TRUE,TRUE,TRUE
"12","ASV_205",39,FALSE,FALSE,TRUE,TRUE
"13","Peptococcus",33,FALSE,FALSE,FALSE,TRUE
