"","ASVs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","Neisseria",2960.10861496207,-0.000104836920701177,0.00144456019840506,0.533185163517318,0.674861694473417
"2","Haemophilus",9800.96520972964,7.36391797687315e-06,0.00144268387831123,0.206301095833224,0.395410433680346
"3","Streptococcus",2950.77356096801,-0.00150169401268381,0.00242344126787105,0.0911838939544389,0.262153695119012
"4","Prevotella",1066.40674092708,1.08475194393453e-06,0.00144265062422445,0.113589439070307,0.283881903677546
"5","Moraxella",340.941414771933,3.22888281863625,0.703008366976659,2.46602155594436e-13,1.70155487360161e-11
"6","Veillonella",527.069696560397,-0.55626812417767,0.177609757088885,6.11296154604678e-05,0.000843588693354456
"7","Fusobacterium",345.303715043156,0.41645735184581,0.268539179781447,0.00256201807570479,0.0196421385804034
"8","Porphyromonas",374.524430971875,3.14034220039814e-05,0.00144282928722403,0.454046613360158,0.614004822789018
"9","Lautropia",243.183095689325,-1.67359226332959,0.261239665805389,6.30064528263077e-12,1.44914841500508e-10
"10","Actinobacillus",284.414550642629,5.04327551016714e-07,0.0014426899096774,0.798068614567748,0.860417725080854
"11","Gemella",172.645531530373,-7.69438307670602e-06,0.00144264634065601,0.216672251348452,0.404064468730897
"12","Alloprevotella",292.222879272423,-2.17733116286697e-06,0.00144266738299886,0.325660093259516,0.548062108168454
"13","Leptotrichia",231.237765062569,-5.29874762707499e-05,0.0014431606049015,0.665903043269652,0.7657884997601
"14","Rothia",304.569813944235,-1.17888186913493e-05,0.00144269235373676,0.0076866146158933,0.0482160371360579
"15","Aggregatibacter",75.9428176806356,-1.61561155455488e-06,0.00144268923352069,0.11519845366625,0.283881903677546
"16","Granulicatella",187.714021874874,-0.00011805009949548,0.00144506981161315,0.292726480511717,0.531529661981801
"17","Escherichia/Shigella",0.0211932100465,2.54876140963117e-07,0.00144269496331924,0.983532793930537,NA
"18","ASV_52",32.6378709613981,-1.82561960404838e-06,0.00144269135455812,0.341960105366011,0.561791601672732
"19","Actinomyces",103.180957596677,-1.01701983686694e-05,0.00144269031750693,0.0287364303344296,0.132187579538376
"20","Pseudomonas",0.11797201605928,-1.63077137012791e-07,0.00144269490359445,0.776898858259442,NA
"21","ASV_62",19.241276155473,5.19969240758442e-07,0.00144269158320029,0.185093749756674,0.375631433329721
"22","Campylobacter",40.5839124695128,1.75148775187509e-06,0.00144266532754394,0.712714642006008,0.793182424167977
"23","Bergeyella",20.5347664784275,-7.98552155880198e-06,0.00144269974024227,0.454130252356463,0.614004822789018
"24","ASV_68",16.6442579050839,-9.88275650479142e-07,0.00144269394172987,0.390634846775513,0.573485200585327
"25","ASV_77",26.4526322088467,2.74256848761656e-06,0.0014426880284441,0.37819155157394,0.573485200585327
"26","Enterococcus",0.0735463347653149,-3.541382447558e-07,0.00144269506092262,0.862474591727078,NA
"27","Dolosigranulum",1.47586271751939,-8.73508285932398e-07,0.00144269493999448,0.885285170808587,0.925525405845341
"28","Corynebacterium",20.5568497227116,-6.4959723447022e-06,0.00144270090584971,0.00232335274549932,0.0196421385804034
"29","Streptobacillus",12.0670104992454,3.20194711024025e-06,0.00144269430290618,0.0417849971676645,0.16836149398679
"30","Oribacterium",17.1405294998412,-6.80469467407143e-06,0.00144269416545521,0.00873382269936283,0.0502194805213363
"31","ASV_112",4.34432967341767,1.89957165590033e-07,0.001442694898958,0.422947635012459,0.595579322772646
"32","Stomatobaculum",12.3238502364212,-1.18908567190276e-06,0.00144268855663594,0.587947605485085,0.699454909973635
"33","Lachnoanaerobaculum",12.6952938156873,-4.61016228872812e-06,0.00144268534888309,0.140996015273408,0.335473277719488
"34","ASV_120",0.837727987996816,-5.23446979401971e-08,0.00144269486065182,0.462728272246796,0.614004822789018
"35","ASV_126",0.136005328091493,3.93014633569712e-07,0.00144269505326737,0.941227726630387,NA
"36","Mannheimia",4.6418038636038,-8.30243241360211e-07,0.00144269396874737,0.615625337171653,0.719968614658373
"37","TM7x",7.9058367684186,-4.10218134801036e-06,0.00144269158270967,0.0631729831316073,0.20756837314671
"38","Tropheryma",1.65887025147015,-5.32506890404368e-07,0.0014426948809557,0.986390055523272,0.986390055523272
"39","Solobacterium",4.41138070637754,3.270596992817e-06,0.00144268900010752,0.179071755706049,0.375631433329721
"40","Peptostreptococcus",6.81192147084698,3.9589723372002e-06,0.001442687409361,0.379340106925503,0.573485200585327
"41","Abiotrophia",7.12529006682783,-3.02130515505021e-06,0.00144269371236119,0.0439492020226584,0.16836149398679
"42","Oceanivirga",1.70248041287876,-7.9369980321138e-07,0.00144269435118585,0.00455230442872098,0.0314109005581748
"43","ASV_157",1.21008845724866,1.24665608709731e-06,0.00144269503321477,0.0714439663170534,0.224074257994395
"44","ASV_163",1.5787859352188,-1.4625312214227e-06,0.00144269496936007,0.508500123270281,0.662009594446214
"45","Bordetella",1.05255037129922,3.71438301444509e-07,0.00144269506148935,0.190893663179347,0.376333221696428
"46","ASV_180",5.02424572419229,-9.43856344353501e-07,0.00144269404454264,0.318076497881814,0.548062108168454
"47","ASV_182",1.71878342990658,-1.02913267694298e-07,0.00144269447636959,0.927848983769205,0.95554596835933
"48","ASV_187",0.896839418798222,8.04133227194658e-07,0.00144269501942647,0.162137668018527,0.360887067525108
"49","Treponema",7.44194721094996,5.03895106720993,0.700771101056012,2.69074933147351e-12,9.28308519358361e-11
"50","Eikenella",2.49080425687611,-4.90931492837043e-08,0.00144269431625759,0.38651324032139,0.573485200585327
"51","ASV_203",0.695816399742573,2.54574717047566e-07,0.00144269495274014,0.401965624788945,NA
"52","ASV_205",1.46778569902932,2.24837233933252e-06,0.00144269518096849,0.0195052577798638,0.0961330562007573
"53","ASV_209",0.988809575106441,2.00444240845379e-06,0.00144269499125787,0.0422419477477531,0.16836149398679
"54","F0058",4.57953775305229,-4.24929304457394e-06,0.00144269678224949,3.00915082622152e-06,5.19078517523212e-05
"55","ASV_214",3.58936496545489,3.57080710031433e-07,0.00144269504375186,0.0586504718479112,0.202344127875294
"56","ASV_216",0.537389242007061,6.1664017949402e-07,0.00144269473276566,0.931389184913082,NA
"57","Conchiformibius",4.94775841019411,-7.42413725889684e-07,0.00144269345447632,0.753972939921797,0.825779886581016
"58","Hydrogenophaga",0.586779230017236,2.26414361763649e-07,0.00144269443619095,0.983810895995894,NA
"59","Catonella",5.53654974871857,-2.31755251294244e-07,0.0014426894984596,0.984611262414803,0.986390055523272
"60","Candidatus_Saccharimonas",4.30657583449816,-7.14055654358781e-06,0.0014427011971186,0.000758626825856617,0.00747789299772951
"61","ASV_239",1.67699645547678,1.22030494023522e-07,0.00144269401558186,0.580675584347351,0.699454909973635
"62","ASV_242",0.333108042844966,2.88685265918272e-07,0.00144269505140605,0.417482393472326,NA
"63","Mogibacterium",2.26907371588025,-1.59982647840826e-06,0.00144269181056026,0.314021817750319,0.548062108168454
"64","Atopobium",3.7783903588238,-1.05251037704431e-06,0.00144268989776202,0.0463604113876669,0.16836149398679
"65","Selenomonas",2.35311845775628,1.25227871827519e-06,0.00144269223752646,0.406373985628833,0.584162604341447
"66","ASV_260",0.465583997402862,-2.68282139718307e-07,0.00144269496481948,0.415222685650649,NA
"67","Cardiobacterium",2.12898296972649,7.30850591967409e-07,0.00144269257354372,0.100262249219637,0.276723807846199
"68","ASV_280",0.255504391344153,4.36804971318087e-07,0.00144269506619749,0.476641274368653,NA
"69","ASV_283",0.732628053245324,-4.08845599490623e-07,0.00144269473632878,0.543264134950134,0.674861694473417
"70","Comamonas",0.847121392230735,9.44385724525031e-07,0.00144269476149731,0.185014919939556,0.375631433329721
"71","Capnocytophaga",5.37992486046188,-6.55133781524626e-06,0.00144269884589669,0.000245489555720306,0.00282312989078352
"72","ASV_286",0.044308291319968,1.83386489254532e-07,0.00144269490580921,0.842522351302202,NA
"73","Kingella",2.76237158396094,9.20031294831209e-07,0.00144269383251472,0.354569767920659,0.568960790384314
"74","Butyrivibrio",1.16090041164545,2.76100513721505e-07,0.00144269320595668,0.547713838992918,0.674861694473417
"75","ASV_307",0.729856676427124,1.1330525396238e-06,0.00144269479730336,0.105796093698126,0.280766556352719
"76","Mycoplasma",2.16392254509525,-2.05540172214953e-07,0.0014426929466212,0.683091378903563,0.772677133513867
"77","Tannerella",2.36617493822964,2.66397889140127e-07,0.00144269270414894,0.0852219049155994,0.255665714746798
"78","Parvimonas",1.24899627704771,2.28076410115122e-06,0.00144269451286721,0.822888672768915,0.87352797570854
"79","ASV_329",0.121434604063818,1.57271924060812e-08,0.00144269486066462,0.72421100492074,NA
