taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Neisseria,18,FALSE,FALSE,FALSE,FALSE
Haemophilus,31,FALSE,FALSE,FALSE,TRUE
Streptococcus,27,FALSE,FALSE,FALSE,FALSE
Prevotella,21,FALSE,FALSE,FALSE,FALSE
Moraxella,47,TRUE,TRUE,TRUE,TRUE
Veillonella,45,FALSE,TRUE,TRUE,TRUE
Fusobacterium,26,FALSE,FALSE,FALSE,FALSE
Porphyromonas,12,FALSE,FALSE,FALSE,FALSE
Lautropia,49,TRUE,TRUE,TRUE,TRUE
Actinobacillus,23,FALSE,FALSE,FALSE,FALSE
Gemella,26,FALSE,FALSE,FALSE,FALSE
Alloprevotella,7,FALSE,FALSE,FALSE,FALSE
Leptotrichia,8,FALSE,FALSE,FALSE,FALSE
Rothia,42,FALSE,TRUE,TRUE,TRUE
Aggregatibacter,47,TRUE,TRUE,TRUE,TRUE
Granulicatella,29,FALSE,FALSE,FALSE,FALSE
ASV_52,11,FALSE,FALSE,FALSE,FALSE
Actinomyces,33,FALSE,FALSE,FALSE,TRUE
ASV_62,42,FALSE,TRUE,TRUE,TRUE
Campylobacter,11,FALSE,FALSE,FALSE,FALSE
Bergeyella,11,FALSE,FALSE,FALSE,FALSE
ASV_68,15,FALSE,FALSE,FALSE,FALSE
ASV_77,11,FALSE,FALSE,FALSE,FALSE
Corynebacterium,9,FALSE,FALSE,FALSE,FALSE
Streptobacillus,43,FALSE,TRUE,TRUE,TRUE
Oribacterium,35,FALSE,FALSE,FALSE,TRUE
Stomatobaculum,17,FALSE,FALSE,FALSE,FALSE
Lachnoanaerobaculum,17,FALSE,FALSE,FALSE,FALSE
Mannheimia,19,FALSE,FALSE,FALSE,FALSE
TM7x,13,FALSE,FALSE,FALSE,FALSE
Solobacterium,22,FALSE,FALSE,FALSE,FALSE
Peptostreptococcus,19,FALSE,FALSE,FALSE,FALSE
Abiotrophia,15,FALSE,FALSE,FALSE,FALSE
ASV_180,14,FALSE,FALSE,FALSE,FALSE
Treponema,46,TRUE,TRUE,TRUE,TRUE
ASV_205,39,FALSE,FALSE,TRUE,TRUE
F0058,28,FALSE,FALSE,FALSE,FALSE
Conchiformibius,15,FALSE,FALSE,FALSE,FALSE
Catonella,19,FALSE,FALSE,FALSE,FALSE
Candidatus_Saccharimonas,22,FALSE,FALSE,FALSE,FALSE
Mogibacterium,15,FALSE,FALSE,FALSE,FALSE
Atopobium,20,FALSE,FALSE,FALSE,FALSE
Selenomonas,27,FALSE,FALSE,FALSE,FALSE
Cardiobacterium,16,FALSE,FALSE,FALSE,FALSE
Capnocytophaga,21,FALSE,FALSE,FALSE,FALSE
Kingella,17,FALSE,FALSE,FALSE,FALSE
Butyrivibrio,24,FALSE,FALSE,FALSE,FALSE
Mycoplasma,19,FALSE,FALSE,FALSE,FALSE
Tannerella,15,FALSE,FALSE,FALSE,FALSE
Parvimonas,22,FALSE,FALSE,FALSE,FALSE
ASV_331,18,FALSE,FALSE,FALSE,FALSE
Peptococcus,33,FALSE,FALSE,FALSE,TRUE
