"","taxon","stat","p","p.adj"
"1","Neisseria",13496,0.0111163790203506,0.0629928144486536
"2","Haemophilus",9480,0.00691629382208075,0.0452219211443741
"3","Streptococcus",14657,5.03043518010803e-05,0.000777430891471241
"4","Prevotella",13744,0.00420078527244555,0.0340063569674163
"5","Moraxella",7674,4.24100114792184e-07,1.44194039029343e-05
"6","Veillonella",15843,2.11862389571656e-08,9.00415155679538e-07
"7","Fusobacterium",10030,0.0473609506365157,0.16431350220832
"8","Porphyromonas",13363,0.0180084512708434,0.0850399087789826
"9","Lautropia",16027,5.15288810072607e-09,4.37995488561716e-07
"10","Actinobacillus",9813,0.0234355431621656,0.104843219409688
"11","Gemella",14526,0.000103072088105499,0.00146018791482791
"12","Alloprevotella",12094,0.478133969231163,0.545521978317435
"13","Leptotrichia",11909,0.639878579555953,0.684146908959194
"14","Rothia",15085,3.97319643671312e-06,9.64919134630329e-05
"15","Aggregatibacter",7127,7.84831355976636e-09,4.44737768386761e-07
"16","Granulicatella",15040,5.26225208109974e-06,9.93980948652174e-05
"17","Escherichia/Shigella",10589,0.210015669551742,0.336696057158824
"18","ASV_52",12279,0.341733594717435,0.420976167405536
"19","Actinomyces",14231,0.000468326415076338,0.00497596816018609
"20","Pseudomonas",11004,0.476516068154997,0.545521978317435
"21","ASV_62",8196,1.2056624835433e-05,0.000204962622202361
"22","Campylobacter",12070,0.497781025965233,0.560415724596619
"23","Bergeyella",12439,0.246229169318891,0.370433263577093
"24","ASV_68",10875,0.378712219215548,0.447090814351689
"25","ASV_77",12688,0.137670961694442,0.303948876468248
"26","Enterococcus",10851,0.361982851458602,0.435832505547288
"27","Dolosigranulum",10422,0.141164190642387,0.306818598601635
"28","Corynebacterium",11252,0.697824274796321,0.732284732810954
"29","Streptobacillus",8007,3.77828396814157e-06,9.64919134630329e-05
"30","Oribacterium",14415,0.000185209254174404,0.00242196716997297
"31","ASV_112",10536,0.185938088880854,0.319287627371164
"32","Stomatobaculum",10499,0.170381534364275,0.31905589345179
"33","Lachnoanaerobaculum",13138,0.0382838213624721,0.144627769591561
"34","ASV_120",10762,0.304069901753587,0.397629871523922
"35","ASV_126",10458,0.154305580488362,0.312285103369305
"36","Mannheimia",10331,0.111782719206445,0.267648764297123
"37","TM7x",12132,0.447912504775688,0.521541957615527
"38","Tropheryma",10195,0.0771075564482875,0.222174315189981
"39","Solobacterium",10068,0.053178910848228,0.17726303616076
"40","Peptostreptococcus",10283,0.0983563861906164,0.253342206854618
"41","Abiotrophia",12349,0.297365053865569,0.397353445095205
"42","Oceanivirga",8829,0.000384572669362614,0.00466981098511746
"43","ASV_157",9978,0.0402745640048853,0.148840780018055
"44","ASV_163",11451,0.897713998474735,0.919345661088584
"45","Bordetella",10443,0.148721263030584,0.308324569697553
