"","taxon","stat","p","p.adj"
"1","Neisseria",11455,0.90184628246022,0.929174957686287
"2","Streptococcus",14944,9.47745301473655e-06,0.000201395876563152
"3","Haemophilus",8918,0.000594088758832705,0.00721393492868285
"4","Prevotella",11534,0.983860991319722,0.983860991319722
"5","Moraxella",7667,4.04251329635468e-07,1.37445452076059e-05
"6","Veillonella",15543,1.88329482104031e-07,8.00400298942132e-06
"7","Fusobacterium",9645,0.0129365587245265,0.0845851916603655
"8","Porphyromonas",10992,0.466871924754861,0.547367084195354
"9","Lautropia",16018,5.52905587369104e-09,9.39939498527478e-07
"10","Actinobacillus",9631,0.0122873709142009,0.0835541222165659
"11","Gemella",14466,0.000141838837688022,0.00241126024069638
"12","Alloprevotella",9425,0.00556058161412251,0.042968130654583
"13","Leptotrichia",10701,0.268140816216944,0.42921718348507
"14","Rothia",14204,0.000534167597106185,0.00698526857754242
"15","Aggregatibacter",7267,2.28415217967699e-08,1.78533119706835e-06
"16","Granulicatella",14119,0.000802070424667326,0.00802070424667326
"17","Escherichia/Shigella",10715,0.276117202451685,0.430641508410884
"18","ASV_52",12343,0.301009894596469,0.44469174951633
"19","Actinomyces",14209,0.000521358503641668,0.00698526857754242
"20","Pseudomonas",11073,0.534029224906561,0.605233121560769
"21","ASV_62",8088,6.2571298961788e-06,0.000151958868907199
"22","Campylobacter",10891,0.390125170128426,0.491268732754314
"23","Bergeyella",12486,0.222125575492366,0.401716466315982
"24","ASV_68",10972,0.451041695062551,0.53247977889329
"25","ASV_77",12578,0.179932717457796,0.392161050869555
"26","Enterococcus",10909,0.40321167977245,0.503135733017671
"27","Dolosigranulum",10507,0.173659636377058,0.383404392001297
"28","Corynebacterium",11174,0.624095115646946,0.688936166623252
"29","Streptobacillus",8022,4.15161825725848e-06,0.000117629183955657
"30","Oribacterium",14400,0.000200167711678879,0.00309350099867358
"31","ASV_112",10660,0.245697947591848,0.418589587842115
"32","Stomatobaculum",10430,0.14400750617094,0.354801102160287
"33","Lachnoanaerobaculum",13209,0.0304288244884946,0.129322504076102
"34","ASV_120",10876,0.379419450586893,0.489474437948754
"35","ASV_126",10579,0.20530798325601,0.401537140663537
"36","TM7x",12184,0.408371081367733,0.503135733017671
"37","Tropheryma",10326,0.110320000522045,0.317125213045039
"38","Solobacterium",9932,0.0347761685128483,0.144193869443517
"39","Peptostreptococcus",10334,0.112667667828421,0.317125213045039
"40","Abiotrophia",12391,0.272679151861103,0.42921718348507
"41","Oceanivirga",8980,0.000798297622313363,0.00802070424667326
"42","ASV_157",10106,0.0595822267017091,0.224139482676016
"43","ASV_163",11472,0.919436835860173,0.941591940338731
"44","Bordetella",10596,0.213357222711364,0.401537140663537
"45","ASV_180",11452,0.898746813911865,0.929174957686287
"46","ASV_182",10740,0.290759763492009,0.4413317838718
"47","ASV_187",9718,0.0168373341092426,0.0987016137438359
"48","Treponema",7310,3.15058446541473e-08,1.78533119706835e-06
"49","Mannheimia",10466,0.157348309270404,0.370359697420776
"50","Eikenella",11216,0.663386958228183,0.709281653451517
"51","ASV_203",10855,0.364738454730817,0.482485247134806
"52","ASV_205",8358,3.111621043893e-05,0.000587750641624234
"53","ASV_209",8965,0.000743646312137548,0.00802070424667326
"54","F0058",13888,0.00228378912455851,0.0204339026934182
"55","ASV_214",10676,0.254294206311999,0.42150637675364
"56","ASV_216",10883,0.384392783288866,0.489474437948754
"57","Conchiformibius",10885,0.385821027559606,0.489474437948754
"58","Hydrogenophaga",10596,0.213357222711364,0.401537140663537
"59","Catonella",9843,0.0259401498541199,0.119184472302713
"60","Candidatus_Saccharimonas",12988,0.0606495070770397,0.224139482676016
"61","ASV_239",10767,0.30715049946233,0.44469174951633
"62","ASV_242",10228,0.0845899165612479,0.263649312722417
"63","Mogibacterium",11822,0.7230936520273,0.768287005279006
"64","Atopobium",13287,0.0234355431621656,0.119184472302713
"65","Selenomonas",9842,0.0258530750490303,0.119184472302713
"66","ASV_260",11179,0.628719858111816,0.689563715348444
"67","Cardiobacterium",11911,0.638013036078603,0.690842140976831
"68","ASV_280",9889,0.0302292684680696,0.129322504076102
"69","ASV_283",11135,0.588540223484864,0.658235776265966
"70","Comamonas",9812,0.0233558025106179,0.119184472302713
"71","Capnocytophaga",13259,0.0257662531103988,0.119184472302713
"72","ASV_286",10652,0.24147709807428,0.418589587842115
"73","Kingella",11300,0.744715173833087,0.786345214606365
"74","Butyrivibrio",10363,0.121509470681491,0.327882698664341
"75","ASV_307",9507,0.00768485481395892,0.0568011007988268
"76","Mycoplasma",10796,0.325424238948083,0.453460005091591
"77","Tannerella",11451,0.897713998474735,0.929174957686287
"78","Parvimonas",10344,0.115657430639955,0.317125213045039
"79","ASV_329",10609,0.219664435774759,0.401537140663537
"80","ASV_331",11577,0.972411119352431,0.983860991319722
"81","Filifactor",9531,0.0084313616116762,0.0597221447493731
"82","Dialister",9856,0.0270954017372671,0.121216270929879
"83","ASV_339",11215,0.66244003244463,0.709281653451517
"84","Peptococcus",9154,0.00177019835620355,0.0167185400308113
"85","Staphylococcus",10661,0.246229169318891,0.418589587842115
"86","ASV_372",10641,0.235757161708749,0.41748664052591
"87","Hyphomicrobium",10926,0.415809474337303,0.503135733017671
"88","ASV_383",10917,0.409111335056437,0.503135733017671
"89","Psychrobacter",11124,0.578683703797244,0.651498209573056
"90","ASV_409",11141,0.593948986761614,0.659943318624015
"91","F0332",10999,0.4724844680359,0.550153147713034
"92","ASV_422",9833,0.0250807105461702,0.119184472302713
"93","ASV_426",10727,0.283081676109706,0.437144112779372
"94","Peptoanaerobacter",9314,0.00352860875895963,0.0285649280487208
"95","Lentimicrobium",9661,0.0137154860415626,0.0863567639653942
"96","Delftia",10582,0.20671216387276,0.401537140663537
"97","Sphingopyxis",10782,0.3165158923028,0.44469174951633
"98","ASV_461",10324,0.109739163645971,0.317125213045039
"99","ASV_472",10630,0.230133759277904,0.411818306076248
"100","ASV_485",10161,0.0699717538254419,0.234586490372745
"101","Amnipila",9715,0.0166586656986897,0.0987016137438359
"102","Rodentibacter",10928,0.417306696208775,0.503135733017671
"103","Bulleidia",10077,0.054641051179889,0.211113152285935
"104","ASV_508",10125,0.0630163528449343,0.227931489013592
"105","Rikenellaceae_RC9_gut_group",9839,0.0255933654858338,0.119184472302713
"106","ASV_525",10825,0.34439081708498,0.468257157971604
"107","Sneathia",10573,0.202520446855165,0.401537140663537
"108","Alysiella",10805,0.331236322539563,0.457806299444924
"109","ASV_540",11516,0.965127647546138,0.982465269957147
"110","ASV_543",10705,0.270403456289098,0.42921718348507
"111","Centipeda",10151,0.0679792707548607,0.234586490372745
"112","ASV_561",10386,0.128900462120933,0.33541716837651
"113","Carnobacterium",10772,0.310251694222563,0.44469174951633
"114","Defluviitaleaceae_UCG-011",9311,0.00348456197278257,0.0285649280487208
"115","ASV_591",10670,0.251046404623352,0.42150637675364
"116","ASV_596",10678,0.255383275327205,0.42150637675364
"117","ASV_613",10683,0.258120118507736,0.421927116791491
"118","Johnsonella",10418,0.13975881066812,0.3493970266703
"119","ASV_639",10318,0.108011146552424,0.317125213045039
"120","ASV_644",10504,0.172424868896619,0.383404392001297
"121","ASV_653",10820,0.341071344409003,0.46759781088331
"122","ASV_682",10410,0.136980381704572,0.347562162533989
"123","ASV_689",10934,0.421817386407993,0.50499264569971
"124","Shuttleworthia",11566,0.983860991319722,0.983860991319722
"125","Family_XIII_UCG-001",10006,0.043969678612753,0.177972508670667
"126","Fretibacterium",9793,0.0218848642550013,0.119184472302713
"127","ASV_761",10775,0.312122299725096,0.44469174951633
"128","ASV_767",10951,0.434751900138184,0.516837923241198
"129","Anaeroglobus",10163,0.0703759471118234,0.234586490372745
"130","ASV_817",10605,0.217709662578983,0.401537140663537
"131","Lactobacillus",11051,0.51531844917804,0.595798212830121
"132","ASV_854",10575,0.203446545009419,0.401537140663537
"133","ASV_860",10770,0.309008744327561,0.44469174951633
"134","ASV_897",10442,0.148354534702648,0.36028958427786
"135","Scardovia",10608,0.219174565529911,0.401537140663537
"136","Acinetobacter",11369,0.81376974863798,0.853955909064546
"137","ASV_934",10489,0.166349383761653,0.37705860319308
"138","Olsenella",10857,0.366121158119941,0.482485247134806
"139","Prevotellaceae_YAB2003_group",10469,0.15850098170888,0.370359697420776
"140","ASV_976",10474,0.160436292095727,0.370359697420776
"141","Mobiluncus",10330,0.111488957943919,0.317125213045039
"142","ASV_1004",10584,0.207652149526329,0.401537140663537
"143","Desulfomicrobium",10231,0.0852983070572525,0.263649312722417
"144","ASV_1054",11188,0.637081122289641,0.690842140976831
"145","ASV_1095",10156,0.0689696011070069,0.234586490372745
"146","ASV_1121",10923,0.4135695986996,0.503135733017671
"147","ASV_1202",10070,0.0535009744959005,0.211113152285935
"148","ASV_1212",10764,0.305299669568591,0.44469174951633
"149","ASV_1230",10866,0.372383709185792,0.48696331201219
"150","ASV_1234",10605,0.217709662578983,0.401537140663537
"151","ASV_1235",10851,0.361982851458602,0.482485247134806
"152","ASV_1258",10223,0.0834198489895768,0.263649312722417
"153","ASV_1272",11068,0.529746837793863,0.604409143791656
"154","ASV_1306",10707,0.271539671312814,0.42921718348507
"155","ASV_1325",10559,0.196123648965143,0.401537140663537
"156","ASV_1343",10731,0.285429391285355,0.437144112779372
"157","ASV_1398",10882,0.383679875625319,0.489474437948754
"158","ASV_1401",10573,0.202520446855165,0.401537140663537
"159","ASV_1415",11055,0.518694914699164,0.595798212830121
"160","ASV_1456",10476,0.161215397700809,0.370359697420776
"161","ASV_1482",10533,0.184638909340467,0.397324235289612
"162","Desulfobulbus",10202,0.0786479380853726,0.257118259125257
"163","ASV_1504",10646,0.238345137478802,0.417718282179344
