"","taxon","stat","p","p.adj"
"1","Neisseria",13538,0.00949127646579288,0.0672298749660329
"2","Haemophilus",9451,0.00616834920212088,0.0476645165618431
"3","Streptococcus",14778,2.52982590224937e-05,0.000390973093983993
"4","Prevotella",13623.5,0.0068218533171346,0.0504223940831688
"5","Moraxella",7730,6.16676090234061e-07,2.09669870679581e-05
"6","Veillonella",15633,9.93179630374136e-08,4.22101342909008e-06
"7","Fusobacterium",10178.5,0.0735732205647209,0.27167243202549
"8","Porphyromonas",13420.5,0.014667355879804,0.0890518035559532
"9","Lautropia",15960.5,8.64307910172262e-09,4.89774482430949e-07
"10","Actinobacillus",9914.5,0.0328398958801921,0.155716201744596
"11","Gemella",14439.5,0.000163012534894688,0.00230934424434141
"12","Alloprevotella",12098,0.474900651889561,0.615983879510627
"13","Leptotrichia",11837.5,0.707987375182491,0.786652639091656
"14","Rothia",15063,4.55957198159804e-06,0.000124718329472885
"15","Aggregatibacter",7137.5,8.47896376295716e-09,4.89774482430949e-07
"16","Granulicatella",15017,6.06693046787525e-06,0.000128922272442349
"17","Escherichia/Shigella",10836,0.35146392281083,0.550267178749087
"18","ASV_52",12334,0.306448010088409,0.531593486888057
"19","Actinomyces",14096,0.000893340767070027,0.0101245286934603
"20","Pseudomonas",11217.5,0.66461439951426,0.743318736298844
"21","ASV_62",8318.5,2.46879038073874e-05,0.000390973093983993
"22","Campylobacter",12038.5,0.52419815177023,0.625395169459632
"23","Bergeyella",12544.5,0.194484075639938,0.467850604615136
"24","ASV_68",11059.5,0.522349857904846,0.625395169459632
"25","ASV_77",12632,0.158076741449619,0.425547940159733
"26","Enterococcus",11083.5,0.542824816802298,0.628267609626552
"27","Dolosigranulum",10624,0.226858558640999,0.482074437112123
"28","Corynebacterium",11319.5,0.763999824898567,0.808720072554656
"29","Streptobacillus",8057,5.13546062535411e-06,0.000124718329472885
"30","Oribacterium",14414.5,0.00018541330949948,0.00242463558576243
"31","ASV_112",10742.5,0.291976583069098,0.531593486888057
"32","Stomatobaculum",10584,0.207581036561507,0.475166215374604
"33","Lachnoanaerobaculum",13181.5,0.0332745716794313,0.155716201744596
"34","ASV_120",11042.5,0.507922717470485,0.625395169459632
"35","ASV_126",10719,0.278128153183716,0.531593486888057
"36","Mannheimia",10509,0.174291502602425,0.44520156394994
"37","TM7x",12128.5,0.450558407889796,0.612759434730122
"38","Tropheryma",10432,0.144495877560406,0.40940498642115
"39","Solobacterium",10186,0.0751094370894,0.27167243202549
"40","Peptostreptococcus",10298.5,0.102495559391594,0.33508163647252
"41","Abiotrophia",12490,0.220017960222687,0.479526323562266
"42","Oceanivirga",9054.5,0.00112242765706546,0.0119257938563205
"43","ASV_157",10213.5,0.0810741707861732,0.281277735380601
"44","ASV_163",11652,0.894565266136925,0.910635300857948
"45","Bordetella",10727.5,0.283070204027187,0.531593486888057
"46","ASV_180",11727.5,0.817234976375182,0.844593686360721
"47","ASV_182",10883.5,0.384483045235768,0.568366240783309
"48","ASV_187",9801.5,0.022454483890493,0.119289445668244
"49","Treponema",5929,2.17252933703809e-13,3.69329987296475e-11
"50","Eikenella",11438.5,0.88476158445392,0.906081140705822
"51","ASV_203",10978.5,0.455886939214945,0.615085552909053
"52","ASV_205",8216,1.34505140081235e-05,0.000254065264597888
"53","ASV_209",9180.5,0.00197944655270583,0.0186947729977773
"54","F0058",14140,0.000723248906409244,0.0087823081492551
"55","ASV_214",10785,0.318110898505561,0.533550467425441
"56","ASV_216",11006.5,0.478293365267075,0.615983879510627
"57","Conchiformibius",10824.5,0.343875732491181,0.546344621714961
"58","Hydrogenophaga",10821.5,0.341797502083969,0.546344621714961
"59","Catonella",9958.5,0.0378090133661792,0.158739782042037
"60","Candidatus_Saccharimonas",13053,0.0498305162960749,0.197004366751924
"61","ASV_239",10965.5,0.445731519034949,0.612078068529737
"62","ASV_242",10373,0.124450825238438,0.377797148045257
"63","Mogibacterium",11951.5,0.600623398741252,0.680706518573419
"64","Atopobium",13384.5,0.0166612920609629,0.0976696431159896
"65","Selenomonas",10002,0.043346638368363,0.175450679110041
"66","ASV_260",11327.5,0.771891375874866,0.810009468510662
"67","Cardiobacterium",12025.5,0.535142515712119,0.628267609626552
"68","ASV_280",9963,0.0382843003748442,0.158739782042037
"69","ASV_283",11286,0.730783205308754,0.791293916576358
"70","Comamonas",9777.5,0.0206748347861554,0.113378126246659
"71","Capnocytophaga",13723.5,0.00455963797451347,0.0387569227833645
"72","ASV_286",10780.5,0.315280723430328,0.533550467425441
"73","Kingella",11210,0.657563602384196,0.740303393412671
"74","Butyrivibrio",10594.5,0.212427249226293,0.475166215374604
"75","ASV_307",9618.5,0.0116877077796838,0.078710436560254
"76","Mycoplasma",11060,0.522755395299231,0.625395169459632
"77","Tannerella",11553.5,0.996874961359252,0.998958067086792
"78","Parvimonas",10535,0.18528737620554,0.456505129781764
"79","ASV_329",10715,0.275828082218756,0.531593486888057
"80","ASV_331",11741.5,0.803077623912477,0.837565620031418
"81","Filifactor",9626.5,0.0120380667680388,0.078710436560254
"82","Dialister",9960,0.0379351424376431,0.158739782042037
"83","ASV_339",11465,0.912136702817935,0.922995473089577
"84","Peptococcus",9077.5,0.00124849025640899,0.0124849025640899
"85","Staphylococcus",10838,0.352818367550885,0.550267178749087
"86","ASV_372",10810.5,0.334515153582119,0.541595962942479
"87","Hyphomicrobium",11135.5,0.588770628872135,0.676290587217993
"88","ASV_383",10995,0.468994755120265,0.615983879510627
"89","Psychrobacter",11284.5,0.729299041307201,0.791293916576358
"90","ASV_409",11303.5,0.748038037316445,0.804851052808833
"91","F0332",11059,0.521856479370323,0.625395169459632
"92","ASV_422",9925,0.0338911733208827,0.155716201744596
"93","ASV_426",10866.5,0.372429212577281,0.560291735735732
"94","Peptoanaerobacter",9361.5,0.00427500152799752,0.0382500136715567
"95","Delftia",10735,0.2874856736875,0.531593486888057
"96","Sphingopyxis",11002.5,0.4750323022051,0.615983879510627
"97","Lentimicrobium",9741,0.0181943521445973,0.103101328819385
"98","ASV_461",10427.5,0.142865256741092,0.40940498642115
