feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_77	trial_arm	Placebo	-0.723106803934714	0.247022516625421	240	102	0.00375063685488258	0.286923719398518
Treponema	trial_arm	Placebo	1.61585147360337	0.537401111721998	240	5	0.00292330695283348	0.286923719398518
Moraxella	trial_arm	Placebo	0.986776972276657	0.39866582146269	240	99	0.0140137463808763	0.381342700468106
Fusobacterium	trial_arm	Placebo	2.08437852899152	0.916558592374633	240	142	0.0238489242116467	0.381342700468106
Lautropia	trial_arm	Placebo	-0.938266655642546	0.382902052251984	240	187	0.0149904325507253	0.381342700468106
Granulicatella	trial_arm	Placebo	-1.21304784480985	0.543631488788635	240	228	0.0265880897138568	0.381342700468106
Actinomyces	trial_arm	Placebo	-1.17920462923768	0.517774572791544	240	175	0.0236473893426518	0.381342700468106
Tropheryma	trial_arm	Placebo	0.269247608953207	0.121326472775607	240	12	0.0274167954584913	0.381342700468106
ASV_422	trial_arm	Placebo	0.0801441030748097	0.0355417598551972	240	4	0.0250474084547978	0.381342700468106
Defluviitaleaceae_UCG.011	trial_arm	Placebo	0.154753718124613	0.0591631823573855	240	8	0.00947347058421898	0.381342700468106
Fretibacterium	trial_arm	Placebo	0.130716951494159	0.0514550353853904	240	6	0.011709015444134	0.381342700468106
ASV_52	trial_arm	Placebo	-0.61222859515772	0.287010775680032	240	90	0.0339383046772537	0.432713384634985
Gemella	trial_arm	Placebo	-0.348048107022185	0.166372943707684	240	225	0.0375007559451905	0.44135505073955
Oceanivirga	trial_arm	Placebo	0.221325789303195	0.109495289423544	240	12	0.0443654380306024	0.452527467912144
ASV_540	trial_arm	Placebo	0.0988447217388635	0.0484404543321315	240	8	0.0424003049978364	0.452527467912144
Streptococcus	trial_arm	Placebo	-2.54778055280864	1.41370227291431	240	236	0.0727784778222266	0.583111279531328
Lentimicrobium	trial_arm	Placebo	0.162532461140606	0.0888131857734024	240	12	0.0684933808331582	0.583111279531328
ASV_485	trial_arm	Placebo	0.0879983949455745	0.0494156172230401	240	6	0.0762236966707618	0.583111279531328
ASV_1095	trial_arm	Placebo	0.0443350881856949	0.0239699465044398	240	2	0.0656093316643396	0.583111279531328
ASV_1802	trial_arm	Placebo	0.0546935580487301	0.030567447606765	240	2	0.0748421113515679	0.583111279531328
Haemophilus	trial_arm	Placebo	1.38902859975858	0.869483349688087	240	234	0.111473687552924	0.588119799848183
Porphyromonas	trial_arm	Placebo	1.03121269257716	0.645138214913743	240	178	0.111272512192538	0.588119799848183
Bergeyella	trial_arm	Placebo	-0.453654498035794	0.277888691481756	240	85	0.103895588895518	0.588119799848183
ASV_68	trial_arm	Placebo	-0.390279165491239	0.230156672173142	240	36	0.091248333132002	0.588119799848183
Streptobacillus	trial_arm	Placebo	0.418968163565062	0.26149165684223	240	86	0.110432476129976	0.588119799848183
Abiotrophia	trial_arm	Placebo	-0.304102794717519	0.186884752037417	240	51	0.105013320103916	0.588119799848183
ASV_533	trial_arm	Placebo	0.0542765480985639	0.0314169225162785	240	2	0.0853533483024846	0.588119799848183
Desulfomicrobium	trial_arm	Placebo	0.0580223167390012	0.0332469911472017	240	2	0.0822424259451365	0.588119799848183
ASV_1098	trial_arm	Placebo	0.0727603461899282	0.0447924683722081	240	2	0.105616617990334	0.588119799848183
Neisseria	trial_arm	Placebo	-2.09217863685229	1.34396203567911	240	220	0.120864635851622	0.596586537072276
Veillonella	trial_arm	Placebo	-1.36051840828912	0.90148486789367	240	203	0.132574786016061	0.596586537072276
ASV_383	trial_arm	Placebo	0.130642109386749	0.0844180048056558	240	10	0.123056410677281	0.596586537072276
ASV_461	trial_arm	Placebo	-0.133241645405695	0.0879698342233949	240	13	0.131193333144993	0.596586537072276
ASV_682	trial_arm	Placebo	0.0914502479941855	0.0594889674339794	240	7	0.125557040745323	0.596586537072276
Candidatus_Saccharimonas	trial_arm	Placebo	-0.174468909826847	0.119226648845172	240	40	0.144694265170199	0.614950626973347
ASV_239	trial_arm	Placebo	-0.172490402584543	0.117018061722156	240	20	0.141789742804117	0.614950626973347
Peptostreptococcus	trial_arm	Placebo	0.237229652492121	0.169857974809506	240	91	0.163824284709662	0.615956489525863
Eikenella	trial_arm	Placebo	0.223731889948252	0.158519858639323	240	15	0.159438277149015	0.615956489525863
F0058	trial_arm	Placebo	-0.218114833499644	0.151787434151623	240	41	0.152038239945096	0.615956489525863
Cardiobacterium	trial_arm	Placebo	-0.185196066117558	0.131809215912434	240	30	0.161315864053397	0.615956489525863
ASV_860	trial_arm	Placebo	-0.0599417998077059	0.0430451141554725	240	3	0.165060235755297	0.615956489525863
Rothia	trial_arm	Placebo	-0.841159149848891	0.666809593927029	240	197	0.208375171622683	0.653017374878448
ASV_157	trial_arm	Placebo	0.20961831081735	0.165890524229541	240	34	0.207612013699004	0.653017374878448
ASV_163	trial_arm	Placebo	0.145711087612069	0.109402955498585	240	11	0.184175247973297	0.653017374878448
Selenomonas	trial_arm	Placebo	0.21416925550808	0.162185694608419	240	35	0.187930299187823	0.653017374878448
Butyrivibrio	trial_arm	Placebo	-0.152626674082067	0.121683468911027	240	39	0.210966137612341	0.653017374878448
Mycoplasma	trial_arm	Placebo	0.179939768397865	0.1442289354992	240	32	0.21340437087531	0.653017374878448
Filifactor	trial_arm	Placebo	0.133655200668277	0.103975239283953	240	24	0.199883707679869	0.653017374878448
Rodentibacter	trial_arm	Placebo	-0.132248917083728	0.102927114743577	240	5	0.200083540897014	0.653017374878448
ASV_817	trial_arm	Placebo	-0.0620102238104806	0.0478092968174282	240	5	0.195875873304284	0.653017374878448
Dialister	trial_arm	Placebo	0.111525810031441	0.0915828962478294	240	16	0.224521859061125	0.660612393006773
ASV_421	trial_arm	Placebo	-0.0800819160220932	0.0657191448279796	240	2	0.224222379615271	0.660612393006773
ASV_934	trial_arm	Placebo	0.0475144006539281	0.0398466612363684	240	4	0.234279743739879	0.676316996079272
ASV_120	trial_arm	Placebo	0.161889668410655	0.142273916247613	240	9	0.256317634241018	0.688010491910101
Alysiella	trial_arm	Placebo	0.0898731406271534	0.0769774899348057	240	6	0.244166770214585	0.688010491910101
ASV_894	trial_arm	Placebo	-0.0616770283216739	0.0541311608988789	240	4	0.25568193719004	0.688010491910101
ASV_964	trial_arm	Placebo	-0.0515226603548524	0.0446252170566256	240	2	0.24942704351205	0.688010491910101
ASV_596	trial_arm	Placebo	-0.0475372429844194	0.0428671087862177	240	2	0.268573446798833	0.708478230348645
ASV_182	trial_arm	Placebo	-0.095091922938718	0.0867256250981336	240	8	0.273981970813123	0.710495619227251
Stomatobaculum	trial_arm	Placebo	-0.304480887479797	0.2822444948165	240	103	0.281776060779756	0.718528954988377
ASV_260	trial_arm	Placebo	-0.112972453462884	0.107923464304371	240	10	0.296261564548643	0.727256620580128
ASV_472	trial_arm	Placebo	0.060749523877417	0.0587307650956087	240	6	0.302011646139644	0.727256620580128
Bulleidia	trial_arm	Placebo	0.0761093791568236	0.0729275254542452	240	11	0.297715318121931	0.727256620580128
ASV_689	trial_arm	Placebo	-0.0400706586030684	0.0389161584960353	240	4	0.304211919719792	0.727256620580128
Dolosigranulum	trial_arm	Placebo	-0.177217645948267	0.175885062843233	240	20	0.314681117759585	0.732337062423261
ASV_329	trial_arm	Placebo	-0.0938939385766215	0.0934253688096973	240	7	0.315910105359054	0.732337062423261
Parvimonas	trial_arm	Placebo	0.166256919223337	0.168507564357587	240	27	0.324819331741668	0.741751608305601
ASV_209	trial_arm	Placebo	-0.136352083984715	0.152625976031019	240	49	0.372559357093792	0.789149440485116
Mogibacterium	trial_arm	Placebo	-0.108914514452179	0.121417787615018	240	50	0.370613255612374	0.789149440485116
ASV_525	trial_arm	Placebo	0.051314849106809	0.0576748746736658	240	3	0.374511341443916	0.789149440485116
ASV_572	trial_arm	Placebo	0.0606708729916865	0.0667843947669418	240	3	0.364554834915957	0.789149440485116
ASV_861	trial_arm	Placebo	0.0474889603553716	0.0536004510526661	240	3	0.376522282061526	0.789149440485116
ASV_1004	trial_arm	Placebo	0.0370299301365193	0.0414454280352277	240	7	0.372512169321262	0.789149440485116
Centipeda	trial_arm	Placebo	0.089669145651167	0.10524937320995	240	11	0.395088064852478	0.795374656874067
Mobiluncus	trial_arm	Placebo	-0.044727585246262	0.0520544057488827	240	5	0.391068936164407	0.795374656874067
ASV_1797	trial_arm	Placebo	-0.0209060709625754	0.0241213245141807	240	2	0.386976628912086	0.795374656874067
Escherichia.Shigella	trial_arm	Placebo	-0.0423360672315124	0.0593007836976278	240	3	0.47597564714348	0.809158600143916
Lachnoanaerobaculum	trial_arm	Placebo	-0.207085406701263	0.265203336743575	240	120	0.435663635262578	0.809158600143916
ASV_126	trial_arm	Placebo	-0.0602171558669078	0.0839983457301152	240	5	0.474147966055758	0.809158600143916
Solobacterium	trial_arm	Placebo	-0.162370158059283	0.20151497400222	240	96	0.421192835875793	0.809158600143916
ASV_203	trial_arm	Placebo	0.0714303925335874	0.0921058020024045	240	7	0.438799138074469	0.809158600143916
Conchiformibius	trial_arm	Placebo	-0.164085847156102	0.203576508121219	240	34	0.421038441751946	0.809158600143916
ASV_283	trial_arm	Placebo	0.0537713418937086	0.0696927583051884	240	7	0.441147258355094	0.809158600143916
Kingella	trial_arm	Placebo	0.117145863718481	0.154608238660995	240	7	0.449383236533896	0.809158600143916
Hyphomicrobium	trial_arm	Placebo	0.0489942140665462	0.0670902179387452	240	6	0.465941183172025	0.809158600143916
ASV_428	trial_arm	Placebo	0.0551807731068112	0.0732290494141331	240	5	0.45187228592919	0.809158600143916
Rikenellaceae_RC9_gut_group	trial_arm	Placebo	0.0394250064203787	0.0517126841382163	240	4	0.446584791545761	0.809158600143916
ASV_639	trial_arm	Placebo	0.0485675426188906	0.0679958479606722	240	12	0.475758829027738	0.809158600143916
ASV_1306	trial_arm	Placebo	0.0270801534554793	0.0368017894230793	240	2	0.462553890695891	0.809158600143916
Phocaeicola	trial_arm	Placebo	0.0248122243947286	0.0317317950358033	240	2	0.435029551936101	0.809158600143916
ASV_280	trial_arm	Placebo	0.0833471755671058	0.118897758387324	240	16	0.483988614499962	0.813739099104332
ASV_180	trial_arm	Placebo	0.0859768331779364	0.128703672058332	240	16	0.504767095247871	0.839449625792655
Campylobacter	trial_arm	Placebo	0.202701502488251	0.320842691013916	240	157	0.528138013821607	0.859628894837296
ASV_586	trial_arm	Placebo	0.0342972860383398	0.0538950552863626	240	3	0.525145736179978	0.859628894837296
Pseudomonas	trial_arm	Placebo	-0.0465270482655427	0.0795213819194518	240	3	0.559042486584471	0.890973962994
Mannheimia	trial_arm	Placebo	-0.126222463942651	0.215282695018318	240	45	0.558222648622979	0.890973962994
Capnocytophaga	trial_arm	Placebo	0.150703534640131	0.269268250398871	240	26	0.576225383450876	0.892872792561994
ASV_331	trial_arm	Placebo	-0.0429269409589008	0.0761568246318248	240	16	0.573512808107462	0.892872792561994
F0332	trial_arm	Placebo	0.0290310828101277	0.0540452931535612	240	5	0.591657484054474	0.892872792561994
Peptoanaerobacter	trial_arm	Placebo	0.0337929761857417	0.063525170428031	240	9	0.595248528374663	0.892872792561994
Amnipila	trial_arm	Placebo	0.0365932350330106	0.0668666416605105	240	7	0.584714996534001	0.892872792561994
ASV_1483	trial_arm	Placebo	0.0200753071324598	0.0376879180981628	240	3	0.594757472384955	0.892872792561994
Alloprevotella	trial_arm	Placebo	0.400926727244755	0.779450773506308	240	119	0.607470055521889	0.893681908604318
Comamonas	trial_arm	Placebo	-0.0855631254116646	0.165900554375038	240	20	0.606508157915661	0.893681908604318
ASV_286	trial_arm	Placebo	-0.0328043436091116	0.066726455622065	240	4	0.623438090345419	0.90843836021761
Olsenella	trial_arm	Placebo	0.0317497063229098	0.0659241445614635	240	6	0.630525779116035	0.910098530233522
ASV_112	trial_arm	Placebo	-0.0888319226581852	0.191793930315542	240	23	0.64367051022866	0.920388673504532
Actinobacillus	trial_arm	Placebo	0.259102264574402	0.629754788893197	240	137	0.681124891714158	0.938493321898753
ASV_339	trial_arm	Placebo	0.0266660651624804	0.0632101654392024	240	2	0.673505413283422	0.938493321898753
Staphylococcus	trial_arm	Placebo	0.0501814603183204	0.121916058708989	240	3	0.680998185558391	0.938493321898753
ASV_409	trial_arm	Placebo	-0.0256197713691347	0.0635064857896125	240	6	0.687001647403009	0.938493321898753
