feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_77	trial_arm	Placebo	-0.164919791936734	0.0523588879338097	240	102	0.00184301208517812	0.283823861117431
Treponema	trial_arm	Placebo	0.252561538903566	0.0893131244977754	240	70	0.0050857029975921	0.391599130814592
Veillonella	trial_arm	Placebo	-0.224911672461846	0.0922586787182084	240	229	0.015508435850842	0.398214468953682
Granulicatella	trial_arm	Placebo	-0.201141396567545	0.077994205872197	240	228	0.0105126181607798	0.398214468953682
Bergeyella	trial_arm	Placebo	-0.265052036658015	0.107350018607306	240	114	0.0142507562268653	0.398214468953682
Cardiobacterium	trial_arm	Placebo	-0.10695539685338	0.0438758205033969	240	32	0.0155148494397538	0.398214468953682
Lautropia	trial_arm	Placebo	-0.240359387226085	0.115083600237249	240	187	0.0378100644081905	0.485229159905111
Gemella	trial_arm	Placebo	-0.141614472015388	0.0671448181003386	240	225	0.0359817842069301	0.485229159905111
ASV_52	trial_arm	Placebo	-0.169978417315376	0.0756464585030168	240	90	0.025556461166199	0.485229159905111
Actinomyces	trial_arm	Placebo	-0.246515500261304	0.117614134716349	240	181	0.0371415486764368	0.485229159905111
Tropheryma	trial_arm	Placebo	0.0865631342002138	0.0396587288982191	240	12	0.0300357951597437	0.485229159905111
Candidatus_Saccharimonas	trial_arm	Placebo	-0.102762105919316	0.0477569286615771	240	49	0.0324216840127474	0.485229159905111
Moraxella	trial_arm	Placebo	0.264793576872759	0.135682181534065	240	131	0.0521620998750176	0.535530892050181
ASV_540	trial_arm	Placebo	0.0404066536047263	0.0206955674330284	240	8	0.0520595979361516	0.535530892050181
Defluviitaleaceae_UCG.011	trial_arm	Placebo	0.0388831010275366	0.0197469080409822	240	8	0.0501049154530172	0.535530892050181
Neisseria	trial_arm	Placebo	-0.146352932011961	0.0893254756680984	240	237	0.102654730239418	0.606049922992034
Streptococcus	trial_arm	Placebo	-0.089564090720248	0.0531395327313075	240	240	0.0932121571338889	0.606049922992034
Alloprevotella	trial_arm	Placebo	-0.153928193046945	0.116226729270368	240	215	0.18664771023509	0.606049922992034
Rothia	trial_arm	Placebo	-0.167752111938459	0.101246554041232	240	197	0.0988639372759926	0.606049922992034
Pseudomonas	trial_arm	Placebo	-0.0265209577463059	0.0176296322922045	240	3	0.133819755147919	0.606049922992034
ASV_68	trial_arm	Placebo	-0.0665788789884388	0.0510364260000243	240	36	0.193310794482173	0.606049922992034
Corynebacterium	trial_arm	Placebo	-0.131047444358026	0.100249724731434	240	100	0.192402891212323	0.606049922992034
Abiotrophia	trial_arm	Placebo	-0.0848696367203663	0.0532376269873716	240	51	0.112225867971662	0.606049922992034
Oceanivirga	trial_arm	Placebo	0.0500486997140391	0.0292349163840144	240	12	0.0882085917581591	0.606049922992034
F0058	trial_arm	Placebo	-0.100669553910393	0.0698238393329484	240	41	0.15068325973664	0.606049922992034
Conchiformibius	trial_arm	Placebo	-0.0594658554825169	0.0418076211603171	240	34	0.156228485595706	0.606049922992034
ASV_239	trial_arm	Placebo	-0.0546319331347943	0.0361305891634622	240	20	0.131843050034227	0.606049922992034
Butyrivibrio	trial_arm	Placebo	-0.0799569749077476	0.0590088786951336	240	39	0.176702560031164	0.606049922992034
ASV_383	trial_arm	Placebo	0.0292605971114095	0.021423126314475	240	10	0.173277994324771	0.606049922992034
ASV_421	trial_arm	Placebo	-0.00509890625993075	0.00368495635492727	240	2	0.167744016916984	0.606049922992034
ASV_422	trial_arm	Placebo	0.0241199802575236	0.0135531699919952	240	4	0.0764082617091091	0.606049922992034
ASV_461	trial_arm	Placebo	-0.041068734141672	0.0230185286444296	240	13	0.0756716090116324	0.606049922992034
ASV_485	trial_arm	Placebo	0.016153200246467	0.0108101307295653	240	6	0.13643098214448	0.606049922992034
ASV_533	trial_arm	Placebo	0.00869883757351041	0.00645955812309614	240	2	0.179370302800328	0.606049922992034
Acinetobacter	trial_arm	Placebo	-0.00495759287847296	0.00358020727849172	240	2	0.167434131285408	0.606049922992034
ASV_596	trial_arm	Placebo	-0.00746343330740929	0.00570464007966082	240	2	0.192030526374614	0.606049922992034
Johnsonella	trial_arm	Placebo	-0.0391957259676287	0.0302647242415456	240	17	0.196541961737815	0.606049922992034
Rodentibacter	trial_arm	Placebo	-0.0176683081365275	0.0110298924785903	240	5	0.110513672554372	0.606049922992034
ASV_682	trial_arm	Placebo	0.0212793501790739	0.0159582976874066	240	7	0.183663956412854	0.606049922992034
ASV_689	trial_arm	Placebo	-0.0114013868721386	0.00880799748829336	240	4	0.196769455516894	0.606049922992034
Shuttleworthia	trial_arm	Placebo	-0.0253712665578043	0.0143570472476479	240	6	0.0784822018771766	0.606049922992034
Fretibacterium	trial_arm	Placebo	0.0202848622114028	0.0115553107899611	240	6	0.0804675027294272	0.606049922992034
ASV_817	trial_arm	Placebo	-0.0272022697150102	0.0152989353176298	240	5	0.0766723839159591	0.606049922992034
Lactobacillus	trial_arm	Placebo	-0.0452575453848653	0.0320798247091278	240	8	0.159615501502217	0.606049922992034
ASV_860	trial_arm	Placebo	-0.0117286406438201	0.00746845341006042	240	3	0.117644921056713	0.606049922992034
ASV_894	trial_arm	Placebo	-0.0275757489305494	0.0181255049970914	240	4	0.129492402085551	0.606049922992034
ASV_964	trial_arm	Placebo	-0.00526566365110374	0.00381195036297307	240	2	0.168464741078333	0.606049922992034
ASV_1095	trial_arm	Placebo	0.00963090743767286	0.00730568039922321	240	2	0.188678361100009	0.606049922992034
ASV_1797	trial_arm	Placebo	-0.00675400922920029	0.00506147687186792	240	2	0.183349723756595	0.606049922992034
ASV_1802	trial_arm	Placebo	0.00790565594063685	0.00575462921076595	240	2	0.170799204629165	0.606049922992034
Mogibacterium	trial_arm	Placebo	-0.0564651351395248	0.0445950118268974	240	50	0.206687971789873	0.624116620698833
Desulfomicrobium	trial_arm	Placebo	0.0130662976152485	0.0105152412532584	240	2	0.215236091453007	0.637429963149291
Catonella	trial_arm	Placebo	-0.111123732499624	0.0911862357152269	240	70	0.224185176507038	0.639342910779331
ASV_1098	trial_arm	Placebo	0.0143229571166815	0.0117089903356643	240	2	0.222447164075996	0.639342910779331
Porphyromonas	trial_arm	Placebo	-0.106923080818582	0.0963874678898788	240	220	0.268418338566734	0.645881627176203
Leptotrichia	trial_arm	Placebo	-0.122954851954067	0.110628083609712	240	200	0.2675068110254	0.645881627176203
Dolosigranulum	trial_arm	Placebo	-0.0820738823983392	0.0691774053223669	240	20	0.236637038928661	0.645881627176203
ASV_126	trial_arm	Placebo	-0.0235446053762139	0.0199569146166997	240	5	0.239268879259358	0.645881627176203
Peptostreptococcus	trial_arm	Placebo	0.088338730028419	0.0758683066589904	240	91	0.245440198391512	0.645881627176203
ASV_163	trial_arm	Placebo	0.041571285076426	0.0362656721450128	240	11	0.252822851967475	0.645881627176203
ASV_182	trial_arm	Placebo	-0.0311924283038334	0.0274750979048115	240	8	0.257392424302416	0.645881627176203
ASV_329	trial_arm	Placebo	-0.0172538435117544	0.0154517264850228	240	7	0.265279086221193	0.645881627176203
Lentimicrobium	trial_arm	Placebo	0.0332200147242088	0.0285575110113702	240	12	0.245886077651777	0.645881627176203
ASV_572	trial_arm	Placebo	0.012511588077679	0.0108105642574213	240	3	0.248290292330584	0.645881627176203
Escherichia.Shigella	trial_arm	Placebo	-0.0198861825262581	0.0185537770855337	240	3	0.284889594153264	0.655207156526269
ASV_157	trial_arm	Placebo	0.0580134237712985	0.0540802184895405	240	34	0.284479170673564	0.655207156526269
ASV_260	trial_arm	Placebo	-0.0252012370548181	0.0235209397360718	240	10	0.285057659008182	0.655207156526269
ASV_209	trial_arm	Placebo	-0.0542779930856122	0.0517557862244561	240	49	0.295364883346112	0.659220174424655
Dialister	trial_arm	Placebo	0.0352550246802377	0.0333746095009736	240	16	0.291882747433786	0.659220174424655
TM7x	trial_arm	Placebo	-0.0931619066741591	0.0899093901382154	240	83	0.301171911563201	0.662578205439042
Tannerella	trial_arm	Placebo	-0.0635680599821111	0.0628779914096167	240	50	0.313055219051507	0.669590329637945
Filifactor	trial_arm	Placebo	0.0423924509552883	0.041835425926523	240	24	0.311938917621737	0.669590329637945
ASV_180	trial_arm	Placebo	0.0174925688225567	0.0180491530860446	240	16	0.333447793992078	0.703437811983288
ASV_120	trial_arm	Placebo	0.0173356307991984	0.0181549660879459	240	9	0.340612329953914	0.708841875850037
ASV_525	trial_arm	Placebo	0.00594664535653575	0.00630462694853433	240	3	0.346525256705865	0.71151104027666
Family_XIII_UCG.001	trial_arm	Placebo	-0.0205843757026555	0.0220336666277949	240	7	0.351135318578092	0.71151104027666
Streptobacillus	trial_arm	Placebo	0.0932551568223943	0.102277875956024	240	88	0.36280592984081	0.715072698562285
ASV_861	trial_arm	Placebo	0.00752512355882047	0.00832274661088666	240	3	0.366823007704029	0.715072698562285
Mobiluncus	trial_arm	Placebo	-0.0132233198925618	0.0144330519156551	240	5	0.360498191710267	0.715072698562285
Desulfobulbus	trial_arm	Placebo	-0.00607393521752909	0.00680202461945066	240	3	0.372780646571501	0.717602744650139
ASV_203	trial_arm	Placebo	0.0177634160400973	0.0205877152654711	240	7	0.389107075174316	0.739783821936354
Lachnoanaerobaculum	trial_arm	Placebo	-0.0659507820616134	0.0785157578117754	240	121	0.401768904222904	0.747332929356987
ASV_214	trial_arm	Placebo	-0.0174654434265257	0.0208379071810885	240	7	0.402783332056038	0.747332929356987
ASV_283	trial_arm	Placebo	0.0143835158063093	0.0173554911989774	240	7	0.408071269473654	0.7481306607017
