"","x"
"Neisseria",0.736839707332168
"Streptococcus",0.748369099444477
"Haemophilus",0.776433990887446
"Prevotella",0.806042178046462
"Moraxella",0.677657131318084
"Veillonella",0.139828735023061
"Fusobacterium",0.904161978085134
"Porphyromonas",0.736839707332168
"Lautropia",0.748369099444477
"Actinobacillus",0.908531870958577
"Gemella",0.237052850434871
"Alloprevotella",0.736839707332168
"Leptotrichia",0.736839707332168
"Rothia",0.736839707332168
"Aggregatibacter",0.984520947026495
"Granulicatella",0.209821345262029
"Escherichia/Shigella",0.871579884350104
"ASV_52",0.345901438320206
"Pseudomonas",NA
"ASV_62",0.973071739773844
"Campylobacter",0.952734486079055
"Bergeyella",0.395808574724851
"ASV_68",0.603563459784656
"Actinomyces",0.21077072072663
"ASV_77",0.139828735023061
"Dolosigranulum",0.895481509790148
"Corynebacterium",0.775052218154357
"Streptobacillus",0.988619341927286
"Oribacterium",0.871981077135035
"ASV_112",0.871579884350104
"Stomatobaculum",0.776433990887446
"Lachnoanaerobaculum",0.775052218154357
"ASV_120",0.775052218154357
"ASV_126",0.895481509790148
"Mannheimia",0.775052218154357
"TM7x",0.748369099444477
"Tropheryma",0.736839707332168
"Solobacterium",0.876943244524197
"Peptostreptococcus",0.792878244773078
"Abiotrophia",0.736839707332168
"Oceanivirga",0.748369099444477
"ASV_157",0.748369099444477
"ASV_163",0.736839707332168
"ASV_180",0.871579884350104
"ASV_182",0.748369099444477
"ASV_187",0.871579884350104
"Treponema",0.21077072072663
"Eikenella",0.904161978085134
"ASV_203",0.876943244524197
"ASV_205",0.908531870958577
"ASV_209",0.775052218154357
"F0058",0.758421345592981
"ASV_214",0.904161978085134
"ASV_216",0.904161978085134
"Conchiformibius",0.748369099444477
"Hydrogenophaga",0.984520947026495
"Candidatus_Saccharimonas",0.603563459784656
"ASV_239",0.736839707332168
"ASV_242",0.871579884350104
"Mogibacterium",0.792729500107505
"Atopobium",0.871579884350104
"Selenomonas",0.904161978085134
"ASV_260",0.748369099444477
"Parvimonas",0.876943244524197
"Catonella",0.736839707332168
"Cardiobacterium",0.717061854965301
"ASV_280",0.871579884350104
"ASV_283",0.876943244524197
"Comamonas",0.904161978085134
"ASV_286",0.776433990887446
"Capnocytophaga",0.871579884350104
"Butyrivibrio",0.748369099444477
"ASV_307",0.984520947026495
"Mycoplasma",0.775052218154357
"Tannerella",0.758421345592981
"ASV_329",0.775052218154357
"ASV_331",0.776433990887446
"Filifactor",0.871579884350104
"Dialister",0.758421345592981
"ASV_339",0.984520947026495
"Peptococcus",0.908531870958577
"Staphylococcus",0.871579884350104
"Hyphomicrobium",0.792878244773078
"ASV_383",0.748369099444477
"Psychrobacter",0.871579884350104
"ASV_409",0.871579884350104
"F0332",0.874349622297582
"ASV_421",NA
"ASV_422",NA
"ASV_428",0.874349622297582
"Peptoanaerobacter",0.910554777518431
"Delftia",0.984520947026495
"Sphingopyxis",0.984520947026495
"Lentimicrobium",0.748369099444477
"ASV_461",0.748369099444477
"ASV_472",0.792878244773078
"ASV_485",0.736839707332168
"Amnipila",0.876943244524197
"Bulleidia",0.775052218154357
"Anaeroglobus",0.984520947026495
"ASV_508",0.895481509790148
"Rikenellaceae_RC9_gut_group",0.775052218154357
"ASV_525",0.871579884350104
"Sneathia",0.871579884350104
"ASV_533",NA
"ASV_540",0.748369099444477
"Centipeda",0.952734486079055
"ASV_561",0.904161978085134
"Acinetobacter",NA
"ASV_572",0.871579884350104
"ASV_586",0.871579884350104
"Defluviitaleaceae_UCG-011",0.683153242917949
"ASV_591",0.871579884350104
"ASV_596",NA
"Johnsonella",0.748369099444477
"ASV_639",0.871579884350104
"ASV_644",0.904161978085134
"Rodentibacter",0.748369099444477
"ASV_682",0.748369099444477
"ASV_689",0.776433990887446
"Kingella",0.871579884350104
"Shuttleworthia",0.748369099444477
"Family_XIII_UCG-001",0.775052218154357
"Fretibacterium",0.736839707332168
"Alysiella",0.984520947026495
"ASV_817",0.748369099444477
"ASV_821",0.984520947026495
"ASV_844",0.984520947026495
"Lactobacillus",0.748369099444477
"ASV_854",0.984520947026495
"ASV_860",NA
"ASV_861",0.871579884350104
"ASV_894",0.776433990887446
"Olsenella",0.871579884350104
"ASV_920",0.984520947026495
"Scardovia",0.871579884350104
"ASV_934",0.775052218154357
"ASV_964",NA
"Prevotellaceae_YAB2003_group",0.871579884350104
"Mobiluncus",0.748369099444477
"ASV_1004",0.876943244524197
"Desulfomicrobium",NA
"ASV_1095",NA
"ASV_1098",NA
"ASV_1121",0.984520947026495
"ASV_1135",0.871579884350104
"ASV_1306",0.984520947026495
"ASV_1325",0.871579884350104
"ASV_1483",0.871579884350104
"Roseburia",0.984520947026495
"Desulfobulbus",0.871579884350104
"Phocaeicola",0.984520947026495
"ASV_1797",NA
"ASV_1802",NA
