taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Neisseria,0,FALSE,FALSE,FALSE,FALSE
Streptococcus,0,FALSE,FALSE,FALSE,FALSE
Haemophilus,0,FALSE,FALSE,FALSE,FALSE
Prevotella,0,FALSE,FALSE,FALSE,FALSE
Moraxella,26,FALSE,FALSE,FALSE,FALSE
Veillonella,1,FALSE,FALSE,FALSE,FALSE
Fusobacterium,0,FALSE,FALSE,FALSE,FALSE
Porphyromonas,0,FALSE,FALSE,FALSE,FALSE
Lautropia,1,FALSE,FALSE,FALSE,FALSE
Actinobacillus,0,FALSE,FALSE,FALSE,FALSE
Gemella,2,FALSE,FALSE,FALSE,FALSE
Alloprevotella,0,FALSE,FALSE,FALSE,FALSE
Leptotrichia,0,FALSE,FALSE,FALSE,FALSE
Rothia,0,FALSE,FALSE,FALSE,FALSE
Aggregatibacter,0,FALSE,FALSE,FALSE,FALSE
Granulicatella,2,FALSE,FALSE,FALSE,FALSE
ASV_52,2,FALSE,FALSE,FALSE,FALSE
ASV_62,0,FALSE,FALSE,FALSE,FALSE
Campylobacter,0,FALSE,FALSE,FALSE,FALSE
Bergeyella,1,FALSE,FALSE,FALSE,FALSE
ASV_68,1,FALSE,FALSE,FALSE,FALSE
Actinomyces,1,FALSE,FALSE,FALSE,FALSE
ASV_77,16,FALSE,FALSE,FALSE,FALSE
Corynebacterium,0,FALSE,FALSE,FALSE,FALSE
Streptobacillus,0,FALSE,FALSE,FALSE,FALSE
Oribacterium,0,FALSE,FALSE,FALSE,FALSE
Stomatobaculum,0,FALSE,FALSE,FALSE,FALSE
Lachnoanaerobaculum,0,FALSE,FALSE,FALSE,FALSE
Mannheimia,0,FALSE,FALSE,FALSE,FALSE
TM7x,0,FALSE,FALSE,FALSE,FALSE
Solobacterium,0,FALSE,FALSE,FALSE,FALSE
Peptostreptococcus,0,FALSE,FALSE,FALSE,FALSE
Abiotrophia,0,FALSE,FALSE,FALSE,FALSE
ASV_157,1,FALSE,FALSE,FALSE,FALSE
ASV_187,0,FALSE,FALSE,FALSE,FALSE
Treponema,41,FALSE,TRUE,TRUE,TRUE
ASV_205,0,FALSE,FALSE,FALSE,FALSE
ASV_209,0,FALSE,FALSE,FALSE,FALSE
F0058,1,FALSE,FALSE,FALSE,FALSE
Conchiformibius,0,FALSE,FALSE,FALSE,FALSE
Candidatus_Saccharimonas,1,FALSE,FALSE,FALSE,FALSE
Mogibacterium,1,FALSE,FALSE,FALSE,FALSE
Atopobium,0,FALSE,FALSE,FALSE,FALSE
Selenomonas,0,FALSE,FALSE,FALSE,FALSE
Parvimonas,0,FALSE,FALSE,FALSE,FALSE
Catonella,0,FALSE,FALSE,FALSE,FALSE
Cardiobacterium,1,FALSE,FALSE,FALSE,FALSE
Capnocytophaga,0,FALSE,FALSE,FALSE,FALSE
Butyrivibrio,0,FALSE,FALSE,FALSE,FALSE
Mycoplasma,0,FALSE,FALSE,FALSE,FALSE
Tannerella,1,FALSE,FALSE,FALSE,FALSE
Peptococcus,0,FALSE,FALSE,FALSE,FALSE
