"","taxon","stat","p","p.adj"
"1","Neisseria",8018,0.126263288118158,0.612735524632431
"2","Streptococcus",8116,0.0870269880493303,0.607549981044262
"3","Haemophilus",6918,0.606379360812114,0.841833626238536
"4","Prevotella",7447.5,0.639895769410508,0.841833626238536
"5","Moraxella",6159,0.0429492846500034,0.607549981044262
"6","Veillonella",8119,0.0859872938119946,0.607549981044262
"7","Fusobacterium",6748.5,0.406100696931183,0.822888254307923
"8","Porphyromonas",7557,0.501780751249006,0.841833626238536
"9","Lautropia",8524,0.0130054542705591,0.500709989416526
"10","Actinobacillus",7212.5,0.974518243037929,0.981751925565585
"11","Gemella",8214,0.0582497857585472,0.607549981044262
"12","Alloprevotella",7555,0.504035611002309,0.841833626238536
"13","Leptotrichia",7609,0.441296765364012,0.841833626238536
"14","Rothia",8148,0.0757447503070571,0.607549981044262
"15","Aggregatibacter",7183,0.981751925565585,0.981751925565585
"16","Granulicatella",8686.5,0.00556012372097605,0.301587582159586
"17","Escherichia/Shigella",7252,0.588310716397963,0.841833626238536
"18","ASV_52",8254.5,0.0235328901114428,0.591493958124838
"19","Pseudomonas",7371,0.0907379841819353,0.607549981044262
"20","ASV_62",7220,0.960822622458766,0.981751925565585
"21","Campylobacter",7305,0.838731431688773,0.956775114667193
"22","Bergeyella",8383.5,0.0169211398901121,0.521171108615453
"23","ASV_68",7776.5,0.0821660847377767,0.607549981044262
"24","Actinomyces",8172,0.0673856415656117,0.607549981044262
"25","ASV_77",8692.5,0.00198056471888822,0.301587582159586
"26","Dolosigranulum",7305,0.672297422156905,0.855651264563334
"27","Corynebacterium",7796,0.212537972965051,0.640278574602776
"28","Streptobacillus",6976.5,0.63794530412985,0.841833626238536
"29","Oribacterium",7529,0.487852280569216,0.841833626238536
"30","ASV_112",7332,0.620366105279767,0.841833626238536
"31","Stomatobaculum",7568,0.451524602975108,0.841833626238536
"32","Lachnoanaerobaculum",7600,0.422584729151777,0.836073586524878
"33","ASV_120",7002,0.275400723272113,0.701879804797025
"34","ASV_126",7251,0.67922574367307,0.857383315784039
"35","Mannheimia",7489,0.423465842525588,0.836073586524878
"36","TM7x",7727,0.244432802411747,0.672190206632305
"37","Tropheryma",6812,0.0592402980051656,0.607549981044262
"38","Solobacterium",7475.5,0.557094358512629,0.841833626238536
"39","Peptostreptococcus",6678,0.270203336927687,0.701879804797025
"40","Abiotrophia",7794,0.119921772501083,0.612735524632431
"41","Oceanivirga",6929.5,0.190982501184134,0.612735524632431
"42","ASV_157",6795.5,0.220355613337319,0.640278574602776
"43","ASV_163",6881,0.106981322590751,0.612735524632431
"44","ASV_180",7034,0.488560823319517,0.841833626238536
"45","ASV_182",7421.5,0.177389660226181,0.612735524632431
"46","ASV_187",7050.5,0.618339191393811,0.841833626238536
"47","Treponema",6006,0.00587508276934258,0.301587582159586
"48","Eikenella",7105,0.689882278659701,0.863181774163117
"49","ASV_203",7122,0.64134504970201,0.841833626238536
"50","ASV_205",7255,0.87805934722764,0.981751925565585
"51","ASV_209",7573,0.319368504409279,0.734070890731776
"52","F0058",7600,0.251761920523794,0.680198872994111
"53","ASV_214",7248,0.740027984339483,0.890346168658441
"54","ASV_216",7301.5,0.695029480494977,0.863181774163117
"55","Conchiformibius",7643,0.17028045673805,0.612735524632431
"56","Hydrogenophaga",7186,0.961434130845833,0.981751925565585
"57","Candidatus_Saccharimonas",7948,0.0470077541585798,0.607549981044262
"58","ASV_239",7641.5,0.0838350735838351,0.607549981044262
"59","ASV_242",7132,0.542560003425181,0.841833626238536
"60","Mogibacterium",7548.5,0.355621614805151,0.760635120555461
"61","Atopobium",7442,0.485264259073477,0.841833626238536
"62","Selenomonas",7066,0.719656618256574,0.878366728019296
"63","ASV_260",7420,0.228791799833858,0.652480318044707
"64","Parvimonas",7300,0.724367366613315,0.878366728019296
"65","Catonella",7773,0.18129037341509,0.612735524632431
"66","Cardiobacterium",7803,0.0559895785868085,0.607549981044262
"67","ASV_280",7053,0.541289422817737,0.841833626238536
"68","ASV_283",7123,0.645919710288979,0.841833626238536
"69","Comamonas",7271,0.771010779099382,0.906379083826754
"70","ASV_286",7308,0.347474611346632,0.753677326019456
"71","Capnocytophaga",7463,0.505636943201439,0.841833626238536
