"","taxon","stat","p","p.adj"
"1","Neisseria",8150,0.0759744142770928,0.728557500704706
"2","Streptococcus",8089,0.0966992817552594,0.728557500704706
"3","Haemophilus",6585,0.256517030887784,0.728557500704706
"4","Prevotella",7050,0.787379750403314,0.85145948846857
"5","Moraxella",5751,0.0072316033594523,0.368811771332067
"6","Veillonella",8411,0.0238198123789394,0.676988817049737
"7","Fusobacterium",6064,0.035398108081032,0.676988817049737
"8","Porphyromonas",6465,0.174503666212086,0.728557500704706
"9","Lautropia",8338,0.0336504329814037,0.676988817049737
"10","Actinobacillus",6889,0.569226512418445,0.759485313555977
"11","Gemella",8075,0.102042944613208,0.728557500704706
"12","Alloprevotella",6876,0.552931995455021,0.759485313555977
"13","Leptotrichia",7021,0.746197244128504,0.839471899644567
"14","Rothia",7812,0.251868623841883,0.728557500704706
"15","Aggregatibacter",7042,0.775954050598962,0.85145948846857
"16","Granulicatella",8441,0.0205677590576732,0.676988817049737
"17","Escherichia/Shigella",6797,0.459105636125018,0.737734668255453
"18","ASV_52",8066,0.105600502218703,0.728557500704706
"19","Actinomyces",8337,0.0338062031777395,0.676988817049737
"20","Pseudomonas",6963,0.666073215478415,0.821848402969335
"21","ASV_62",6879,0.556671890029909,0.759485313555977
"22","Campylobacter",7052,0.790243446813967,0.85145948846857
"23","Bergeyella",7981,0.144240724798211,0.728557500704706
"24","ASV_68",7730,0.320566633753971,0.728557500704706
"25","ASV_77",8761,0.00360206383779263,0.275557883591136
"26","Dolosigranulum",6537,0.220972331733484,0.728557500704706
"27","Streptobacillus",6701,0.358153068020788,0.728557500704706
"28","Oribacterium",7230,0.949572648342777,0.949572648342777
"29","ASV_112",6820,0.485466155781818,0.742763218346181
"30","Stomatobaculum",7417,0.681012111133941,0.822812849968629
"31","Lachnoanaerobaculum",7597,0.455727430331436,0.737734668255453
"32","ASV_120",6520,0.20927248270588,0.728557500704706
"33","ASV_126",6834,0.50190422567955,0.753708051103379
"34","Mannheimia",7283,0.871440656995483,0.894835037049053
"35","TM7x",7500,0.571753566530829,0.759485313555977
"36","Tropheryma",6347,0.114711340692781,0.728557500704706
"37","Solobacterium",7483,0.593445942756867,0.763001926401686
"38","Peptostreptococcus",6371,0.125343987130145,0.728557500704706
